DBKEY,EIN,UEI,AUDITEENAME,COGAGENCY,DATE_ADDED
192900,946002959,,HOUSING AUTHORITY OF CITY AND COUNTY OF SAN FRANCISCO,14,3/25/2021
192992,046001907,,BOSTON HOUSING AUTHORITY,14,3/25/2021
193178,132688369,,NEW YORK CITY HOUSING DEVELOPMENT CORPORATION,14,3/25/2021
193278,866000247,CRE4N8H1X6J5,"CITY OF GLENDALE, ARIZONA",14,4/4/2023
193318,941667160,,SANTA CLARA COUNTY HOUSING AUTHORITY,14,3/16/2022
193337,586002356,,"THE HOUSING AUTHORITY OF THE CITY OF ATLANTA, GEORGIA",14,3/25/2021
193346,956001631,,HOUSING AUTHORITY OF THE COUNTY OF RIVERSIDE,14,3/25/2021
193354,946000299,KC7DYLV9EF25,CITY OF BERKELEY,14,3/31/2023
194174,436003231,,"CITY OF ST. LOUIS, MISSOURI",14,3/25/2021
194206,436003254,,ST. LOUIS HOUSING AUTHORITY,14,3/25/2021
194247,846000762,,EAGLE COUNTY,14,3/25/2021
194480,756001817,,"THE HOUSING AUTHORITY OF THE CITY OF DALLAS, TEXAS",14,10/5/2022
194793,960001279,,GUAM HOUSING AND URBAN RENEWAL AUTHORITY,14,3/25/2021
195537,226002466,,COUNTY OF PASSAIC,14,11/1/2022
195591,366000618,,CHICAGO HOUSING AUTHORITY,14,3/25/2021
195678,860185412,,NAVAJO HOUSING AUTHORITY,14,3/25/2021
196157,046004472,,WORCESTER HOUSING AUTHORITY,14,12/27/2021
196782,391159751,,HOUSING AUTHORITY OF THE CITY OF MILWAUKEE,14,3/25/2021
196974,596001289,,HOUSING AUTHORITY OF THE CITY OF TAMPA,14,3/25/2021
196991,132946271,,"GRAND STREET GUILD EAST HOUSING DEVELOPMENT FUND COMPANY, INC.",14,3/25/2021
197644,610864674,,KENTUCKY HOUSING CORPORATION,14,3/25/2021
197664,990334987,,HAWAII PUBLIC HOUSING AUTHORITY,14,3/25/2021
197817,161533232,,KALEIDA HEALTH,14,3/25/2021
197819,346000703,,CUYAHOGA METROPOLITAN HOUSING AUTHORITY,14,3/25/2021
198212,830208667,,WYOMING BUSINESS COUNCIL,14,5/13/2022
198353,521699886,,IOWA FINANCE AUTHORITY,14,3/25/2021
198588,223548695,,"CAPITAL HEALTH SYSTEM, INC. AND SUBSIDIARIES",14,3/25/2021
199966,133957095,,THE NEW YORK AND PRESBYTERIAN HOSPITAL,14,3/25/2021
200364,660466229,,PUERTO RICO PUBLIC HOUSING ADMINISTRATION,14,3/25/2021
200579,216000881,,COUNTY OF MONMOUTH,14,3/25/2021
200897,210634462,,THE COOPER HEALTH SYSTEM,14,10/10/2022
201893,546001466,,NORFOLK REDEVELOPMENT AND HOUSING AUTHORITY,14,3/25/2021
202639,946000760,,HOUSING AUTHORITY OF THE COUNTY OF SAN JOAQUIN,14,5/24/2022
203375,730781666,VP1JKMDPCXC8,HOUSING AUTHORITY OF THE CHEROKEE NATION,14,4/25/2023
204222,756001818,,FORT WORTH HOUSING SOLUTIONS,14,3/25/2021
205004,382142140,CLUCTHFSJKP3,UNITED COMMUNITY HOUSING COALITION,14,6/13/2023
205354,042732439,,"NEIGHBORHOOD HOUSING SERVICES OF THE SOUTH SHORE, INC.",14,12/16/2021
207657,141338428,,ELLIS HOSPITAL (D/B/A ELLIS MEDICINE),14,3/25/2021
207970,456002413,,BANK OF NORTH DAKOTA,14,3/25/2021
208656,363971142,,"LAKEVIEW TOWERS RESIDENTS ASSOCIATION, INC.",14,3/25/2021
210104,450371338,,NORTH DAKOTA HOUSING FINANCE AGENCY,14,3/25/2021
210452,582489635,,"GEORGIA HAP ADMINISTRATORS, INC. DBA NATIONAL HOUSING COMPLIANCE",14,3/25/2021
210661,593451366,,FLORIDA HOUSING FINANCE CORPORATION,14,3/25/2021
212132,113257656,,358-74 VERNON AVENUE HOUSING DEVELOPMENT FUND CORPORATION,14,3/25/2021
215856,310929576,,KNOX COMMUNITY HOSPITAL AND SUBSIDIARIES,14,3/25/2021
215944,231664406,,PHILADELPHIA HOUSING DEVELOPMENT CORPORATION,14,4/6/2022
217330,043358566,,"UMASS MEMORIAL HEALTH CARE, INC.",14,7/1/2022
217432,222551209,,ROCHESTER REGIONAL HEALTH,14,3/25/2021
217653,300002040,,WISCONSIN HOUSING PRESERVATION CORP.,14,3/25/2021
218144,651176352,,HARRIS COUNTY HOUSING AUTHORITY,14,3/25/2021
218150,383617958,,DETROIT HOUSING COMMISSION,14,3/25/2021
218774,132710179,,"EAST HARLEM PILOT BLOCK HDFC, INC. 012-44096",14,3/25/2021
220827,582669483,,"CALIFORNIA AFFORDABLE HOUSING INITIATIVES, INC",14,3/25/2021
220829,113636256,,CATHERINE SHERIDAN HOUSING DEVELOPMENT FUND CO INC,14,9/28/2021
221283,741303720,,BAPTIST HOSPITALS OF SOUTHEAST TEXAS AND SUBSIDIARIES,14,3/25/2021
221552,840676451,,COLORADO HOUSING AND FINANCE AUTHORITY,14,3/25/2021
222011,571098556,,MEDICAL UNIVERSITY HOSPITAL AUTHORITY,14,3/25/2021
222978,593123362,,NORTH TAMPA HOUSING DEVELOPMENT CORPORATION,14,3/25/2021
224269,470646706,,"MERCY HOUSING, INC",14,3/25/2021
224512,221838278,,NEW JERSEY HOUSING AND MORTGAGE FINANCE AGENCY,14,3/25/2021
226802,640644578,Q23XVN4NV7T3,MISSISSIPPI HOME CORPORATION,14,1/4/2023
229449,237379161,,"SISTERS OF CHARITY OF LEAVENWORTH HEALTH SYSTEM, INC",14,3/25/2021
230355,160984913,,PATHSTONE CORPORATION AND AFFILIATES,14,3/25/2021
231858,660219758,,"MENNONITE GENERAL HOSPITAL, INC",14,3/25/2021
233668,020222150,,LRGHEALTHCARE,14,3/25/2021
234054,270910670,,SOUTHERN NEVADA REGIONAL HOUSING AUTHORITY,14,3/25/2021
236573,550357057,,"WHEELING HOSPITAL, INC.",14,10/3/2022
236700,362170152,,MERCY HEALTH SYSTEM OF CHICAGO AND SUBSIDIARIES,14,3/25/2021
237045,454619102,,LOUISIANA HOUSING CORPORATION,14,3/25/2021
237149,770301242,,HOUSING AUTHORITY OF FRESNO COUNTY,14,3/25/2021
237460,581259426,,HOUSING ASSISTANCE DIVISION OF GEORGIA DEPT. OF COMMUNITY AFFAIRS,14,3/25/2021
237652,453615582,,DIVISION HOUSING CORPORATION,14,3/25/2021
238623,952082686,,RIDGECREST REGIONAL HOSPITAL,14,3/25/2021
238927,273335876,,PARISH HOSPITAL SERVICE DISTRICT FOR THE PARISH OF ORLEANS- DISTRICT A,14,10/10/2022
240442,132951474,,THE ASSOCIATED BLIND HOUSING DEVELOPMENT FUND CORP.    NY 012-35712,14,3/25/2021
241168,461215609,LDF2JEF4NNU1,"BALTIMORE REGIONAL HOUSING PARTNERSHIP, INC.",14,7/18/2023
241631,630985617,,"NAVIGATE AFFORDABLE HOUSING PARTNERS, INC.",14,3/25/2021
242802,201282261,,THE SYLACAUGA HEALTH CARE AUTHORITY,14,5/4/2022
242988,463176429,,JOHNSTON HEALTH SERVICES CORPORATION D/B/A JOHNSTON HEALTH,14,3/25/2021
243191,364272272,VZ2XWYQHNYU7,ALL CHICAGO MAKING HOMELESSNESS HISTORY,14,7/26/2023
243645,133398657,,ELIZABETH SETON PEDIATRIC CENTER,14,3/25/2021
245568,742805097,,SOUTHWEST HOUSING COMPLIANCE CORPORATION,14,3/25/2021
246455,391866425,,GUNDERSEN HEALTH SYSTEM,14,10/3/2022
246499,952126937,,TRI-CITY HEALTHCARE DISTRICT,14,3/25/2021
247053,046002081,,CAMBRIDGE HOUSING AUTHORITY,14,11/1/2022
247377,203165478,,WILLOW BROOK SENIOR COOPERATIVE,14,4/7/2022
247649,460318666,NQW1BHKPK8U3,SOUTH DAKOTA HOUSING DEVELOPMENT AUTHORITY,14,11/1/2022
247800,971667160,,SANTA CLARA COUNTY HOUSING AUTHORITY,14,3/25/2021
248241,421215609,,"BALTIMORE REGIONAL HOUSING PARTNERSHIP, INC.",14,3/25/2021
248455,936001547,,HOME FORWARD,14,1/9/2023
248578,591912330,,"NORTH FLORIDA RETIREMENT VILLAGE, INC.",14,3/25/2021
248721,571090154,,"ATLANTIC HOUSING FOUNDATION, INC.",14,7/10/2022
249438,596000573,,MIAMI-DADE PUBLIC HOUSING AND COMMUNITY DEVELOPMENT DEPARTMENT,14,3/25/2021
249449,736006419,,TULSA COUNTY,14,10/14/2022
249948,382542859,,SPARROW HEALTH SYSTEM,14,9/22/2022
252569,840469270,,COLORADO WEST HEALTHCARE SYSTEM DBA COMMUNITY HOSPITAL,14,5/2/2022
255712,951683892,,COMMUNITY MEMORIAL HEALTH SYSTEM,14,10/27/2022
258050,760454514,JFMKAENLGN81,HARRIS COUNTY- 7 MONTH AUDIT ,14,5/1/2023
15445,135643799,DDCMMXZ95TQ5,"DUCKS UNLIMITED, INC",15,12/8/2022
75348,521384139,,NATIONAL FISH AND WILDLIFE FOUNDATION,15,3/25/2021
115819,920047009,HKXNQ68KHVL9,"KAWERAK, INC.",15,7/11/2023
115999,920094184,,"COOK INLET TRIBAL COUNCIL, INC.",15,6/29/2022
129029,636001408,,BALDWIN COUNTY COMMISSION,15,9/16/2022
130053,920036505,,CENTRAL COUNCIL OF THE TLINGIT AND HAIDA INDIAN TRIBES OF ALASKA,15,4/15/2022
130584,860107023,,GILA RIVER INDIAN COMMUNITY - DEPARTMENT OF TRIBAL PROGRAMS AND ADMIN,15,3/25/2021
152117,411661577,KR5CGFZ5W2R4,MILLE LACS BAND OF CHIPPEWA INDIANS,15,6/30/2023
154763,810230409,,CONFEDERATED SALISH AND KOOTENAI TRIBES OF THE FLATHEAD NATION - GSD,15,3/25/2021
154769,810292623,,ASSINIBOINE & SIOUX TRIBES OF THE FORT PECK INDIAN RESERVATION,15,6/27/2022
162367,450220519,,STANDING ROCK SIOUX TRIBE,15,7/6/2022
177403,910557683,,CONFEDERATED TRIBES OF THE COLVILLE RESERVATION,15,5/11/2023
180127,660433481,,COMMONWEALTH OF PR DEPARTMENT OF NATURAL AND ENVIRONMENTAL RESOURCES,15,3/7/2023
180253,980076103,,REPUBLIC OF THE MARSHALL ISLANDS,15,3/25/2021
181737,810216424,,FORT BELKNAP INDIAN COMMUNITY,15,7/2/2022
182916,910606339,Q4XPD6M7TNE7,SPOKANE TRIBE OF INDIANS,15,6/29/2023
185670,980018947,,GOVERNMENT OF GUAM,15,3/25/2021
186306,460248724,,ROSEBUD SIOUX TRIBE,15,4/28/2023
187702,820197554,,THE SHOSHONE-BANNOCK TRIBES,15,7/2/2022
193075,980050061,,FEDERATED STATES OF MICRONESA NATIONAL GOVERNMENT,15,3/25/2021
193694,860092030,HCBFFF3D5F16,WHITE MOUNTAIN APACHE TRIBE GOVERNMENTAL PROGRAMS AND ADMINISTRATION,15,4/13/2023
194704,970000676,,TERRITORY OF AMERICAN SAMOA,15,3/25/2021
199046,910955402,,PUYALLUP TRIBE OF INDIANS,15,6/23/2022
200742,870267073,,CENTRAL UTAH WATER CONSERVANCY DISTRICT,15,10/28/2021
203160,521086761,,NATIONAL PARK FOUNDATION,15,4/12/2022
247301,850098966,,MESCALERO APACHE TRIBE GOVERNMENTAL SERVICES DEPARTMENT,15,2/6/2023
75269,521362793,,UNIVERSITY OF MARYLAND MEDICAL SYSTEM CORPORATION,16,2/14/2023
158052,856002585,,NEW MEXICO CORRECTIONS DEPARTMENT,16,1/27/2022
164892,736006400,,OKLAHOMA COUNTY,16,7/10/2022
194355,990246363,JLCCLDD3KAV1,HAWAII PACIFIC HEALTH,16,2/9/2023
11343,131932384,KYYSGM2KW1S3,"NATIONAL COUNCIL ON AGING, INC",17,12/21/2022
73286,520794300,,AARP FOUNDATION,17,3/25/2021
77241,526048236,,"SENIOR SERVICE AMERICA, INC.",17,3/25/2021
137875,990252020,,"STATE OF HAWAII, DEPARTMENT OF ACCOUNTING AND GENERAL SERVICES",17,3/25/2021
138705,366006672,,WILL COUNTY,17,1/2/2023
158018,856000577,,STATE OF NEW MEXICO WORKFORCE SOLUTIONS DEPARTMENT,17,3/25/2021
182738,576000286,,SOUTH CAROLINA DEPARTMENT OF EMPLOYMENT AND WORKFORCE,17,10/20/2022
192601,576000356,,GREENVILLE COUNTY,17,4/12/2022
203477,366006585,,KANE COUNTY,17,9/1/2022
204880,456002490,,JOB SERVICE NORTH DAKOTA,17,3/25/2021
219566,364122225,,CHICAGO COOK WORKFORCE PARTNERSHIP,17,3/25/2021
246336,660654753,,PUERTO RICO DEPARTMENT OF ECONOMIC DEVELOPMENT AND COMMERCE,17,5/15/2023
1368,030179592,,"WORLD LEARNING, INC.",19,3/25/2021
10633,131624046,,"INSTITUTE OF INTERNATIONAL EDUCATION, INC.",19,3/25/2021
24011,223087809,,"INTERNATIONAL RESEARCH & EXCHANGES BOARD, INC.",19,3/25/2021
28540,236393344,C2TKJFL5CKP7,WORLD RELIEF CORPORATION OF NATIONAL ASSOCIATION OF EVANGELICALS,19,4/13/2023
52434,366110299,L6R3PLXVANN9,AMERICAN BAR ASSOCIATION,19,11/29/2022
73608,520914250,,NATIONAL CENTER FOR STATE COURTS,19,3/25/2021
75070,521308986,PLKJMJKQVMM6,"ECDC ETHIOPIAN COMMUNITY DEVELOPMENT COUNCIL, INC",19,6/30/2023
75207,521344831,,NATIONAL ENDOWMENT FOR DEMOCRACY,19,3/25/2021
93650,621049974,,THE AMERICAN INSTITUTE IN TAIWAN,19,3/25/2021
118431,941191246,,THE ASIA FOUNDATION,19,2/15/2022
198499,521067256,CACNQQMMQ1S1,AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION,19,1/27/2023
209589,134080201,KNKPMDF9EUB8,"CHURCH WORLD SERVICE, INC",19,4/4/2023
249317,522302253,K32ZM369MCL6,"MAG AMERICA, INC.",19,8/28/2023
77849,530196932,,NATIONAL ACADEMY OF SCIENCES,20,3/25/2021
87296,586002324,,ATLANTA REGIONAL COMMISSION,20,3/25/2021
124865,952784997,,SAN DIEGO ASSOCIATION OF GOVERNMENTS,20,3/25/2021
127348,954489711,,ACCESS SERVICES,20,3/25/2021
129306,636001318,,"CITY OF MOBILE, ALABAMA",20,7/1/2022
129836,920059987,,"MUNICIPALITY OF ANCHORAGE, ALASKA",20,10/3/2022
129864,920038816,,"CITY AND BOROUGH OF JUNEAU, ALASKA",20,4/14/2022
131972,946000338,,CITY OF FRESNO,20,3/25/2021
132411,941492636,,ALAMEDA CONTRA COSTA TRANSIT DISTRICT,20,3/25/2021
132422,941552685,,SAN FRANCISCO BAY AREA RAPID TRANSIT,20,3/25/2021
132750,954351663,,SOUTHERN CALIFORNIA REGIONAL RAIL AUTHORITY/METROLINK,20,1/20/2022
133082,941338218,,SACRAMENTO REGIONAL TRANSIT DISTRICT,20,12/26/2021
133121,953035112,,OMNITRANS,20,2/3/2022
133128,330478781,,SAN BERNARDINO COUNTY TRANSPORTATION AUTHORITY,20,3/25/2021
133185,953041463,,SAN DIEGO METROPOLITAN TRANSIT SYSTEM,20,3/25/2021
134855,846000573,,CITY OF COLORADO SPRINGS,20,3/25/2021
136060,520847040,,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY,20,3/25/2021
136077,596000531,,BROWARD COUNTY FLORIDA,20,3/25/2021
136110,596000702,,"LEE COUNTY, FLORIDA",20,6/30/2022
136138,596000885,,COUNTY OF VOLUSIA,20,3/25/2021
136672,591395059,,PINELLAS SUNCOAST TRANSIT AUTHORITY,20,4/14/2022
136906,586000804,,COBB COUNTY GOVERNMENT,20,10/24/2022
137490,580964286,,METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY,20,3/25/2021
138010,826000165,HHBYKBT1RJQ5,CITY OF BOISE,20,3/30/2023
142676,351065397,KLA2ZBMMWA64,INDIANAPOLIS AIRPORT AUTHORITY,20,4/17/2023
143130,351522844,,NORTHERN INDIANA COMMUTER TRANSPORTATION DISTRICT,20,4/21/2022
144054,426004336,NDSYD8WM9RL7,"CITY OF CEDAR RAPIDS, IOWA",20,2/16/2023
146794,726000641,,CITY OF LAKE CHARLES,20,4/27/2022
146818,726000137,,CITY OF BATON ROUGE - PARISH OF EAST BATON ROUGE,20,3/25/2021
147017,720899720,,REGIONAL TRANSIT AUTHORITY,20,7/26/2022
147709,010238864,,GREATER PORTLAND COUNCIL OF GOVERNMENTS,20,12/26/2021
147916,046006429,,MASSACHUSETTS PORT AUTHORITY,20,2/11/2022
148509,042323989,,MASSACHUSETTS BAY TRANSPORTATION AUTHORITY,20,3/25/2021
151616,416007123,,MINNEAPOLIS ST. PAUL METROPOLITAN AIRPORTS COMMISSION,20,6/9/2022
152842,436003242,,"ST. LOUIS COUNTY, MISSOURI",20,3/25/2021
153631,436004283,,BI-STATE DEVELOPMENT AGENCY OF THE MO-IL METROPOLITAN DISTRICT,20,1/15/2022
155930,886000028,,CLARK COUNTY DEPARTMENT OF AVIATION,20,2/15/2023
156500,222281352,,NEW JERSEY TRANSIT CORPORATION,20,3/25/2021
158015,856000581,,NEW MEXICO DEPARTMENT OF TRANSPORTATION,20,3/25/2021
158028,856000565,,NM DEPARTMENT OF PUBLIC SAFETY,20,2/1/2022
160020,136400654,,THE PORT AUTHORITY OF NEW YORK AND NEW JERSEY,20,3/25/2021
161378,566000241,E8LMSJ41W817,CITY OF WINSTON-SALEM,20,12/31/2022
161412,566000230,CGWAKNW9BAD5,CITY OF GREENSBORO,20,11/14/2022
161476,521333483,,CITY OF CHARLOTTE,20,3/25/2021
161632,566000236,,CITY OF RALEIGH,20,11/23/2021
162056,456002186,,CITY OF WILLISTON,20,3/25/2021
163887,341170830,,GREATER CLEVELAND REGIONAL TRANSIT AUTHORITY,20,7/28/2022
163904,310800546,,CENTRAL OHIO TRANSIT AUTHORITY,20,8/22/2022
163922,310834121,LM81VYPTNQL9,SOUTHWEST OHIO REGIONAL TRANSIT AUTHORITY,20,6/30/2023
163998,237182735,,GREATER DAYTON REGIONAL TRANSIT AUTHORITY,20,8/2/2022
165981,730978251,,COMANCHE NATION GOVERNMENTAL PROGRAMS DEPARTMENT,20,2/18/2022
166437,930579353,,TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT OF OREGON (TRIMET),20,3/25/2021
170355,576000954,,SOUTH CAROLINA DEPARTMENT OF TRANSPORTATION,20,3/25/2021
170419,576000365,,"HORRY COUNTY, SOUTH CAROLINA",20,1/27/2022
171871,621262331,,MEMPHIS SHELBY COUNTY AIRPORT AUTHORITY,20,12/1/2021
172025,746001969,,"FORT BEND COUNTY, TEXAS",20,3/25/2021
172719,756000590,,"CITY OF LUBBOCK, TEXAS",20,4/8/2022
172924,746000085,,CITY OF AUSTIN,20,3/25/2021
173040,741330327,,VIA METROPOLITAN TRANSIT,20,3/23/2022
173406,741998278,,"METROPOLITAN TRANSIT AUTHORITY OF HARRIS COUNTY, TEXAS",20,3/25/2021
173789,752793063,,FORT WORTH TRANSPORTATION AUTHORITY,20,3/25/2021
173810,742355740,,CAPITAL METROPOLITAN TRANSPORTATION AUTHORITY,20,3/25/2021
175159,876000266,EYDMXDL7KP25,PROVO CITY CORPORATION,20,3/30/2023
175221,870284459,,UTAH TRANSIT AUTHORITY,20,3/25/2021
176058,540787833,,"COUNTY OF FAIRFAX, VIRGINIA",20,3/25/2021
176274,546022059,,"CITY OF NEWPORT NEWS, VIRGINIA",20,12/14/2021
176299,521513553,,METROPOLITAN WASHINGTON AIRPORTS AUTHORITY,20,3/25/2021
176313,541486769,,POTOMAC AND RAPPAHANNOCK TRANSPORTATION COMMISSION,20,12/2/2021
176395,916001370,,SPOKANE COUNTY,20,11/1/2022
177016,911151502,,SPOKANE TRANSIT AUTHORITY,20,7/14/2022
179767,836000263,,WYOMING DEPARTMENT OF TRANSPORTATION,20,3/25/2021
180123,660433808,,PUERTO RICO HIGHWAYS AND TRANSPORTATION AUTHORITY,20,4/9/2022
181547,596000573,,MIAMI-DADE AVIATION DEPARTMENT,20,6/9/2022
181552,990258224,,HIGHWAYS DIVISION DEPARTMENT OF TRANSPORTATION STATE OF HAWAII,20,3/25/2021
181885,650002789,,SOUTH FLORIDA REGIONAL TRANSPORTATION AUTHORITY,20,3/25/2021
181946,990257540,,"DEPARTMENT OF TRANSPORTATION - AIRPORTS DIVISION, STATE OF HAWAII",20,4/9/2022
182201,941746312,LWYHDXYRZCU8,PORT OF OAKLAND,20,4/3/2023
182281,237119049,,ORANGE COUNTY TRANSPORTATION AUTHORITY,20,3/25/2021
182440,616000300,,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,20,7/21/2022
182557,231642972,,SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY,20,3/25/2021
182598,363306845,,"PACE, THE SUBURBAN BUS DIVISION OF THE RTA",20,6/22/2022
182654,592982959,,CENTRAL FLORIDA REGIONAL TRANSPORATION AUTHORITY D/B/A LYNX,20,4/12/2022
182669,946000696,,"GOLDEN GATE BRIDGE, HIGHWAY & TRANSPORTATION DISTRICT",20,3/25/2021
182813,941749911,,METROPOLITAN TRANSPORTATION COMMISSION,20,3/25/2021
182830,880209587,,REGIONAL TRANSPORTATION COMMISSION,20,12/10/2021
182941,876000279,,SALT LAKE CITY CORPORATION,20,1/13/2022
182960,953009680,,NORTH COUNTY TRANSIT DISTRICT,20,12/27/2021
183178,256011888,,PORT AUTHORITY OF ALLEGHENY COUNTY,20,3/25/2021
183342,942186907,,SANTA CLARA VALLEY TRANSPORTATION AUTHORITY,20,3/25/2021
183850,416008898,,METROPOLITAN COUNCIL OF THE TWIN CITIES AREA,20,3/25/2021
183954,954401975,,LOS ANGELES COUNTY METROPOLITAN TRANSPORTATION AUTHORITY,20,3/25/2021
183956,943152903,,PENINSULA CORRIDOR JOINT POWERS BOARD,20,3/25/2021
184233,132624287,,NEW YORK STATE URBAN DEVELOPMENT CORPORATION AND SUBSIDIARIES,20,7/1/2021
184309,132552035,,METROPOLITAN TRANSPORTATION AUTHORITY,20,3/25/2021
185703,860557533,,VALLEY METRO REGIONAL PUBLIC TRANSPORTATION AUTHORITY,20,1/13/2022
186063,620910914,MATA10910914,MEMPHIS AREA TRANSIT AUTHORITY,20,3/31/2023
186616,362164842,,CHICAGO TRANSIT AUTHORITY,20,3/25/2021
187806,916001327,,KING COUNTY,20,3/25/2021
188391,746000749,,CITY OF EL PASO,20,3/25/2021
189355,381876249,,SUBURBAN MOBILITY AUTHORITY FOR REGIONAL TRANSPORTATION,20,12/2/2021
189554,840597392,,REGIONAL TRANSPORTATION DISTRICT,20,3/25/2021
190125,541781521,,"NOBLIS, INC.",20,3/25/2021
190624,956000735,,LOS ANGELES WORLD AIRPORTS,20,12/1/2021
190643,596001253,HU5MVK2S6C73,HILLSBOROUGH COUNTY AVIATION AUTHORITY,20,4/6/2023
190764,595916967,,GREATER ORLANDO AVIATION AUTHORITY,20,3/22/2022
192087,956000672,,"CITY OF BAKERSFIELD, CALIFORNIA",20,3/25/2021
192208,751279194,,DALLAS FORT WORTH INTERNATIONAL AIRPORT,20,3/25/2021
192501,596000848,K4SXBE88XP88,"SARASOTA COUNTY, FLORIDA",20,4/6/2023
192534,746001650,,"CITY OF MCALLEN, TEXAS",20,5/4/2022
192666,166008839,,NIAGARA FRONTIER TRANSPORTATION AUTHORITY,20,9/2/2021
194481,540948306,,"COUNTY OF LOUDOUN, VIRGINIA",20,3/25/2021
195543,916001025,,PORT OF SEATTLE,20,5/18/2022
195595,430992477,DADDJ2EKZ5L8,KANSAS CITY AREA TRANSPORTATION AUTHORITY,20,5/23/2023
195945,351324569,,INDIANAPOLIS PUBLIC TRANSPORTATION CORPORATION,20,3/25/2021
196069,954668218,,FOOTHILL TRANSIT AUTHORITY,20,1/20/2022
196758,160967419,,ROCHESTER-GENESSEE REGIONAL TRANSPORTATION AUTHORITY,20,7/26/2021
197411,911628275,,CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY,20,3/25/2021
198163,942325976,,SAN MATEO COUNTY TRANSIT DISTRICT,20,11/12/2021
198757,596018367,,JACKSONVILLE TRANSPORTATION AUTHORITY,20,5/2/2022
199044,363126147,,METRA - COMMUTER RAIL DIVISION & COMMUTER RAILROAD CORPORATION,20,3/25/2021
199947,146003955,,NEW YORK STATE THRUWAY AUTHORITY,20,3/25/2021
201778,751813169,,DALLAS AREA RAPID TRANSIT,20,3/25/2021
202168,330072823,,RIVERSIDE COUNTY TRANSPORTATION COMMISSION,20,3/25/2021
215840,753019713,,SAN DIEGO COUNTY REGIONAL AIRPORT AUTHORITY,20,11/19/2021
215905,562296529,,"VALLEY METRO RAIL, INC.",20,3/25/2021
217393,596000573,,MIAMI-DADE TRANSIT ENTERPRISE FUND,20,3/25/2021
224731,591021557,,CENTRAL FLORIDA EXPRESSWAY AUTHORITY FKA ORLANDO-ORANGE CO EXPRESSWAY,20,3/25/2021
225260,352198574,,CENTRAL TEXAS REGIONAL MOBILITY AUTHORITY,20,3/25/2021
229340,900036752,,REGIONAL TRANSPORTATION COMMISSION OF SOUTHERN NEVADA,20,3/25/2021
229893,351602316,,INDIANA FINANCE AUTHORITY,20,3/25/2021
231133,520910053,,NATIONAL RAILROAD PASSENGER CORPORATION & SUBSIDIARIES (AMTRAK),20,3/25/2021
232693,946000417,,SAN FRANCISCO INTERNATIONAL AIRPORT,20,9/16/2022
233179,941160893,,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY,20,3/25/2021
244060,452593877,V45ADERKJAY8,CONNECTICUT AIRPORT AUTHORITY,20,11/15/2022
247806,141515330,,CAPITAL DISTRICT TRANSPORTATION AUTHORITY,20,12/21/2021
248514,920020624,,ALASKA RAILROAD CORPORATION,20,9/20/2022
249248,746001573,,"CITY OF LAREDO, TEXAS",20,4/24/2022
249484,820579904,,WAYNE COUNTY AIRPORT AUTHORITY,20,5/20/2022
250092,520001005,T768HKZ8PLC2,MARYLAND TRANSPORTATION AUTHORITY,20,3/31/2023
255982,471742163,NEUHFP6RELY3,HAMPTON ROADS TRANSPORTATION ACCOUNTABILITY COMMISSION,20,11/27/2022
258028,736060890,GTLHGBUGLWF3,OKLAHOMA TURNPIKE AUTHORITY,20,4/27/2023
12660,133030229,,LOCAL INITIATIVES SUPPORT CORPORATION,21,3/25/2021
22772,043246555,,"BLUEHUB CAPITAL, INC. AND AFFILIATES",21,3/25/2021
58055,381458751,EUSURN9MJR17,MICHIGAN HEALTH & HOSPITAL ASSOCIATION AND CONTROLLED ENTITIES,21,11/29/2022
74286,521148078,,NEIGHBORHOOD REINVESTMENT CORPORATION (DBA NEIGHBORWORKS AMERICA),21,3/25/2021
74643,521231931,,"ENTERPRISE COMMUNITY PARTNERS, INC.",21,3/25/2021
74976,521290127,,CAPITAL IMPACT PARTNERS AND SUBSIDIARIES,21,3/25/2021
82593,561552375,,"RURAL ECONOMIC DEVELOPMENT CENTER, INC.",21,2/11/2022
82670,561620516,,"DREAMKEY PARTNERS, INC.",21,6/13/2022
180945,946000501,Z2JTEQA62JV7,ALAMEDA COUNTY HOUSING AND COMMUNITY DEVELOPMENT DEPARTMENT,21,3/31/2023
198070,956000736,YVCBUGKDEUF7,DEPARTMENT OF WATER AND POWER OF THE CITY OF LOS ANGELES POWER SYSTEM,21,3/23/2023
200809,942952578,,LOW INCOME INVESTMENT FUND,21,3/25/2021
215664,366006551,W7KRN7E54898,"DUPAGE COUNTY, ILLINOIS",21,8/31/2023
216160,363656836,,IFF,21,5/19/2022
219042,596002482,K21GR3WGNYT4,CANAVERAL PORT AUTHORITY,21,4/13/2023
221087,630338569,XWCKHU8NAGJ8,ALABAMA HOSPITAL ASSOCIATION,21,12/8/2022
227824,920130785,CCGWKQWMJSB6,"VALLEY CHARITIES, INC.",21,4/12/2023
