"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"14.867","Indian Housing Block Grants","A - Formula Grants","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING","14.862","Nov 27, 2024","Nov 27, 2024","true","Hilary Atkin
451 7th Street SW, Room 4108, Washington DC 20410
2024023427
"
"90.401","Help America Vote Act Requirements Payments","A - Formula Grants","ELECTION ASSISTANCE COMMISSION","","N/A","Nov 27, 2024","Nov 27, 2024","false","Risa Garza
633 3rd Street NW, Washington DC 20001
866-747-1471
"
"14.899","Tribal HUD-VA Supportive Housing Program","B - Project Grants (Discretionary)","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING","14.867","Nov 27, 2024","Nov 27, 2024","true","Hilary Atkin
451 7th Street, SW, Room 4108, Washington DC 20410
202-402-3427
"
"20.941","Strengthening Mobility and Revolutionizing Transportation (SMART) Grants Program","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 27, 2024","Nov 27, 2024","true","Thy H. Nguyen
1200 New Jersey Avenue SE, Washington DC 20590
2028750520
"
"14.873","Native Hawaiian Housing Block Grants","B - Project Grants","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING","N/A","Nov 27, 2024","Nov 27, 2024","true","Claudine Allen
1132 Bishop Street,  1400, Honolulu HI 96813
(808) 457-4674
"
"81.042","Weatherization Assistance for Low-Income Persons","A - Formula Grants","ENERGY, DEPARTMENT OF","","81.041, 81.119","Nov 27, 2024","Nov 27, 2024","true","Clay Pfrangle
15013 Denver West Parkway, Golden CO 80401
720-672-1445
"
"93.301","Small Rural Hospital Improvement Grant Program","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","N/A","Nov 27, 2024","Nov 27, 2024","false","Krista Mastel, Program Coordinator 
Federal Office of Rural Health Policy, Rockville MD 20857
(301) 443-0491
"
"81.086","Conservation Research and Development","B - Cooperative Agreements","ENERGY, DEPARTMENT OF","","N/A","Nov 27, 2024","Nov 27, 2024","true","Joe Lucas
15013 Denver West Parkway, Golden CO 80401
240-562-1683
"
"81.119","State Energy Program Special Projects","B - Cooperative Agreements","ENERGY, DEPARTMENT OF","","81.041","Nov 27, 2024","Nov 27, 2024","true","Clay Pfrangle
15013 Denver West Parkway, Golden CO 80401
720-672-1445
"
"66.203","Environmental Finance Center Grants","B - Cooperative Agreements (Discretionary Grants)","ENVIRONMENTAL PROTECTION AGENCY","","66.611, 66.814","Nov 26, 2024","Nov 26, 2024","true","Ellen Tarquinio, Director
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code:  4202M), Washington DC 20460
202-566-2267
"
"66.204","Multipurpose Grants to States and Tribes","A - Formula Grants","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 26, 2024","Nov 26, 2024","true","William Post, Tribal MPG Contact
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W., Washington DC 20460
202-564-5607
"
"66.472","Beach Monitoring and Notification Program Implementation Grants","A - Formula Grants","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 26, 2024","Nov 26, 2024","true","Andrea Contreras Balbuena
Environmental Protection Agency, Office of Water, Standards and Health Protection Division, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4305T  ), Washington DC 20460
202-566-1017
"
"81.260","County of Nye, Nye County Sheriff’s Office Law Enforcement Services","B - Project Grants (Cooperative Agreements)","ENERGY, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","true","Iralien Sainvilmar
24600 20th Street SE, Albuquerque NM 87185
(505) 845-5569
"
"66.432","State Public Water System Supervision","A - Formula Grants","ENVIRONMENTAL PROTECTION AGENCY","","66.433","Nov 26, 2024","Nov 26, 2024","true","Grant Jiang
Environmental Protection Agency, Office of Ground Water and Drinking Water, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4606M), Washington DC 20460
(202) 564-1393
"
"66.443","Reducing Lead in Drinking Water (SDWA 1459B)","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","66.444","Nov 26, 2024","Nov 26, 2024","true","Hillarie Ishida
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4606M), Washington DC 20460
202-564-3671
"
"66.448","Drinking Water System Infrastructure Resilience and Sustainability Program – SDWA 1459A(l)","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 26, 2024","Nov 26, 2024","true","Claudette Ojo
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W., Washington DC 20460
202-564-8886
"
"16.608","Tribal Justice Systems","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","Trish Thackston
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-307-0581
"
"16.059","Tribal Special Criminal Jurisdiction Reimbursement","C - Direct Payments for Specified Use","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"16.588","Violence Against Women Formula Grants","A - Formula Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.590","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.970","Health Professions Recruitment Program for Indians","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management, 
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
"93.444","Tribal Self-Governance Program: Planning and Negotiation Cooperative Agreement","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management, 
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204.
"
"93.566","Refugee and Entrant Assistance State/Replacement Designee Administered Programs","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.576, 93.567, 93.583, 93.598","Nov 26, 2024","Nov 26, 2024","true","Carl Rubenstein, Director- Division of Refugee Assistance
Mary E. Switzer Building
330 C Street SW, 5th Floor West, Washington DC 20201
(202) 205-5933
"
"93.971","Health Professions Preparatory Scholarship Program for Indians","M - Training","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
"16.750","Support for Adam Walsh Act Implementation Grant Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","true","Portia Graham
U.S. Department of Justice
Office of Justice Programs
SMART Office
999 North Capitol Street, NE, Washington DC 20531
202-514-4689
"
"93.344","Research, Monitoring and Outcomes Definitions for Vaccine Safety","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","OFFICE OF ASSISTANT SECRETARY FOR HEALTH","N/A","Nov 26, 2024","Nov 26, 2024","true","Duane Barlow
1101 Wootton Parkway
Plaza Level, Rockville MD 20852
(240) 453-8822.
"
"16.557","Tribal Domestic Violence and Sexual Assault Coalitions Grant Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.590","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.092","Affordable Care Act (ACA) Personal Responsibility Education Program","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 26, 2024","Nov 26, 2024","true","Mousumi Banikya, Director
330 C Street, SW, Washington DC 20201
202-619-1066
"
"16.038","National Decertification Index","B - Project Grants (Cooperative Agreements or Contracts)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","David Lewis
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-616-7829
"
"93.231","Epidemiology Program","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
"93.493","Congressional Directives","B - Project Grants (for specified projects)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","false","Felix Lorenzo
200 Independence Ave SW, Washington DC 20201
240-453-6193
"
"16.032","Academic-based Drug Field Testing and Training Initiative","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","Tammy Brown
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-532-0112
"
"81.010","Office of Technology Transitions (OTT)-Technology Deployment, Demonstration and Commercialization","B - Project Grants","ENERGY, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","true","Marcos Gonzales Harsha
US Department Of Energy
1000 Independence Ave. SW, Washington DC 20585
202-586-8427
"
"16.556","State Domestic Violence and Sexual Assault Coalitions","A - Formula Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.590","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"17.264","National Farmworker Jobs Program","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","17.258","Nov 26, 2024","Nov 26, 2024","true","Steven Rietzke
200 Constitution Ave. NW, Room C-4510, Washington DC 20210-0001
2026933912
"
"93.193","Urban Indian Health Services","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
"81.122","Electricity Research, Development and Analysis","B - Cooperative Agreements","ENERGY, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","true","Russell Perrin
Office of Electricity
U.S. Department of Energy
1000 Independence Avenue SW, Washington, DC 20585, washington DC 20585
2025864936
"
"16.741","DNA Backlog Reduction Program","A - Formula Grants (Cooperative Agreements)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","Andrea Borchardt
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
(202) 598-1721
"
"16.593","Residential Substance Abuse Treatment for State Prisoners","A - Formula Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","true","Renee Howell
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
(202) 856-8319
"
"16.056","National Deaf Services Line","B - Project Grants (Cooperative Agreements)","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"64.026","Veterans State Adult Day Health Care","A - Formula Grants","VETERANS AFFAIRS, DEPARTMENT OF","VA HEALTH ADMINISTRATION CENTER","64.015, 64.014","Nov 26, 2024","Nov 26, 2024","true","State Home Per Diem
Geriatrics and Extended Care Service
Department of Veterans Affairs, Washington DC 20420
(202) 461-6750
"
"81.092","Remedial Action and Waste Management","B - Project Grants","ENERGY, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","true","Andrew Wirkkala
1000 Independence Ave., SW,, washington DC 20585
(202) 586-1487
"
"93.667","Social Services Block Grant","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.645, 93.669, 93.600, 93.647, 93.658, 93.671, 93.630, 93.045, 93.044","Nov 26, 2024","Nov 26, 2024","true","Charisse Johnson, Acting Director, Division of Social Services
Administration for Children and Families, Office of Community Services, US DHHS, Washington DC 20201
(202) 401-5665
"
"93.654","Indian Health Service Behavioral Health Programs","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
"93.441","Indian Self-Determination","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management, 
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204.
"
"84.010","Title I Grants to Local Educational Agencies","A - Formula Grants","EDUCATION, DEPARTMENT OF","OFFICE OF ELEMENTARY AND SECONDARY EDUCATION","84.011, 84.013","Nov 26, 2024","Nov 26, 2024","true","Patrick Rooney
Office of Elementary and Secondary Education, Department of Education, 400 Maryland Avenue, SW, Washington DC 20202
(202)453-5514
"
"81.049","Office of Science Financial Assistance Program","B - Project Grants (Cooperative Agreements)","ENERGY, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","true","Michael S. Zarkin
19901 Germantown Road, Germantown MD 20874
301-903-4946
"
"93.653","Indian Health Service Domestic Violence Prevention Programs","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
3014435204
"
"64.015","Veterans State Nursing Home Care","A - Formula Grants","VETERANS AFFAIRS, DEPARTMENT OF","VA HEALTH ADMINISTRATION CENTER","64.014","Nov 26, 2024","Nov 26, 2024","true","State Home Per Diem Program
Chief Consultant, Geriatrics and Extended Care Service
Chief, State Home Per Diem Program, Washington DC 20420
202-461-6750
"
"12.631","Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)","B - Project Grants","DEPT OF DEFENSE","DEFENSE INTELLIGENCE AGENCY (DIA)","N/A","Nov 26, 2024","Nov 26, 2024","true","Louie Lopez
4800 Mark Center Drive, Alexandria VA 22350
5713726715
"
"57.006","Social Insurance for Railroad Workers","Z - Salaries and Expenses","RAILROAD RETIREMENT BOARD","","N/A","Nov 26, 2024","Nov 26, 2024","true","Bruce Rodman
844 North Rush Street, 4 NE, Chicago IL 60611
(312) 751-4932
"
"93.088","Advancing System Improvements for Key Issues in Women's Health","B - Cooperative Agreements (Discretionary Grants)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","OFFICE OF ASSISTANT SECRETARY FOR HEALTH","N/A","Nov 26, 2024","Nov 26, 2024","true","Richelle Marshall
1101 Wootton Pkwy, Plaza Level, Rockville MD 20852
202-205-2551
"
"16.055","Tribal Special Assistant United States Attorneys","B - Project Grants (Discretionary)","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.570","Community Services Block Grant Discretionary Awards","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","21.020","Nov 26, 2024","Nov 26, 2024","true","Patrice West, Program Operations Branch Chief
Division of Community Discretionary Programs, Office of Community Services, Administration for Children and Families, Department of Health and Human Services, Washington DC 20201
202-425-9287
"
"16.736","Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking, or Sexual Assault","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.590, 16.588","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"16.028","Resource Center on Workplace Response to Domestic Violence, Dating Violence, Sexual Assault, and Stalking","B - Cooperative Agreements","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.528, 16.588, 16.556","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.560","Payments to Territories – Adults","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.778, 96.001, 96.006","Nov 26, 2024","Nov 26, 2024","true","Deborah List
Office of Family Assistance, Administration for Children and Families, Washington DC 20024
2024015488
"
"93.060","Sexual Risk Avoidance Education","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 26, 2024","Nov 26, 2024","true","Mousumi Banikya, Director
330 C Street, SW, Washington DC 20201
202-619-1066
"
"16.587","Violence Against Women Discretionary Grants for Indian Tribal Governments","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.590, 16.588","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"81.135","Advanced Research Projects Agency - Energy","B - Cooperative Agreements","ENERGY, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","true","Hai Duong
Department of Energy, 1000 Independence Avenue, S.W., Washington DC 20585
(202) 287-6583
"
"93.123","Health Professions Pre-graduate Scholarship Program for Indians","M - Training","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","93.972, 93.971","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
"81.126","Federal Loan Guarantees for Innovative Energy Technologies","F - Guaranteed/Insured Loans","ENERGY, DEPARTMENT OF","","N/A","Nov 26, 2024","Nov 26, 2024","true","Patricia Breed
1000 Independence Avenue SW, Washington DC 20585
202-586-2510
"
"93.343","Public Health Service Evaluation Funds","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","OFFICE OF ASSISTANT SECRETARY FOR HEALTH","N/A","Nov 26, 2024","Nov 26, 2024","true","Scott Moore
1101 Wootton Parkway, Rockville MD 20852
2404538822
"
"64.014","Veterans State Domiciliary Care","A - Formula Grants","VETERANS AFFAIRS, DEPARTMENT OF","VA HEALTH ADMINISTRATION CENTER","64.015","Nov 26, 2024","Nov 26, 2024","true","State Home Per Diem Program
Geriatrics and Extended Care Service, Washington DC 20420
(202) 461-6750
"
"93.499","Low Income Household Water Assistance Program","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 26, 2024","Nov 26, 2024","false","Christina Clark
Department of Health and Human Services
Administration for Children and Families,
Office of Community Services, 
Division of Energy Assistance,
330 C St SW, 5th Floor, Washington DC 20201
2024015399
"
"64.203","Veterans Cemetery Grants Program","B - Project Grants","VETERANS AFFAIRS, DEPARTMENT OF","NATIONAL CEMETERY SYSTEM","N/A","Nov 26, 2024","Nov 26, 2024","true","Veterans Cemetery Grants Program (41C)
810 Vermont Ave., N.W., Washington DC 20420
202-632-7208
"
"10.001","Agricultural Research Basic and Applied Research","C - Direct Payments for Specified Use (Cooperative Agreements)","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","10.500, 10.205, 10.207, 10.652, 10.250, 10.200, 10.202, 10.700, 10.203","Nov 26, 2024","Nov 26, 2024","true","Deborah Watson
5601 Sunnyside Avenue, 1-WS-1323, Beltsville MD 20705
301-448-6212
"
"59.007","7(j) Technical Assistance","B - Project Grants","SMALL BUSINESS ADMINISTRATION","","N/A","Nov 26, 2024","Nov 26, 2024","true","Sandra Barrett; Director, Office of Management and Technical Assistance; Office of Business Development
409 3rd. Street, S.W., 8th Floor, Washington DC 20416
202-205-7039
"
"93.579","U.S. Repatriation","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 26, 2024","Nov 26, 2024","true","LT Olufolake Ogunyemi
330 C St. SW, Washington DC 20201
202-809-6802
"
"16.052","Restorative Practices to Address Domestic Violence, Dating Violence, Sexual Assault, and Stalking","B - Cooperative Agreements","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"16.060","Local Law Enforcement Grants for Enforcement of Cybercrimes","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.058","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.564","Child Support Services Research","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.779, 93.563, 93.597, 93.647, 93.558","Nov 26, 2024","Nov 26, 2024","true","Michelle Jadczak
330 C Street S.W., Washington DC 20201
(202) 401-4578
"
"10.950","Agricultural Statistics Reports","C - Direct Payments for Specified Use (Cooperative Agreements)","AGRICULTURE, DEPARTMENT OF","NATIONAL AGRICULTURAL STATISTICS SERVICE","10.250, 10.700, 17.003, 10.153","Nov 26, 2024","Nov 26, 2024","true","Ann Johnson
1400 INDEPENDENCE AVENUE, S.W., 
South Agriculture Building, Room 5041A, WASHINGTON DC 20250
(202)690-0919
"
"93.676","Unaccompanied Children Program","B - Project Grants (Cooperative Agreements)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.576, 93.566, 93.598","Nov 26, 2024","Nov 26, 2024","true","Allison Blake
Mary E. Switzer Building, 330 C Street SW, Washington DC 20201
202-401-4997
"
"16.844","Combatting Contraband Cell Phone Use in Prisons","B - Project Grants (Cooperative Agreements or Contracts)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","Andre Bethea
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
(202) 353-0583
"
"93.383","Public Health Nursing","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
"16.839","STOP School Violence","B - Cooperative Agreements","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","David Adams
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Steet, NE, Washington DC 20531
202-616-6500
"
"45.311","Native American and Native Hawaiian Library Services","B - Project Grants","THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES","","45.031, 45.313, 45.309, 45.310, 45.308, 45.312, 45.301","Nov 26, 2024","Nov 26, 2024","true","Sandra Narva
955 L'Enfant Plaza North, SW
Suite 4000, Washington DC 20024
202-653-4634
"
"64.116","Veteran Readiness and Employment","E - Direct Loans","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","64.013, 84.126, 27.002","Nov 26, 2024","Nov 26, 2024","true","Veteran Readiness and Employment Service
810 Vermont Ave.  NW, Washington DC 20420
2024619600
"
"93.445","Indian Health Service Sanitation Facilities Construction Program","J - Provision of Specialized Services","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","false","Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
3014435204
"
"59.006","8(a) Business Development Program","J - Provision of Specialized Services","SMALL BUSINESS ADMINISTRATION","","59.007, 59.011, 59.007, 59.011","Nov 26, 2024","Nov 26, 2024","false","Dr. Donna Peebles, D.M.,  Associate Administrator - Office of Business Development
409 3rd. Street, S.W., 8th Floor, Washington DC 20416
800-827-5722
"
"16.589","Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","N/A","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"93.284","Injury Prevention Program for American Indians and Alaskan Natives Cooperative Agreements","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","N/A","Nov 26, 2024","Nov 26, 2024","true","Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
"93.714","ARRA – Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.667, 93.596, 93.558, 93.594, 93.595","Nov 26, 2024","Nov 26, 2024","false","Deborah List
Office of Family Assistance, Administration for Children and Families, Washington DC 20024
2024015488
"
"16.029","Office on Violence Against Women Special Projects","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.587, 16.528, 16.888, 16.025","Nov 26, 2024","Nov 26, 2024","true","Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
"16.578","Public Benefit Conveyance Program","H - Sale, Exchange, or Donation of Property and Goods","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 26, 2024","Nov 26, 2024","false","Laura Mizhir
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20351
202-616-6500
"
"93.567","Refugee and Entrant Assistance Voluntary Agency Programs","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.576, 93.583, 93.566, 93.598","Nov 26, 2024","Nov 26, 2024","true","Anastasia Brown, Director Division of Refugee Services
Mary E. Switzer Building, 330 C Street SW, Washington DC 20201
(202) 401-4559 
"
