Program Number,Program Title,Types of Assistance,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
93.917,HIV Care Formula Grants,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.914,"Nov 27, 2024","Nov 27, 2024",True,"Susan Robilotto, D.O., Director HIV/AIDS Bureau
Division of State HIV/AIDS Programs
Health Resources and Services Administration, Rockville MD 20857
(301) 443-6554
"
93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,"93.917, 93.994, 93.110","Nov 27, 2024","Nov 27, 2024",True,"Mahyar Mofidi, Director, Division of Community HIV/AIDS Programs
5600 Fishers Lane, Room 9N18, Rockville MD 20857
(301) 443-2075
"
93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Nov 27, 2024","Nov 27, 2024",True,"Mahyar Mofidi, Director, Division of Community HIV/AIDS Programs
HIV/AIDS Bureau
Health Resources and Services Administration, Rockville MD 20857
(301) 443-2075
"
93.686,Ending the HIV Epidemic:  A Plan for America  Ryan White HIV/AIDS Program Parts A and B,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Nov 27, 2024","Nov 27, 2024",False,"Deputy Associate Administrator Heather Hauck 
5600 Fishers Lane, Rockville MD 20857
(301) 443-1993
"
93.912,"Rural Health Care Services Outreach, Rural Health Network Development and Small Health Care Provider Quality Improvement",B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.224,"Nov 27, 2024","Nov 27, 2024",True,"Federal Office of Rural Health Policy
5600 Fishers Lane, Room 17W59-D, Rockville MD 20857
3014430835
"
93.914,HIV Emergency Relief Project Grants,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.917,"Nov 27, 2024","Nov 27, 2024",True,"Chrissy Abrahms-Woodland, Director,
5600 Fishers Lane, Room 9W12, Rockville MD 20857
(301)  443-1373
"
95.004,Anti-Doping Activities,B - Project Grants,EXECUTIVE OFFICE OF THE PRESIDENT,,,"Nov 27, 2024","Nov 27, 2024",True,"Lisa Newton
1800 G Street, NW, Washington DC 20503
202-395-6639
"
96.012,Interventional Cooperative Agreement Program,B - Cooperative Agreements,SOCIAL SECURITY ADMINISTRATION,,,"Nov 27, 2024","Nov 27, 2024",True,"Brenda Monch
6401 Security Blvd, Baltimore MD 21235
410-965-9521
"
95.006,Model Acts Program,B - Project Grants (Cooperative Agreements),EXECUTIVE OFFICE OF THE PRESIDENT,,,"Nov 27, 2024","Nov 27, 2024",True,"Lisa Newton
1800 G Street, NW, Washington DC 20503
202-395-6639
"
93.257,"Grants for Education, Prevention, and Early Detection of Radiogenic Cancers and Diseases",B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Nov 27, 2024","Nov 27, 2024",True,"Sachi Khushu, Program Coordinator
Federal Office of Rural Health Policy, Rockville MD 20857
3014432466
"
14.881,Moving to Work Demonstration Program,A - Formula Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,"14.872, 14.871, 14.850","Nov 27, 2024","Nov 27, 2024",False,"John Concannon
451 7th Street, SW, Washington DC 20410
6179948436
"
95.003,DFC NATIONAL COMMUNITY ANTIDRUG COALITION INSTITUTE,B - Project Grants,EXECUTIVE OFFICE OF THE PRESIDENT,EXECUTIVE OFFICE OF THE PRESIDENT,,"Nov 27, 2024","Nov 27, 2024",True,"Lisa Newton
1800 G Street, NW, Washington DC 20503
202-395-6639
"
95.001,High Intensity Drug Trafficking Areas Program,B - Project Grants,EXECUTIVE OFFICE OF THE PRESIDENT,,,"Nov 27, 2024","Nov 27, 2024",True,"Lisa Newton
1800 G Street, NW, Washington DC 20503
(202) 395-6639
"
96.008,Social Security - Work Incentives Planning and Assistance Program,B - Project Grants (Cooperative Agreements),SOCIAL SECURITY ADMINISTRATION,,17.207,"Nov 27, 2024","Nov 27, 2024",True,"Brenda Monch
Social Security Administration
Office of Acquisition and Grants
1540 Robert M. Ball Building
6401 Security Boulevard
, Baltimore MD 21235
410965959521
"
20.316,Railroad Rehabilitation and Improvement Financing Program,E - Direct Loans,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Nov 27, 2024","Nov 27, 2024",True,"Build America Bureau
Room W12-401, Washington DC 20590
2023662300
"
14.889,Choice Neighborhoods Implementation Grants,B - Project Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,,"Nov 27, 2024","Nov 27, 2024",True,"Luci Blackburn, Choice Neighborhoods of Director
451 7th Street S.W. Room 4130, Washington  DC 20410
(202) 402-4190
"
93.933,Demonstration Projects for Indian Health,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Nov 27, 2024","Nov 27, 2024",True,"Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204.
"
96.007,Social Security Research and Demonstration,B - Cooperative Agreements (Discretionary Grants),SOCIAL SECURITY ADMINISTRATION,,"93.779, 93.648, 96.008, 93.048","Nov 27, 2024","Nov 27, 2024",True,"Brenda Monch
Social Security Administration
Office of Acquisition and Grants
1540 Robert M. Ball Building
6401 Security Boulevard
, Baltimore MD 21235
4109659521
"
95.005,Drug Court Training and Technical Assistance,B - Cooperative Agreements,EXECUTIVE OFFICE OF THE PRESIDENT,,,"Nov 27, 2024","Nov 27, 2024",False,"Lisa Newton
1800 G Street, NW, Washington DC 20503
202-395-6639
"
90.4,Help America Vote College Program,B - Project Grants,ELECTION ASSISTANCE COMMISSION,,,"Nov 27, 2024","Nov 27, 2024",False,"Tina Bateman
633 3rd Street NW, Suite 200, Washington DC 20005
866-747-1471
"
93.237,Special Diabetes Program for Indians Diabetes Prevention and Treatment  Projects,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Nov 27, 2024","Nov 27, 2024",True,"Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
20.901,Payments for Essential Air Services,C - Direct Payments for Specified Use,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Nov 27, 2024","Nov 27, 2024",True,"Peter Irvine
Office of Aviation Analysis, X-50, Department of Transportation, 1200 New Jersey Ave S.E., Washington DC 20590
(202) 366-3156
"
14.872,Public Housing Capital Fund,A - Formula Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,"14.881, 14.850","Nov 27, 2024","Nov 27, 2024",True,"David Fleischman
451 7th Street, SW, Washington DC 20410
202.402.2071
"
14.869,Title VI Federal Guarantees for Financing Tribal Housing Activities,F - Guaranteed/Insured Loans,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,14.865,"Nov 27, 2024","Nov 27, 2024",True,"Tonya Plummer
451 7th Street, S.W., Room 4108, Washington DC 20410
(202) 402-6579
"
95.01,Congressional Directives,B - Project Grants,EXECUTIVE OFFICE OF THE PRESIDENT,,,"Nov 27, 2024","Nov 27, 2024",False,"Lisa Newton
1800 G Street, NW, Washington DC 20503
202-395-6639
"
81.041,State Energy Program,A - Formula Grants,"ENERGY, DEPARTMENT OF",,"81.042, 81.119","Nov 27, 2024","Nov 27, 2024",True,"Clay Pfrangle
15013 Denver West Parkway, Golden CO 80401
720-672-1445
"
14.874,Loan Guarantees for Native Hawaiian Housing,F - Guaranteed/Insured Loans,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,14.865,"Nov 27, 2024","Nov 27, 2024",True,"Tonya Plummer
451 7th Street, S.W., Room 4108, Washington DC 20410
2024026579
"
95.007,Research and Data Analysis,B - Cooperative Agreements,EXECUTIVE OFFICE OF THE PRESIDENT,,,"Nov 27, 2024","Nov 27, 2024",False,"Lisa Newton
1800 G Street, NW, Washington DC 20503
202-395-6639
"
14.893,Office of Native American Programs Training and Technical Assistance for Indian Housing Block Grant Program,M - Training,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,"14.867, 14.862, 15.141, 93.612","Nov 27, 2024","Nov 27, 2024",True,"Lee Sobel
451 7th Street, SW, Room 4108, Washington DC 20410
202-402-4578
"
14.871,Section 8 Housing Choice Vouchers,C - Direct Payments for Specified Use,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,,"Nov 27, 2024","Nov 27, 2024",True,"Steven R Durham, Director
Office of Housing and Vouchers Program
451 7th Street, SW, Washington DC 20410
202.402.5227
"
20.223,Transportation Infrastructure Finance and Innovation Act (TIFIA) Program,E - Direct Loans,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Nov 27, 2024","Nov 27, 2024",True,"Build America Bureau
Room W12-401, Washington DC 20590
2023662300
"
14.85,Public Housing Operating Fund,A - Formula Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,"14.872, 14.867","Nov 27, 2024","Nov 27, 2024",True,"Kevin Gallagher
451 7th Street, SW, Washington DC 20410
202.402.4192
"
10.048,Tribal Agriculture Technical Assistance,B - Cooperative Agreements,"AGRICULTURE, DEPARTMENT OF",IMMEDIATE OFFICE OF THE SECRETARY OF AGRICULTURE,,"Nov 27, 2024","Nov 27, 2024",True,"Betsy Rakola
1400 Jefferson Drive SW, Washington DC 20250
202-205-2249
"
14.239,Home Investment Partnerships Program,A - Formula Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,14.275,"Nov 27, 2024","Nov 27, 2024",True,"Peter Huber
451 7th Street SW, room 7164, Washington DC 20410
202-708-2684
"
14.892,Choice Neighborhoods Planning Grants,B - Project Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,14.889,"Nov 27, 2024","Nov 27, 2024",True,"Luci Blackburn, Director, Choice Neighborhoods Program
451 7th Street S.W. Room 4130, Washington  DC 20410
(202) 402-4190
"
14.878,Affordable Housing Development in Main Street Rejuvenation Projects,B - Project Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,,"Nov 27, 2024","Nov 27, 2024",False,"John Holtgreive
451 7th Street, S.W., Room 4140, Washington DC 20410
2024026645
"
81.3,Grid Deployment Office - Other Direct Funding Mechanisms/Identified Transactions,C - Direct Payments for Specified Use,"ENERGY, DEPARTMENT OF",,,"Nov 27, 2024","Nov 27, 2024",True,"Brittley Robbins
1000 Independence Avenue SW, Washington DC 20585
240-597-8754
"
93.223,Development and Coordination of Rural Health Services,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.913,"Nov 27, 2024","Nov 27, 2024",True,"Federal Office of Rural Health Policy
5600 Fishers Lane, Room 17SWH03, Rockville MD 20857
(301)287-2619
"
14.275,Housing Trust Fund,A - Formula Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,14.239,"Nov 27, 2024","Nov 27, 2024",True,"Peter Huber
451 7th Street SW, room 7164, Washington DC 20410
202-708-2684
"
93.155,Rural Health Research Centers,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Nov 27, 2024","Nov 27, 2024",True,"Federal Office of Rural Health Policy,
5600 Fishers Lane, Mail Stop 17SWH03, Rockville MD 20857
(301) 945-0835
"
12.225,Commercial Technologies for Maintenance Activities Program,B - Cooperative Agreements,DEPT OF DEFENSE,,,"Nov 27, 2024","Nov 27, 2024",True,"Stephen E. McKee
3500 Defense Pentagon, Washington VA 203013500
571-969-0662
"
14.888,Lead-Based Paint Capital Fund Program,B - Project Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,"14.872, 14.881, 14.850","Nov 27, 2024","Nov 27, 2024",True,"David Fleischman
451 7th Street, SW, Washington DC 20410
2024022071
"
81.087,Renewable Energy Research and Development,B - Cooperative Agreements,"ENERGY, DEPARTMENT OF",,,"Nov 27, 2024","Nov 27, 2024",True,"Joe Lucas
15013 Denver West Parkway, Golden CO 80401
240-562-1683
"
81.117,"Energy Efficiency and Renewable Energy Information Dissemination, Outreach, Training and Technical Analysis/Assistance",B - Cooperative Agreements,"ENERGY, DEPARTMENT OF",,,"Nov 27, 2024","Nov 27, 2024",True,"Clay Pfrangle
15013 Denver West Parkway, Golden CO 80401
720-672-1445
"
14.862,Indian Community Development Block Grant Program,B - Project Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,14.867,"Nov 27, 2024","Nov 27, 2024",True,"Hilary Atkin
451 7th Street SW, Rm. 4108, Washington DC 20410
202-402-3427
"
90.404,HAVA Election Security Grants,A - Formula Grants,ELECTION ASSISTANCE COMMISSION,,,"Nov 27, 2024","Nov 27, 2024",False,"Risa Garza
633 3rd Street NW, Washington DC 20001
866-747-1471
"
14.879,Mainstream Vouchers,C - Direct Payments for Specified Use,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,14.871,"Nov 27, 2024","Nov 27, 2024",True,"Steven Durham
451 7th Street, S.W., Room 4210, Washington DC 20410
(202) 708-5227
"
93.228,"Indian Health Service, Health Management Development Program",B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,93.224,"Nov 27, 2024","Nov 27, 2024",True,"Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
14.865,Public and Indian Housing Indian Loan Guarantee Program,F - Guaranteed/Insured Loans,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,,"Nov 27, 2024","Nov 27, 2024",True,"Tonya Plummer
451 7th Street, S.W., Room 4108, Washington DC 20410
(202) 402-6579
"
14.867,Indian Housing Block Grants,A - Formula Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,14.862,"Nov 27, 2024","Nov 27, 2024",True,"Hilary Atkin
451 7th Street SW, Room 4108, Washington DC 20410
2024023427
"
90.401,Help America Vote Act Requirements Payments,A - Formula Grants,ELECTION ASSISTANCE COMMISSION,,,"Nov 27, 2024","Nov 27, 2024",False,"Risa Garza
633 3rd Street NW, Washington DC 20001
866-747-1471
"
14.899,Tribal HUD-VA Supportive Housing Program,B - Project Grants (Discretionary),"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,14.867,"Nov 27, 2024","Nov 27, 2024",True,"Hilary Atkin
451 7th Street, SW, Room 4108, Washington DC 20410
202-402-3427
"
20.941,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants Program,B - Project Grants (Discretionary),"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Nov 27, 2024","Nov 27, 2024",True,"Thy H. Nguyen
1200 New Jersey Avenue SE, Washington DC 20590
2028750520
"
14.873,Native Hawaiian Housing Block Grants,B - Project Grants,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,,"Nov 27, 2024","Nov 27, 2024",True,"Claudine Allen
1132 Bishop Street,  1400, Honolulu HI 96813
(808) 457-4674
"
81.042,Weatherization Assistance for Low-Income Persons,A - Formula Grants,"ENERGY, DEPARTMENT OF",,"81.041, 81.119","Nov 27, 2024","Nov 27, 2024",True,"Clay Pfrangle
15013 Denver West Parkway, Golden CO 80401
720-672-1445
"
93.301,Small Rural Hospital Improvement Grant Program,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Nov 27, 2024","Nov 27, 2024",False,"Krista Mastel, Program Coordinator 
Federal Office of Rural Health Policy, Rockville MD 20857
(301) 443-0491
"
81.086,Conservation Research and Development,B - Cooperative Agreements,"ENERGY, DEPARTMENT OF",,,"Nov 27, 2024","Nov 27, 2024",True,"Joe Lucas
15013 Denver West Parkway, Golden CO 80401
240-562-1683
"
81.119,State Energy Program Special Projects,B - Cooperative Agreements,"ENERGY, DEPARTMENT OF",,81.041,"Nov 27, 2024","Nov 27, 2024",True,"Clay Pfrangle
15013 Denver West Parkway, Golden CO 80401
720-672-1445
"
66.203,Environmental Finance Center Grants,B - Cooperative Agreements (Discretionary Grants),ENVIRONMENTAL PROTECTION AGENCY,,"66.611, 66.814","Nov 26, 2024","Nov 26, 2024",True,"Ellen Tarquinio, Director
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code:  4202M), Washington DC 20460
202-566-2267
"
66.204,Multipurpose Grants to States and Tribes,A - Formula Grants,ENVIRONMENTAL PROTECTION AGENCY,,,"Nov 26, 2024","Nov 26, 2024",True,"William Post, Tribal MPG Contact
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W., Washington DC 20460
202-564-5607
"
66.472,Beach Monitoring and Notification Program Implementation Grants,A - Formula Grants,ENVIRONMENTAL PROTECTION AGENCY,,,"Nov 26, 2024","Nov 26, 2024",True,"Andrea Contreras Balbuena
Environmental Protection Agency, Office of Water, Standards and Health Protection Division, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4305T  ), Washington DC 20460
202-566-1017
"
81.26,"County of Nye, Nye County Sheriffs Office Law Enforcement Services",B - Project Grants (Cooperative Agreements),"ENERGY, DEPARTMENT OF",,,"Nov 26, 2024","Nov 26, 2024",True,"Iralien Sainvilmar
24600 20th Street SE, Albuquerque NM 87185
(505) 845-5569
"
66.432,State Public Water System Supervision,A - Formula Grants,ENVIRONMENTAL PROTECTION AGENCY,,66.433,"Nov 26, 2024","Nov 26, 2024",True,"Grant Jiang
Environmental Protection Agency, Office of Ground Water and Drinking Water, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4606M), Washington DC 20460
(202) 564-1393
"
66.443,Reducing Lead in Drinking Water (SDWA 1459B),B - Project Grants (Discretionary),ENVIRONMENTAL PROTECTION AGENCY,,66.444,"Nov 26, 2024","Nov 26, 2024",True,"Hillarie Ishida
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 4606M), Washington DC 20460
202-564-3671
"
66.448,Drinking Water System Infrastructure Resilience and Sustainability Program  SDWA 1459A(l),B - Project Grants (Discretionary),ENVIRONMENTAL PROTECTION AGENCY,,,"Nov 26, 2024","Nov 26, 2024",True,"Claudette Ojo
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W., Washington DC 20460
202-564-8886
"
16.608,Tribal Justice Systems,B - Project Grants,"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS,,"Nov 26, 2024","Nov 26, 2024",False,"Trish Thackston
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-307-0581
"
16.059,Tribal Special Criminal Jurisdiction Reimbursement,C - Direct Payments for Specified Use,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS",,"Nov 26, 2024","Nov 26, 2024",True,"Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
16.588,Violence Against Women Formula Grants,A - Formula Grants,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.590","Nov 26, 2024","Nov 26, 2024",True,"Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
93.97,Health Professions Recruitment Program for Indians,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Nov 26, 2024","Nov 26, 2024",True,"Division of Grants Management, 
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
93.444,Tribal Self-Governance Program: Planning and Negotiation Cooperative Agreement,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Nov 26, 2024","Nov 26, 2024",True,"Division of Grants Management, 
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204.
"
93.566,Refugee and Entrant Assistance State/Replacement Designee Administered Programs,A - Formula Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR CHILDREN AND FAMILIES,"93.576, 93.567, 93.583, 93.598","Nov 26, 2024","Nov 26, 2024",True,"Carl Rubenstein, Director- Division of Refugee Assistance
Mary E. Switzer Building
330 C Street SW, 5th Floor West, Washington DC 20201
(202) 205-5933
"
93.971,Health Professions Preparatory Scholarship Program for Indians,M - Training,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Nov 26, 2024","Nov 26, 2024",True,"Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
16.75,Support for Adam Walsh Act Implementation Grant Program,B - Project Grants,"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS,,"Nov 26, 2024","Nov 26, 2024",True,"Portia Graham
U.S. Department of Justice
Office of Justice Programs
SMART Office
999 North Capitol Street, NE, Washington DC 20531
202-514-4689
"
93.344,"Research, Monitoring and Outcomes Definitions for Vaccine Safety",B - Project Grants (Discretionary),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",OFFICE OF ASSISTANT SECRETARY FOR HEALTH,,"Nov 26, 2024","Nov 26, 2024",True,"Duane Barlow
1101 Wootton Parkway
Plaza Level, Rockville MD 20852
(240) 453-8822.
"
16.557,Tribal Domestic Violence and Sexual Assault Coalitions Grant Program,B - Project Grants,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.590","Nov 26, 2024","Nov 26, 2024",True,"Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
93.092,Affordable Care Act (ACA) Personal Responsibility Education Program,B - Project Grants (Discretionary),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR CHILDREN AND FAMILIES,,"Nov 26, 2024","Nov 26, 2024",True,"Mousumi Banikya, Director
330 C Street, SW, Washington DC 20201
202-619-1066
"
16.038,National Decertification Index,B - Project Grants (Cooperative Agreements or Contracts),"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS,,"Nov 26, 2024","Nov 26, 2024",False,"David Lewis
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-616-7829
"
93.231,Epidemiology Program,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Nov 26, 2024","Nov 26, 2024",True,"Division of Grants Management
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
301-443-5204
"
93.493,Congressional Directives,B - Project Grants (for specified projects),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",,,"Nov 26, 2024","Nov 26, 2024",False,"Felix Lorenzo
200 Independence Ave SW, Washington DC 20201
240-453-6193
"
16.032,Academic-based Drug Field Testing and Training Initiative,B - Project Grants,"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS,,"Nov 26, 2024","Nov 26, 2024",False,"Tammy Brown
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-532-0112
"
81.01,"Office of Technology Transitions (OTT)-Technology Deployment, Demonstration and Commercialization",B - Project Grants,"ENERGY, DEPARTMENT OF",,,"Nov 26, 2024","Nov 26, 2024",True,"Marcos Gonzales Harsha
US Department Of Energy
1000 Independence Ave. SW, Washington DC 20585
202-586-8427
"
16.556,State Domestic Violence and Sexual Assault Coalitions,A - Formula Grants,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.589, 16.587, 16.590","Nov 26, 2024","Nov 26, 2024",True,"Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
17.264,National Farmworker Jobs Program,A - Formula Grants,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION,17.258,"Nov 26, 2024","Nov 26, 2024",True,"Steven Rietzke
200 Constitution Ave. NW, Room C-4510, Washington DC 20210-0001
2026933912
"
93.193,Urban Indian Health Services,B - Project Grants (Discretionary),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Nov 26, 2024","Nov 26, 2024",True,"Division of Grants Management,
5600 Fishers Lane, Mail Stop: 09E70, Rockville MD 20857
(301) 443-5204
"
81.122,"Electricity Research, Development and Analysis",B - Cooperative Agreements,"ENERGY, DEPARTMENT OF",,,"Nov 26, 2024","Nov 26, 2024",True,"Russell Perrin
Office of Electricity
U.S. Department of Energy
1000 Independence Avenue SW, Washington, DC 20585, washington DC 20585
2025864936
"
16.741,DNA Backlog Reduction Program,A - Formula Grants (Cooperative Agreements),"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS,,"Nov 26, 2024","Nov 26, 2024",False,"Andrea Borchardt
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
(202) 598-1721
"
16.593,Residential Substance Abuse Treatment for State Prisoners,A - Formula Grants,"JUSTICE, DEPARTMENT OF",OFFICE OF JUSTICE PROGRAMS,,"Nov 26, 2024","Nov 26, 2024",True,"Renee Howell
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
(202) 856-8319
"
16.056,National Deaf Services Line,B - Project Grants (Cooperative Agreements),"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS",,"Nov 26, 2024","Nov 26, 2024",True,"Office on Violence Against Women
145 N. St., NE, Suite 10W.100, Washington DC 20530
2023076026
"
64.026,Veterans State Adult Day Health Care,A - Formula Grants,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER,"64.015, 64.014","Nov 26, 2024","Nov 26, 2024",True,"State Home Per Diem
Geriatrics and Extended Care Service
Department of Veterans Affairs, Washington DC 20420
(202) 461-6750
"
