Program Title,Program Number
Abandoned Mine Land Economic Revitalization (AMLER) Program,15.258
Mine Drainage Technology Initiative (MDTI),15.259
National Park Service Centennial Challenge,15.406
Keweenaw National Historical Park (NHP) Preservation Grants,15.407
Bureau of Ocean Energy Management Renewable Energy,15.408
Alaska Coastal Marine Institute,15.421
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),15.423
Marine Minerals Activities,15.424
Federal Oil and Gas Royalty Management State and Tribal Coordination,15.427
State Select,15.429
8(g) State Coastal Zone,15.430
Alaska Settlement Agreement,15.431
California Refuge Account,15.432
Flood Control Act Lands,15.433
Geothermal Resources,15.434
GoMESA,15.435
Late Disbursement Interest,15.436
Minerals Leasing Act,15.437
National Forest Acquired Lands,15.438
National Petroleum Reserve - Alaska,15.439
South Half of the Red River,15.440
Safety and Environmental Research and Data Collection for Offshore Energy and Mineral Activities,15.441
Alaska Native Science and Engineering,15.442
Not For Profit,15.443
Take Pride,15.444
Water Recycling and Desalination Construction Programs,15.504
Water Desalination Research and Development,15.506
WaterSMART (Sustain and Manage Americaâs Resources for Tomorrow),15.507
Providing Water to At-Risk Natural Desert Terminal Lakes,15.508
"Title II, Colorado River Basin Salinity Control",15.509
Colorado Ute Indian Water Rights Settlement Act,15.510
Cultural Resources Management,15.511
"Central Valley Improvement Act, Title XXXIV",15.512
Reclamation States Emergency Drought Relief,15.514
Fort Peck Reservation Rural Water System,15.516
Fish and Wildlife Coordination Act,15.517
Garrison Diversion Unit,15.518
"Indian Tribal Water Resources Development, Management, and Protection",15.519
Lewis and Clark Rural Water System,15.520
Lower Rio Grande Valley Water Resources Conservation and Improvement,15.521
Mni Wiconi Rural Water Supply Project,15.522
Recreation Resources Management,15.524
Rocky Boy's/North Central Montana Regional Water System,15.525
San Gabriel Basin Restoration,15.526
Upper Colorado and San Juan River Basins Endangered Fish Recovery,15.529
Water Conservation Field Services (WCFS),15.530
Yakima River Basin Water Enhancement (YRBWE),15.531
"Central Valley,  Trinity River Division, Trinity River Fish and Wildlife Management",15.532
California Water Security and Environmental Enhancement,15.533
Upper Colorado River Basin Fish and Wildlife Mitigation,15.535
Lower Colorado River Multi-Species Conservation,15.538
Equus Beds Division Acquifer Storage Recharge,15.539
Lake Mead/Las Vegas Wash,15.540
Colorado River Basin Act of 1968,15.541
Arizona Water Settlement Act of 2004,15.542
Lake Tahoe Regional Wetlands Development,15.543
Platte River Recovery Implementation,15.544
Youth Conservation,15.546
FISH-ABLE Fun with Reclamation,15.550
Navajo-Gallup Water Supply,15.552
Eastern New Mexico Rural Water System,15.553
Cooperative Watershed Management,15.554
San Joaquin River Restoration,15.555
Crow Tribe Water Rights Settlement,15.556
Applied Science Grants,15.557
White Mountain Apache Tribe Rural Water System,15.558
New Mexico Rio Grande Basin Pueblos Irrigation Infrastructure,15.559
SECURE Water Act â Research Agreements,15.560
Suisun Marsh Preservation Agreement,15.563
Central Valley Project Conservation,15.564
Implementation of the Taos Pueblo Indian water rights settlement,15.565
Upper Klamath Basin Water Supply Alignment,15.566
Colorado River System Conservation Pilot,15.567
Educational Outreach,15.569
Bay-Delta Restoration Program,15.570
Salton Sea Program,15.571
Agricultural Water Use Efficiency Program,15.572
Water Storage Enhancement,15.574
Yakima River Basin Water Enhancement Phase III (Yakima Basin Integrated Plan),15.576
Domestic Water Supply Projects,15.577
Multiyear Drought Mitigation in Other Reclamation River Basins Program,15.578
WaterSMART Enhancing Water Resources Projects,15.579
Aquatic Ecosystem Restoration Program,15.580
Water Resources Development Act,15.581
Dry-Redwater Rural Water Project Feasibility Study,15.582
Truckee-Carson Basins Research and Data Collection,15.583
Emergency Drought Relief for Tribes,15.585
WaterSMART Drought Response Program,15.590
WaterSMART Desalination Construction Program,15.591
WaterSMART Planning and Project Design Grants,15.592
Sport Fish Restoration,15.605
Fish and Aquatic Conservation - Aquatic Invasive Species,15.608
Wildlife Restoration and Basic Hunter Education and Safety,15.611
"Coastal Wetlands Planning, Protection and Restoration",15.614
Cooperative Endangered Species Conservation Fund,15.615
Clean Vessel Act,15.616
Rhinoceros and Tiger Conservation Fund,15.619
African Elephant Conservation Fund,15.620
Asian Elephant Conservation Fund,15.621
Sportfishing and Boating Safety Act,15.622
North American Wetlands Conservation Fund,15.623
Enhanced Hunter Education and Safety,15.626
Multistate Conservation Grant,15.628
Great Ape Conservation Fund - Africa,15.629
Coastal,15.630
Partners for Fish and Wildlife,15.631
State Wildlife Grants,15.634
Neotropical Migratory Bird Conservation,15.635
Alaska Subsistence Management,15.636
Migratory Bird Joint Ventures,15.637
Tribal Wildlife Grants,15.639
Latin America and Caribbean Regional,15.640
Alaska Migratory Bird Co-Management Council,15.643
Marine Turtle Conservation Fund,15.645
Migratory Bird Conservation,15.647
Central Valley Project Improvement Act (CVPIA),15.648
Central Africa Regional,15.651
Invasive Species,15.652
National Outreach and Communication,15.653
National Wildlife Refuge System Enhancements,15.654
"Migratory Bird Monitoring, Assessment and Conservation",15.655
Endangered Species Recovery Implementation,15.657
Natural Resource Damage Assessment and Restoration,15.658
Candidate Species Conservation,15.660
Lower Snake River Compensation Plan,15.661
Great Lakes Restoration,15.662
NFWF-USFWS Conservation Partnership,15.663
Fish and Wildlife Coordination and Assistance,15.664
National Wetlands Inventory,15.665
Endangered Species Conservation-Wolf Livestock Loss Compensation and Prevention,15.666
Highlands Conservation,15.667
Collaborative Landscape Conservation,15.669
Adaptive Science,15.670
Yukon River Salmon Research and Management Assistance,15.671
National Fire Plan-Wildland Urban Interface Community Fire Assistance,15.674
"Youth Engagement, Education, and Employment",15.676
Hurricane Sandy Disaster Relief Activities-FWS,15.677
Cooperative Ecosystem Studies Units,15.678
Combating Wildlife Trafficking,15.679
Mexican Wolf Recovery,15.680
Cooperative Agriculture,15.681
Experienced Services,15.682
Prescott Marine Mammal Rescue Assistance,15.683
White-nose Syndrome National Response Implementation,15.684
National Fish Passage,15.685
National Fish Habitat Partnership,15.686
Great Lakes Sea Lamprey Control,15.687
Great Lakes Fish and Wildlife Restoration Act,15.688
Great Ape Conservation Fund-Asia,15.689
Rhinoceros Conservation Fund-Africa,15.690
Nicodemus National Historic Site,15.785
Assistance to State Water Resources Research Institutes,15.805
Earthquake Hazards Program Assistance,15.807
U.S. Geological Survey Research and Data Collection,15.808
National Cooperative Geologic Mapping,15.810
Cooperative Research Units,15.812
National Geological and Geophysical Data Preservation,15.814
National Land Remote Sensing Education Outreach and Research,15.815
National Geospatial Program: Building The National Map,15.817
Volcano Hazards Program Research and Monitoring,15.818
National and Regional Climate Adaptation Science Centers,15.820
USGS Cooperative Landslide Hazard Mapping and Assessment Program,15.821
U.S. Geological Survey Use of Space in Cooperator Facilities,15.828
"Economic, Social, and Political Development of the Territories",15.875
Historic Preservation Fund Grants-In-Aid,15.904
"Outdoor Recreation Acquisition, Development and Planning",15.916
"Rivers, Trails and Conservation Assistance",15.921
Native American Graves Protection and Repatriation Act,15.922
National Center for Preservation Technology and Training,15.923
National Maritime Heritage Grants,15.925
American Battlefield Protection,15.926
Battlefield Land Acquisition Grants,15.928
Save America's Treasures,15.929
Chesapeake Bay Gateways Network,15.930
Youth and Veteran Organizations Conservation Activities,15.931
Preservation of Historic Structures on the Campuses of Historically Black Colleges and Universities (HBCUs).,15.932
Preservation of Japanese American Confinement Sites,15.933
National Trails System Projects,15.935
Boston African-American National Historic Site,15.938
Heritage Partnership,15.939
Mississippi National River and Recreation Area State and Local Assistance,15.941
Challenge Cost Share,15.943
Natural Resource Stewardship,15.944
Cooperative Research and Training Programs â Resources of the National Park System,15.945
Cultural Resources Management,15.946
National Fire Plan-Wildland Urban Interface Community Fire Assistance,15.948
"National Park Service Conservation, Protection, Outreach, and Education",15.954
Martin Luther King Junior National Historic Site and Preservation District,15.955
Cooperative Management of Ebey's Landing National Historical Reserve.,15.956
Emergency Supplemental Historic Preservation Fund,15.957
Route 66 Corridor Preservation,15.958
Education Program Management,15.959
National Wild and Scenic Rivers System,15.962
Southwest Border Resource Protection Program,15.963
9/11 Memorial Act Grant Program,15.964
Groundwork - Brownfield to Greenspace,15.965
Historic Preservation Fund Grants-in-Aid for Competitive Grants,15.966
National Wildland Fire Management and Natural Resource Training and Workforce Development,15.969
Upper Mississippi River Restoration Long Term Resource Monitoring,15.978
National Ground-Water Monitoring Network,15.980
Water Use and Data Research,15.981
Earth Resources Grant Program (ERGP) Financial Assistance Awards,15.983
NPS Alaska Subsistence Management,15.984
Good Neighbor Authority for Restoration,15.987
Good Neighbor Authority - Recreation,15.988
September 11 National Memorial Trail,15.991
Law Enforcement Assistance Narcotics and Dangerous Drugs Laboratory Analysis,16.001
Law Enforcement Assistance Narcotics and Dangerous Drugs Technical Laboratory Publications,16.003
Law Enforcement Assistance Narcotics and Dangerous Drugs Training,16.004
Missing Alzheimer's Disease Patient Assistance Program,16.015
Culturally and Linguistically Specific Services Program,16.016
Sexual Assault Services Formula Program,16.017
Justice Systems Response to Families,16.021
Sexual Assault Services Culturally Specific Program,16.023
Tribal Sexual Assault Services Program,16.024
Special Domestic Violence Criminal Jurisdiction Implementation,16.025
OVW Research and Evaluation Program,16.026
National Clearinghouse on Sexual Assault of American Indian and Alaska Native Women,16.027
"Resource Center on Workplace Response to Domestic Violence, Dating Violence, Sexual Assault, and Stalking",16.028
Office on Violence Against Women Special Projects,16.029
National Center on Restorative Justice,16.030
Emmett Till Cold Case Investigations Program,16.031
Preventing Trafficking of Girls,16.035
Comprehensive Forensic DNA Analysis Grant Program,16.036
Strengthening the Medical Examiner - Coroner System,16.037
Rural Violent Crime Initiative,16.039
"Matthew Shepard and James Byrd, Jr. Hate Crimes Education, Investigation and Prosecution Program",16.040
National Ashanti Alert Network Training and Technical Assistance Program,16.041
Veterans Treatment Court Discretionary Grant Program,16.043
Forensics Training and Technical Assistance Program,16.044
Community-Based Violence Intervention and Prevention Initiative,16.045
Drug Data Research Center to Combat the Opioid Crisis,16.046
Community-Based Approaches to Advancing Justice,16.047
Khalid Jabara and Heather Heyer NO HATE Act,16.048
Supporting Vulnerable and At-Risk Youth Transitioning out of Foster Care,16.049
Missing and Unidentified Human Remains (MUHR) Program,16.050
Crime Gun Intelligence Training and Education,16.051
"Restorative Practices to Address Domestic Violence, Dating Violence, Sexual Assault, and Stalking",16.052
Sexual Assault Forensic Examinations,16.053
Virtual Reality De-escalation Training,16.054
Tribal Special Assistant United States Attorneys,16.055
National Deaf Services Line,16.056
"Demonstration Program on Trauma-Informed, Victim Centered Training for Law Enforcement",16.058
Tribal Special Criminal Jurisdiction Reimbursement,16.059
Local Law Enforcement Grants for Enforcement of Cybercrimes,16.060
National Resource Center on Cybercrimes Against Individuals,16.061
Grants to State and Tribal Courts to Implement Protection Order Pilot Programs,16.062
"Financial Assistance to Victims of Domestic Violence, Dating Violence, Sexual Assault, and Stalking",16.063
Sexual Assault Forensic Exam Training and Services,16.064
Training to Improve Police-Based Responses to the People with Mental Illness,16.065
Officer Robert Wilson III Preventing Violence Against Law Enforcement Officers and Ensuring Officer Resilience and Survivability (VALOR),16.066
Family-Based Alternative Justice Program,16.067
COPS Hiring Program,16.068
Preparing for Active Shooter Situations,16.069
Law Enforcement Mental Health and Wellness Act,16.070
School Violence Prevention Program,16.071
COPS Anti-Methamphetamine Program,16.072
COPS Anti-Heroin Task Force Program,16.073
Daniel Anderl Act Judicial Security,16.074
Arts in Juvenile Justice,16.075
"Law Enforcement Support for Combatting Criminal Aliens, Drug, and Human Trafficking",16.076
Model Cities Initiative,16.077
Community-Based Violence Prevention Program,16.123
Law Enforcement Assistance FBI Advanced Police Training,16.300
Law Enforcement Assistance FBI Crime Laboratory Support,16.301
Law Enforcement Assistance FBI Field Police Training,16.302
Law Enforcement Assistance FBI Fingerprint Identification,16.303
Law Enforcement Assistance National Crime Information Center,16.304
Law Enforcement Assistance Uniform Crime Reports,16.305
Combined DNA Index System,16.307
Indian Country Investigations,16.308
Law Enforcement Assistance National Instant Criminal Background Check System,16.309
Services for Trafficking Victims,16.320
Antiterrorism Emergency Reserve,16.321
Legal Assistance for Victims,16.524
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",16.525
OVW Technical Assistance Initiative,16.526
Enhanced Training and Services to End Violence and Abuse of Women Later in Life,16.528
"Education, Training, and Enhanced Services to End Violence Against and Abuse of Women with Disabilities",16.529
Juvenile Justice and Delinquency Prevention,16.540
Missing Children's Assistance,16.543
Delinquency Prevention Program,16.548
State Justice Statistics Program for Statistical Analysis Centers,16.550
National Criminal History Improvement Program (NCHIP),16.554
State Domestic Violence and Sexual Assault Coalitions,16.556
Tribal Domestic Violence and Sexual Assault Coalitions Grant Program,16.557
"National Institute of Justice Research, Evaluation, and Development Project Grants",16.560
Public Safety Officers' Benefits Program,16.571
Crime Victim Assistance,16.575
Crime Victim Compensation,16.576
Crime Victim Assistance/Discretionary Grants,16.582
Children's Justice Act Partnerships for Indian Communities,16.583
Treatment Court Discretionary Grant Program,16.585
Violence Against Women Discretionary Grants for Indian Tribal Governments,16.587
Violence Against Women Formula Grants,16.588
"Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program",16.589
Grants to Encourage Arrest Policies and Enforcement of Protection Orders Program,16.590
Residential Substance Abuse Treatment for State Prisoners,16.593
Tribal Justice Assistance,16.596
Corrections Training and Staff Development,16.601
Corrections Research and Evaluation and Policy Formulation,16.602
Corrections Technical Assistance/Clearinghouse,16.603
State Criminal Alien Assistance Program,16.606
Bulletproof Vest Partnership Program,16.607
Tribal Justice Systems,16.608
Project Safe Neighborhoods,16.609
Regional Information Sharing Systems,16.610
State and Local Anti-Terrorism Training,16.614
Public Safety Officers' Educational Assistance,16.615
Public Safety Partnership and Community Policing Grants,16.710
Juvenile Mentoring Program,16.726
Tribal Youth Program,16.731
Special Data Collections and Statistical Studies,16.734
PREA Program: Strategic Support for PREA Implementation,16.735
"Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking, or Sexual Assault",16.736
Edward Byrne Memorial Justice Assistance Grant Program,16.738
National Prison Rape Statistics Program,16.739
DNA Backlog Reduction Program,16.741
Paul Coverdell Forensic Sciences Improvement Grant Program,16.742
Criminal and Juvenile Justice and Mental Health Collaboration Program,16.745
Capital Case Litigation Initiative,16.746
Support for Adam Walsh Act Implementation Grant Program,16.750
Edward Byrne Memorial Competitive Grant Program,16.751
"Economic, High-Tech, and Cyber Crime Prevention",16.752
Congressionally Recommended Awards,16.753
Harold Rogers Prescription Drug Monitoring Program,16.754
Court Appointed Special Advocates,16.756
Judicial Training on Child Maltreatment for Court Personnel Juvenile Justice Programs,16.757
Improving the Investigation and Prosecution of Child Abuse and the Regional and Local Children's Advocacy Centers,16.758
Second Chance Act Reentry Initiative,16.812
NICS Act Record Improvement Program,16.813
"Tribal Civil and Criminal Legal Assistance Grants, Training and Technical Assistance",16.815
John R.  Justice Prosecutors and Defenders Incentive Act,16.816
Byrne Criminal Justice Innovation Program,16.817
Children Exposed to Violence,16.818
Postconviction Testing of DNA Evidence,16.820
Emergency Planning for Juvenile Justice Facilities,16.823
Emergency Law Enforcement Assistance Grant,16.824
Smart Prosecution Initiative,16.825
Justice Reinvestment Initiative,16.827
"Swift, Certain, and Fair Supervision Program: Applying the Principles Behind Project HOPE",16.828
Reducing Recidivism for Female Juvenile Delinquents,16.830
Children of Incarcerated Parents,16.831
National Sexual Assault Kit Initiative,16.833
Domestic Trafficking Victim Program,16.834
Body Worn Camera Policy and Implementation,16.835
Indigent Defense,16.836
"Comprehensive Opioid, Stimulant, and Substance Use Program",16.838
STOP School Violence,16.839
Keep Young Athletes Safe,16.840
VOCA Tribal Victim Services Set-Aside Program,16.841
Opioid Affected Youth Initiative,16.842
Consolidated And Technical Assistance Grant Program to Address Children and Youth Experiencing Domestic and Sexual Violence and Engage Men and Boys as Allies,16.888
Grants for Outreach and Services to Underserved Populations,16.889
Equitable Sharing Program,16.922
Labor Force Statistics,17.002
Compensation and Working Conditions,17.005
Employment Service/Wagner-Peyser Funded Activities,17.207
Unemployment Insurance,17.225
Senior Community Service Employment Program,17.235
Trade Adjustment Assistance,17.245
WIOA Adult Program,17.258
WIOA Youth Activities,17.259
Workforce Data Quality Initiative (WDQI),17.261
National Farmworker Jobs Program,17.264
Native American Employment and Training,17.265
H-1B Job Training Grants,17.268
Reentry Employment Opportunities,17.270
Work Opportunity Tax Credit Program (WOTC),17.271
Temporary Labor Certification for Foreign Workers,17.273
YouthBuild,17.274
WIOA National Dislocated Worker Grants / WIA National Emergency Grants,17.277
WIOA Dislocated Worker Formula Grants,17.278
WIOA Dislocated Worker National Reserve Demonstration Grants,17.280
WIOA Dislocated Worker National Reserve Technical Assistance and Training,17.281
Registered Apprenticeship,17.285
Job Corps Experimental Projects and Technical Assistance,17.287
Community Project Funding/Congressionally Directed Spending,17.289
"WIOA Adult, Dislocated Worker and Youth Outlying Areas Consolidated Grants",17.290
Longshore and Harbor Workers' Compensation,17.302
Coal Mine Workers' Compensation,17.307
Energy Employees Occupational Illness Compensation,17.310
International Labor Programs,17.401
Occupational Safety and Health Susan Harwood Training Grants,17.502
Occupational Safety and Health State Program,17.503
Consultation Agreements,17.504
Mine Health and Safety Grants,17.600
Brookwood-Sago Grant,17.603
Safety and Health Grants,17.604
Women's Bureau,17.700
Women in Apprenticeship and Nontraditional Occupations (âWANTOâ) Technical Assistance Grant Program,17.701
Disability Employment Policy Development,17.720
Jobs for Veterans State Grants,17.801
Homeless Veteransâ Reintegration Program,17.805
Academic Exchange Programs - Undergraduate Programs,19.009
Academic Exchange Programs - Hubert H. Humphrey Fellowship Program,19.010
Academic Exchange Programs - Special Academic Exchange Programs,19.011
Professional and Cultural Exchange Programs - Special Professional and Cultural Programs,19.012
Thomas R. Pickering Foreign Affairs Fellowship Program,19.013
"Cultural, Technical and Educational Centers",19.015
Environmental and Scientific Partnerships and Programs,19.017
Resettlement Support Centers (RSCs) for U.S. Refugee Resettlement,19.018
International Programs to Combat Human Trafficking,19.019
Charles B. Rangel International Affairs Program,19.020
Investing in People in The Middle East and North Africa,19.021
Educational and Cultural Exchange Programs Appropriation Overseas Grants,19.022
Overseas Schools Program,19.023
Soft Target Program for Overseas Schools,19.024
U.S. Ambassadors Fund for Cultural Preservation,19.025
Global Peace Operations Initiative,19.026
Energy Governance and Reform Programs,19.027
The U.S. President's Emergency Plan for AIDS Relief Programs,19.029
Global Threat Reduction,19.033
Cyber Capacity Building,19.035
Cultural Antiquities Task Force,19.036
Public Diplomacy Programs,19.040
Strategic Global Priorities,19.041
Migration Management,19.042
Study of International Parental Child Abduction,19.043
Refugee Resettlement,19.044
International Disaster and Humanitarian Response,19.045
Global Health Security and Transition of Life-saving Services,19.046
International Fisheries Commissions,19.087
Bureau of South and Central Asian Affairs,19.108
Conflict and Stabilization Operations,19.121
East Asia and Pacific Grants Program,19.124
Fishermen's Guaranty Fund,19.204
Foreign Affairs IT (FAIT) Fellowship,19.205
"William D. Clarke, Sr. Fellowship",19.207
Student Programs and Fellowships,19.209
Ambassadors' Special Self Help Fund,19.220
Regional Democracy Program,19.221
Trans-Sahara Counterterrorism Partnership (TSCTP),19.222
South Sudan and Sudan Assistance Program,19.223
Nonproliferation and Disarmament Fund,19.224
Africa Regional Democracy Fund,19.225
Program for Study of Eastern Europe and the Independent States of the Former Soviet Union,19.300
The Secretary's Office of the Global Partnership Initiative (S/GPI) Grant Programs,19.301
Decrypting PRC Industrial and Technology Policy,19.303
Export Controls and Border Security,19.317
Economic Statecraft,19.322
Office of the Biological Policy Staff,19.334
"International Programs to Support Democracy, Human Rights and Labor",19.345
Academic Exchange Programs - Graduate Students,19.400
Academic Exchange Programs - Scholars,19.401
Professional and Cultural Exchange Programs - International Visitor Leadership Program,19.402
Academic Exchange Programs - Teachers,19.408
Professional and Cultural Exchange Programs - Citizen Exchanges,19.415
Academic Exchange Programs - English Language Programs,19.421
Academic Exchange Programs - Educational Advising and Student Services,19.432
ECA U.S. Speaker Program,19.440
ECA â American Spaces,19.441
ECA Individual Grants,19.450
Special International Exchange Grant Programs,19.451
International Exchange Alumni Programs,19.452
Middle East Partnership Initiative,19.500
Public Diplomacy Programs for Afghanistan and Pakistan,19.501
Middle East Regional Cooperation Program,19.502
U.S. Refugee Admissions Program,19.510
Overseas Refugee Assistance Programs for East Asia,19.511
Contributions to International Organizations for Overseas Assistance,19.515
Overseas Refugee Assistance Programs for Africa,19.517
Overseas Refugee Assistance Programs for Western Hemisphere,19.518
Overseas Refugee Assistance Program for Middle East and North Africa Program,19.519
Overseas Refugee Assistance Programs for Europe,19.520
Overseas Refugee Assistance Programs for Strategic Global Priorities,19.522
Overseas Refugee Assistance Program for South Asia,19.523
Bureau of Near Eastern Affairs,19.600
Syria Assistance Program,19.601
Fiscal Transparency Innovation Fund,19.662
Global Telecommunications and Emerging Technology Training,19.663
Cyberspace and Digital Policy,19.665
EUR/ACE National Endowment for Democracy Small Grants,19.666
Global Counterterrorism Programs,19.701
Criminal Justice Systems,19.703
Counter Narcotics,19.704
Trans-National Crime,19.705
Partnership for Regional East Africa Counterterrorism,19.706
Assessed Contributions for State Department,19.707
Bureau of Western Hemisphere Affairs Assistance Coordination (WHA/AC) Grant Programs,19.750
"100,000 Strong in the Americas Innovation Fund",19.777
Contributions to International Organizations- CIO,19.790
Voluntary Contributions to International Organizations,19.791
Assessed Contributions to International Organizations,19.792
Bureau of International Organization Affairs Grants Program,19.793
Weapons Removal and Abatement,19.800
Office of Global Women's Issues,19.801
Multilateral and Nuclear Affairs,19.808
EUR-Other,19.878
Global Defense Reform Program,19.888
AEECA/ESF PD Programs,19.900
Export Control and Related Border Security,19.901
Cooperation on Peaceful Uses of Nuclear Energy,19.903
Organization of American States Programs,19.948
Assessed Contributions to International Organizations/CIPA,19.973
Regional Peace and Security,19.979
State/African Regional - Other Economic Support Funds (ESF) Projects/Programs,19.989
International Justice and Accountability Programming,19.990
"Airport Improvement Program, Infrastructure Investment and Jobs Act Programs, and COVID-19 Airports Programs",20.106
Aviation Research Grants,20.108
Air Transportation Centers of Excellence,20.109
Aircraft Pilots Workforce Development Grant Program,20.111
Aviation Maintenance Technical Workforce Grant Program,20.112
Fueling Aviationâs Sustainable Transition via Sustainable Aviation Fuels (FAST-SAF) and Low-Emissions Aviation Technologies (FAST-Tech) Grant,20.115
Airport Improvement Program,20.116
Airport Infrastructure Grants,20.117
Airport Terminal Program,20.118
Competitive Type 3 Highway Bridge Program,20.198
Stopping Threats On Pedestrian Competitive Grant Program (The Bollards Program),20.199
Highway Research and Development Program,20.200
Highway Planning and Construction,20.205
Highway Training and Education,20.215
Motor Carrier Safety Assistance,20.218
Recreational Trails Program,20.219
The Charging and Fueling Infrastructure (CFI) Grant Program,20.220
Exploratory Advanced Research (EAR) Program,20.221
Transportation Infrastructure Finance and Innovation Act (TIFIA) Program,20.223
Federal Lands Access Program,20.224
Highway Research & Development Program,20.225
Advanced Transportation Technology and Innovation (ATTAIN) Program,20.226
Technology & Innovation Deployment Program 503(c),20.227
Active Transportation Infrastructure Investment Program  (ATIIP),20.228
Appalachian Development Highway System,20.229
Commercial Driver's License Program Implementation Grant,20.232
Commercial Motor Vehicle Operator Safety Training Grants,20.235
Motor Carrier Safety Assistance High Priority Activities Grants and Cooperative Agreements,20.237
Fuel Tax Evasion-Intergovernmental Enforcement Effort,20.240
Commercial Motor Vehicle Enforcement Training and Support,20.243
High Priority-Commercial Motor Vehicle (HP-CMV) Grant,20.244
High Priority-Innovative Technology Deployment (HP-ITD) Grant,20.245
Crash Causal Factors Grant Program,20.246
"State, Planning and Research",20.258
Environmental Review Implementation Fund,20.259
Federal Lands Transportation Program (FLTP),20.260
National Summer Transportation Institute Grants (NSTI),20.261
Prioritization Process Pilot Program,20.262
Bridge Formula Program,20.263
Bridge Investment Program,20.264
Carbon Reduction Program,20.265
Commuter Authority Rail Safety Improvement (CARSI) Grant Program,20.266
Competitive Highway Bridge Program (CHBP),20.267
Congestion Mitigation and Air Quality Improvement Program (CMAQ),20.268
Congestion Relief Program,20.269
Construction of Ferry Boats and Ferry Terminal Facilities Program (FBP),20.270
Emergency Relief (ER) Program,20.271
Highway Safety Improvement Program (HSIP),20.272
Intelligent Transportation Systems (ITS) Program,20.273
Low-Carbon Transportation Materials (LCTM) Program,20.274
Metropolitan Planning Program (MPP),20.275
"National Culvert Removal, Replacement, & Restoration Grant",20.276
National Electric Vehicle Infrastructure,20.277
National Highway Freight Program (NHFP),20.278
National Highway Performance Program (NHPP),20.279
National Scenic Byways Program,20.280
Nationally Significant Federal Lands and Tribal Projects (NSFLTP),20.281
On-the-Job Training Program Supportive Services (OJT/SS),20.282
Pollinator-Friendly Practices on Roadsides and Highway Rights-of-Way Discretionary Grant Program,20.283
"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT)",20.284
Railway-Highway Crossings Program,20.285
Reduction of Truck Emissions at Port Facilities,20.286
Surface Transportation Block Grant Program,20.287
Transportation Access Pilot Program,20.288
Tribal Transportation Program (TTP),20.289
Wildlife Crossings Pilot Program,20.290
Centers for Surface Transportation Excellence 504(h),20.291
Garrett A. Morgan Technology and Transportation Education Program (GAMTTEP),20.293
Highway Training & Education Local Technical Assistance 504(b),20.294
Highway Training & Education Research Fellowships 504(c),20.295
"Surface Transportation Workforce Development, Training, and Education 504(e)",20.296
Transportation Education and Training Development  and Deployment Program (TETDDP) 504(f),20.297
Territorial and Puerto Rico Highway Program,20.298
Safety Related Activities,20.299
Railroad Safety,20.301
Railroad Research and Development,20.313
Railroad Development,20.314
National Railroad Passenger Corporation Grants,20.315
Railroad Rehabilitation and Improvement Financing Program,20.316
Capital Assistance to States - Intercity Passenger Rail Service,20.317
Maglev Project Selection Program - SAFETEA-LU,20.318
High-Speed Rail Corridors and Intercity Passenger Rail Service â Capital Assistance Grants,20.319
Rail Line Relocation and Improvement,20.320
Railroad Safety Technology Grants,20.321
Fiscal Year 2013 Hurricane Sandy Disaster Relief Grants to the National Railroad Passenger Corporation,20.323
Restoration and Enhancement,20.324
Consolidated Rail Infrastructure and Safety Improvements,20.325
Federal-State Partnership for Intercity Passenger Rail,20.326
Railroad Crossing Elimination,20.327
Interstate Rail Compacts,20.328
Railroad Safety,20.329
Railroad Safety State Participation Grant Program,20.330
Railroad Research and Development Centers of Excellence,20.331
Railroad Research and Development,20.332
Northeast Corridor Commission,20.333
Railroad Development,20.334
State-Amtrak Intercity Passenger Rail Committee,20.335
Consolidated Rail Infrastructure and Safety Improvements Program,20.337
Consolidated Rail Infrastructure and Safety Improvements Program â Special Transportation Circumstances,20.338
Corridor Identification and Development Program,20.339
Federal-State Partnership for Intercity Passenger Rail Grant Program,20.340
Federal Transit Capital Investment Grants,20.500
Metropolitan Transportation Planning and State and Non-Metropolitan Planning and Research,20.505
Federal Transit Formula Grants,20.507
Formula Grants for Rural Areas and Tribal Transit Program,20.509
Enhanced Mobility of Seniors and Individuals with Disabilities,20.513
Job Access and Reverse Commute Program,20.516
Metropolitan Transportation Planning (Section 5303),20.517
Paul S. Sarbanes Transit in the Parks,20.520
New Freedom Program,20.521
Passenger Rail Investment and Improvement (PRIIA)  Projects for Washington Metropolitan Area Transit Authority (WMATA),20.524
State of Good Repair Grants Program,20.525
"Buses and Bus Facilities Formula, Competitive, and Low or No Emissions Programs",20.526
Public Transportation Emergency Relief Program,20.527
Rail Fixed Guideway Public Transportation System State Safety Oversight Formula Grant Program,20.528
Bus Testing,20.529
Public Transportation Innovation,20.530
Technical Assistance and Workforce Development,20.531
"Passenger Ferry Grant Program, Electric or Low-Emitting Ferry Pilot Program, and Ferry Service for Rural Communities Program",20.532
All Stations Accessibility Program,20.533
Community Project Funding Congressionally Directed Spending,20.534
