ID,FEDERALPROGRAMNAME,CFDAPREFIX,CFDAEXT
1365,ALL-VOLUNTEER FORCE EDUCATIONAL ASSISTANCE,64,124
1366,VOCATIONAL AND EDUCATIONAL COUNSELING FOR SERVICEMEMBERS AND VETERANS,64,125
1367,NATIVE AMERICAN VETERAN DIRECT LOAN PROGRAM,64,126
1368,MONTHLY ALLOWANCE FOR CHILDREN OF VIETNAM VETERANS BORN WITH SPINA BIFIDA,64,127
1369,VOCATIONAL TRAINING AND REHABILITATION FOR VIETNAM VETERANS' CHILDREN WITH SPINA BIFIDA OR OTHER COVERED BIRTH DEFECTS,64,128
1370,NATIONAL CEMETERIES,64,201
1371,PROCUREMENT OF HEADSTONES AND MARKERS AND/OR PRESIDENTIAL MEMORIAL CERTIFICATES,64,202
1372,STATE CEMETERY GRANTS,64,203
1373,AIR POLLUTION CONTROL PROGRAM SUPPORT,66,001
1374,STATE INDOOR RADON GRANTS,66,032
1375,OZONE TRANSPORT COMMISSION,66,033
1376,"SURVEYS, STUDIES, RESEARCH, INVESTIGATIONS, DEMONSTRATIONS, AND SPECIAL PURPOSE ACTIVITIES RELATING TO THE CLEAN AIR ACT",66,034
1377,"INTERNSHIPS, TRAINING AND WORKSHOPS FOR THE OFFICE OF AIR AND RADIATION",66,037
1378,"TRAINING, INVESTIGATIONS, AND SPECIAL PURPOSE ACTIVITIES OF FEDERALLY-RECOGNIZED INDIAN TRIBES CONSISTENT WITH THE CLEAN AIR ACT (CAA), TRIBAL SOVEREIGNTY AND THE PROTECTION AND MANAGEMENT OF AIR QUALITY",66,038
1379,NATIONAL CLEAN DIESEL EMISSIONS REDUCTION PROGRAM,66,039
1380,STATE CLEAN DIESEL GRANT PROGRAM,66,040
1381,TEMPORALLY INTEGRATED MONITORING OF ECOSYSTEMS (TIME) AND LONG-TERM MONITORING (LTM) PROGRAM,66,042
1382,"REGIONAL HEALTHY INDOOR AIR PROJECTS FOR COMMUNITY OUTREACH AND EDUCATION, SURVEYS, STUDIES, RESEARCH, INVESTIGATIONS, DEMONSTRATIONS, AND SPECIAL PURPOSE ACTIVITIES RELATING TO THE CLEAN AIR ACT",66,043
1383,HEALTHY COMMUNITIES GRANT PROGRAM,66,110
1384,PUGET SOUND PROTECTION AND RESTORATION: TRIBAL IMPLEMENTATION ASSISTANCE PROGRAM,66,121
1385,"PUGET SOUND ACTION AGENDA OUTREACH, EDUCATION AND STEWARDSHIP SUPPORT PROGRAM",66,122
1386,PUGET SOUND ACTION AGENDA: TECHNICAL INVESTIGATIONS AND IMPLEMENTATION ASSISTANCE PROGRAM,66,123
1387,COASTAL WETLANDS PLANNING PROTECTION AND RESTORATION ACT,66,124
1388,LAKE PONTCHARTRAIN BASIN RESTORATION PROGRAM (PRP),66,125
1389,THE SAN FRANCISCO BAY WATER QUALITY IMPROVEMENT FUND,66,126
1390,SOUTHEASTERN MULTI-MEDIA AND GEOGRAPHIC PRIORITY PROJECTS,66,128
1391,CONGRESSIONALLY MANDATED PROJECTS,66,202
1392,ENVIRONMENTAL FINANCE CENTER GRANTS,66,203
1393,COMPLIANCE ASSISTANCE SUPPORT FOR SERVICES TO THE REGULATED COMMUNITY AND OTHER ASSISTANCE PROVIDERS,66,305
1394,ENVIRONMENTAL JUSTICE COLLABORATIVE PROBLEM-SOLVING COOPERATIVE AGREEMENT PROGRAM,66,306
1395,"SURVEYS, STUDIES, INVESTIGATIONS, TRAINING AND SPECIAL PURPOSE ACTIVITIES RELATING TO ENVIRONMENTAL JUSTICE",66,309
1396,CAPACITY BUILDING GRANTS AND COOPERATIVE AGREEMENTS FOR COMPLIANCE ASSURANCE AND ENFORCEMENT ACTIVITIES IN INDIAN COUNTRY AND OTHER TRIBAL AREAS,66,310
1397,INTERNATIONAL COMPLIANCE AND ENFORCEMENT PROJECTS,66,313
1398,CONSTRUCTION GRANTS FOR WASTEWATER TREATMENT WORKS,66,418
1399,"WATER POLLUTION CONTROL STATE, INTERSTATE, AND TRIBAL PROGRAM SUPPORT",66,419
1400,"SURVEYS, STUDIES, INVESTIGATIONS, DEMONSTRATIONS, AND TRAINING GRANTS - SECTION 1442 OF THE SAFE DRINKING WATER ACT",66,424
1401,STATE PUBLIC WATER SYSTEM SUPERVISION,66,432
1402,STATE UNDERGROUND WATER SOURCE PROTECTION,66,433
1403,"SURVEYS, STUDIES, INVESTIGATIONS, DEMONSTRATIONS, AND TRAINING GRANTS AND COOPERATIVE AGREEMENTS - SECTION 104(B)(3) OF THE CLEAN WATER ACT",66,436
1404,LONG ISLAND SOUND PROGRAM,66,437
1405,TARGETED WATERSHEDS GRANTS,66,439
1406,URBAN WATERS SMALL GRANTS,66,440
1407,HEALTHY WATERSHEDS CONSORTIUM GRANT PROGRAM,66,441
1408,WATER QUALITY MANAGEMENT PLANNING,66,454
1409,NATIONAL ESTUARY PROGRAM,66,456
1410,CAPITALIZATION GRANTS FOR CLEAN WATER STATE REVOLVING FUNDS,66,458
1411,NONPOINT SOURCE IMPLEMENTATION GRANTS,66,460
1412,REGIONAL WETLAND PROGRAM DEVELOPMENT GRANTS,66,461
1413,NATIONAL WETLAND PROGRAM DEVELOPMENT GRANTS AND FIVE-STAR RESTORATION TRAINING GRANT,66,462
1414,WATER QUALITY COOPERATIVE AGREEMENTS,66,463
1415,CHESAPEAKE BAY PROGRAM,66,466
1416,WASTEWATER OPERATOR TRAINING GRANT PROGRAM,66,467
1417,CAPITALIZATION GRANTS FOR DRINKING WATER STATE REVOLVING FUNDS,66,468
1418,GREAT LAKES PROGRAM,66,469
1419,BEACH MONITORING AND NOTIFICATION PROGRAM IMPLEMENTATION GRANTS,66,472
1420,DIRECT IMPLEMENTATION TRIBAL COOPERATIVE AGREEMENTS,66,473
1421,WATER PROTECTION GRANTS TO THE STATES,66,474
1422,GULF OF MEXICO PROGRAM,66,475
1423,LAKE CHAMPLAIN BASIN PROGRAM,66,481
1424,DISASTER RELIEF APPROPRIATIONS ACT (DRAA) HURRICANE SANDY CAPITALIZATION GRANTS FOR CLEAN WATER STATE REVOLVING FUNDS,66,482
1425,DISASTER RELIEF APPROPRIATIONS ACT (DRAA) HURRICANE SANDY CAPITALIZATION GRANTS FOR DRINKING WATER STATE REVOLVING FUNDS,66,483
1426,SENIOR ENVIRONMENTAL EMPLOYMENT PROGRAM,66,508
1427,SCIENCE TO ACHIEVE RESULTS (STAR) RESEARCH PROGRAM,66,509
1428,"SURVEYS, STUDIES, INVESTIGATIONS AND SPECIAL PURPOSE GRANTS WITHIN THE OFFICE OF RESEARCH AND DEVELOPMENT",66,510
1429,OFFICE OF RESEARCH AND DEVELOPMENT CONSOLIDATED RESEARCH/TRAINING/FELLOWSHIPS,66,511
1430,GREATER RESEARCH OPPORTUNITIES (GRO) FELLOWSHIPS FOR UNDERGRADUATE ENVIRONMENTAL STUDY,66,513
1431,SCIENCE TO ACHIEVE RESULTS (STAR) FELLOWSHIP PROGRAM,66,514
1432,P3 AWARD: NATIONAL STUDENT DESIGN COMPETITION FOR SUSTAINABILITY,66,516
1433,REGIONAL APPLIED RESEARCH EFFORTS (RARE),66,517
1434,STATE SENIOR ENVIRONMENTAL EMPLOYMENT PROGRAM,66,518
1435,ENVIRONMENTAL PROTECTION CONSOLIDATED GRANTS FOR THE INSULAR AREAS - PROGRAM SUPPORT,66,600
1436,ENVIRONMENTAL JUSTICE SMALL GRANT PROGRAM,66,604
1437,PERFORMANCE PARTNERSHIP GRANTS,66,605
1438,ENVIRONMENTAL INFORMATION EXCHANGE NETWORK GRANT PROGRAM AND RELATED ASSISTANCE,66,608
1439,PROTECTION OF CHILDREN FROM ENVIRONMENTAL HEALTH RISKS,66,609
1440,"SURVEYS, STUDIES, INVESTIGATIONS AND SPECIAL PURPOSE GRANTS WITHIN THE OFFICE OF THE ADMINISTRATOR",66,610
1441,ENVIRONMENTAL POLICY AND INNOVATION GRANTS,66,611
1442,"SURVEYS, STUDIES, INVESTIGATIONS, TRAINING DEMONSTRATIONS AND EDUCATIONAL OUTREACH RELATED TO ENVIRONMENTAL INFORMATION AND THE RELEASE OF TOXIC CHEMICALS",66,612
1443,CONSOLIDATED PESTICIDE ENFORCEMENT COOPERATIVE AGREEMENTS,66,700
1444,TOXIC SUBSTANCES COMPLIANCE MONITORING COOPERATIVE AGREEMENTS,66,701
1445,TSCA TITLE IV STATE LEAD GRANTS CERTIFICATION OF LEAD-BASED PAINT PROFESSIONALS,66,707
1446,POLLUTION PREVENTION GRANTS PROGRAM,66,708
1447,REGIONAL AGRICULTURAL IPM GRANTS,66,714
1448,"RESEARCH, DEVELOPMENT, MONITORING, PUBLIC EDUCATION, TRAINING, DEMONSTRATIONS, AND STUDIES",66,716
1449,SOURCE REDUCTION ASSISTANCE,66,717
1450,HAZARDOUS WASTE MANAGEMENT STATE PROGRAM SUPPORT,66,801
1451,"SUPERFUND STATE, POLITICAL SUBDIVISION, AND INDIAN TRIBE SITE-SPECIFIC COOPERATIVE AGREEMENTS",66,802
1452,"UNDERGROUND STORAGE TANK (UST) PREVENTION, DETECTION, AND COMPLIANCE PROGRAM",66,804
1453,LEAKING UNDERGROUND STORAGE TANK TRUST FUND CORRECTIVE ACTION PROGRAM,66,805
1454,SUPERFUND TECHNICAL ASSISTANCE GRANTS (TAG) FOR COMMUNITY GROUPS AT NATIONAL PRIORITY LIST (NPL) SITES,66,806
1455,SOLID WASTE MANAGEMENT ASSISTANCE GRANTS,66,808
1456,SUPERFUND STATE AND INDIAN TRIBE CORE PROGRAM COOPERATIVE AGREEMENTS,66,809
1457,HAZARDOUS WASTE MANAGEMENT GRANT PROGRAM FOR TRIBES,66,812
1458,"ALTERNATIVE OR INNOVATIVE TREATMENT TECHNOLOGY RESEARCH, DEMONSTRATION, TRAINING, AND HAZARDOUS SUBSTANCE RESEARCH GRANTS",66,813
1459,"BROWNFIELDS TRAINING, RESEARCH, AND TECHNICAL ASSISTANCE GRANTS AND COOPERATIVE AGREEMENTS",66,814
1460,ENVIRONMENTAL WORKFORCE DEVELOPMENT AND JOB TRAINING COOPERATIVE AGREEMENTS,66,815
1461,HEADQUARTERS AND REGIONAL UNDERGROUND STORAGE TANKS PROGRAM,66,816
1462,STATE AND TRIBAL RESPONSE PROGRAM GRANTS,66,817
1463,BROWNFIELDS ASSESSMENT AND CLEANUP COOPERATIVE AGREEMENTS,66,818
1464,DISASTER RELIEF APPROPRIATIONS ACT (DRAA) HURRICANE SANDY LEAKING UNDERGROUND STORAGE TANK TRUST FUND CORRECTIVE ACTION PROGRAM,66,819
1465,INDIAN ENVIRONMENTAL GENERAL ASSISTANCE PROGRAM (GAP),66,926
1466,INTERNATIONAL FINANCIAL ASSISTANCE PROJECTS SPONSORED BY THE OFFICE OF INTERNATIONAL AND TRIBAL AFFAIRS,66,931
1467,NATIONAL ENVIRONMENTAL EDUCATION TRAINING PROGRAM,66,950
568,ASSISTANCE TO TRIBALLY CONTROLLED COMMUNITY COLLEGES AND UNIVERSITIES,15,027
569,TRIBALLY CONTROLLED COMMUNITY COLLEGE ENDOWMENTS,15,028
570,TRIBAL COURTS,15,029
571,INDIAN LAW ENFORCEMENT,15,030
572,INDIAN COMMUNITY FIRE PROTECTION,15,031
573,INDIAN ECONOMIC DEVELOPMENT,15,032
574,ROAD MAINTENANCE_INDIAN ROADS,15,033
575,AGRICULTURE ON INDIAN LANDS,15,034
576,FORESTRY ON INDIAN LANDS,15,035
577,INDIAN RIGHTS PROTECTION,15,036
578,WATER RESOURCES ON INDIAN LANDS,15,037
579,MINERALS AND MINING ON INDIAN LANDS,15,038
580,REAL ESTATE PROGRAMS_INDIAN LANDS,15,040
581,ENVIRONMENTAL MANAGEMENT_INDIAN PROGRAMS,15,041
582,INDIAN SCHOOL EQUALIZATION PROGRAM,15,042
583,INDIAN CHILD AND FAMILY EDUCATION,15,043
584,INDIAN SCHOOLS_STUDENT TRANSPORTATION,15,044
585,ADMINISTRATIVE COST GRANTS FOR INDIAN SCHOOLS,15,046
586,"INDIAN EDUCATION FACILITIES, OPERATIONS, AND MAINTENANCE",15,047
587,BUREAU OF INDIAN AFFAIRS FACILITIES_OPERATIONS AND MAINTENANCE,15,048
588,ENDANGERED SPECIES ON INDIAN LANDS,15,051
589,LITIGATION SUPPORT FOR INDIAN RIGHTS,15,052
590,ATTORNEY FEES_INDIAN RIGHTS,15,053
591,NAVAJO-HOPI INDIAN SETTLEMENT PROGRAM,15,057
592,INDIAN POST SECONDARY SCHOOLS,15,058
593,INDIAN GRADUATE STUDENT SCHOLARSHIPS,15,059
594,INDIAN VOCATIONAL TRAINING_UNITED TRIBES TECHNICAL COLLEGE,15,060
595,INDIAN JOB PLACEMENT_UNITED SIOUX TRIBES DEVELOPMENT CORPORATION,15,061
596,REPLACEMENT AND REPAIR OF INDIAN SCHOOLS,15,062
597,IMPROVEMENT AND REPAIR OF INDIAN DETENTION FACILITIES,15,063
598,SAFETY OF DAMS ON INDIAN LANDS,15,065
599,INDIAN EMPLOYMENT ASSISTANCE,15,108
600,INDIAN SOCIAL SERVICES_WELFARE ASSISTANCE,15,113
601,INDIAN EDUCATION_HIGHER EDUCATION GRANT PROGRAM,15,114
602,INDIAN LOANS_ECONOMIC DEVELOPMENT,15,124
603,INDIAN EDUCATION_ASSISTANCE TO SCHOOLS,15,130
604,NATIVE AMERICAN BUSINESS DEVELOPMENT INSTITUTE,15,133
605,INDIAN HOUSING ASSISTANCE,15,141
606,INDIAN CHILD WELFARE ACT_TITLE II GRANTS,15,144
607,IRONWORKER TRAINING PROGRAM,15,146
608,TRIBAL COURTS_TRUST REFORM INITIATIVE,15,147
609,TRIBAL ENERGY DEVELOPMENT CAPACITY GRANTS,15,148
610,FOCUS ON STUDENT ACHIEVEMENT PROJECT,15,149
611,JUVENILE DETENTION EDUCATION,15,150
612,EDUCATION PROGRAM ENHANCEMENTS,15,151
613,LAND BUY-BACK PROGRAM FOR TRIBAL NATIONS,15,152
614,HURRICANE SANDY DISASTER RELIEF Ð COASTAL RESILIENCY GRANTS.,15,153
615,21ST CENTURY CONSERVATION SERVICE CORPS,15,154
616,"OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS, FIELD OPERATIONS",15,155
617,COOPERATIVE LANDSCAPE CONSERVATION,15,156
618,NON-SALE DISPOSALS OF MINERAL MATERIAL,15,214
619,COOPERATIVE INSPECTION AGREEMENTS WITH STATES AND TRIBES,15,222
620,CULTURAL RESOURCE MANAGEMENT,15,224
621,RECREATION RESOURCE MANAGEMENT,15,225
622,PAYMENTS IN LIEU OF TAXES,15,226
623,DISTRIBUTION OF RECEIPTS TO STATE AND LOCAL GOVERNMENTS,15,227
624,BLM FUELS MANAGEMENT AND COMMUNITY FIRE ASSISTANCE PROGRAM ACTIVITIES,15,228
625,WILD HORSE AND BURRO RESOURCE MANAGEMENT,15,229
626,INVASIVE AND NOXIOUS PLANT MANAGEMENT,15,230
627,"FISH, WILDLIFE AND PLANT CONSERVATION RESOURCE MANAGEMENT",15,231
628,WILDLAND FIRE RESEARCH AND STUDIES PROGRAM,15,232
629,FORESTS AND WOODLANDS RESOURCE MANAGEMENT,15,233
630,SECURE RURAL SCHOOLS AND COMMUNITY SELF-DETERMINATION,15,234
631,SOUTHERN NEVADA PUBLIC LAND MANAGEMENT,15,235
632,ENVIRONMENTAL QUALITY AND PROTECTION RESOURCE MANAGEMENT,15,236
633,RANGELAND RESOURCE MANAGEMENT,15,237
634,CHALLENGE COST SHARE,15,238
635,MANAGEMENT INITIATIVES,15,239
636,HELIUM RESOURCE MANAGEMENT,15,240
637,"INDIAN SELF-DETERMINATION ACT CONTRACTS, GRANTS AND COOPERATIVE AGREEMENTS",15,241
638,NATIONAL FIRE PLAN - RURAL FIRE ASSISTANCE,15,242
639,REGULATION OF SURFACE COAL MINING AND SURFACE EFFECTS OF UNDERGROUND COAL MINING,15,250
640,ABANDONED MINE LAND RECLAMATION (AMLR) PROGRAM,15,252
641,NOT-FOR-PROFIT AMD RECLAMATION,15,253
642,OSM/VISTA AMERICORPS PROGRAM,15,254
643,SCIENCE AND TECHNOLOGY PROJECTS RELATED TO COAL MINING AND RECLAMATION,15,255
644,NATIONAL PARK SERVICE CENTENNIAL CHALLENGE.,15,406
645,KEWEENAW NATIONAL HISTORICAL PARK (NHP) AND KEWEENAW NHP ADVISORY COMMISSION PARTNER ENHANCEMENT GRANTS,15,407
646,BUREAU OF OCEAN ENERGY MANAGEMENT RENEWABLE ENERGY PROGRAM,15,408
647,ALASKA COASTAL MARINE INSTITUTE,15,421
648,LOUISIANA STATE UNIVERSITY (LSU) COASTAL MARINE INSTITUTE  (CMI),15,422
649,BUREAU OF OCEAN ENERGY MANAGEMENT (BOEM) ENVIRONMENTAL STUDIES PROGRAM (ESP),15,423
650,MARINE MINERALS ACTIVITIES - HURRICANE SANDY,15,424
651,OFFSHORE RESEARCH TECHNOLOGY CENTER (OTRC) TEXAS ENGINEERING EXPERIMENT STATION (TEES),15,425
652,FEDERAL OIL AND GAS ROYALTY MANAGEMENT STATE AND TRIBAL COORDINATION,15,427
653,MARINE GAS HYDRATE RESEARCH ACTIVITIES,15,428
654,STATE SELECT,15,429
655,8(G) STATE COASTAL ZONE,15,430
656,ALASKA SETTLEMENT AGREEMENT,15,431
657,CALIFORNIA REFUGE ACCOUNT,15,432
658,FLOOD CONTROL ACT LANDS,15,433
659,GEOTHERMAL RESOURCES,15,434
660,GOMESA,15,435
661,LATE DISBURSEMENT INTEREST,15,436
662,MINERALS LEASING ACT,15,437
663,NATIONAL FOREST ACQUIRED LANDS,15,438
664,NATIONAL PETROLEUM RESERVE - ALASKA,15,439
665,SOUTH HALF OF THE RED RIVER,15,440
666,SAFETY AND ENVIRONMENTAL ENFORCEMENT RESEARCH AND DATA COLLECTION FOR OFFSHORE ENERGY AND MINERAL ACTIVITIES,15,441
667,TITLE XVI WATER RECLAMATION AND REUSE PROGRAM,15,504
668,WATER DESALINATION RESEARCH AND DEVELOPMENT PROGRAM,15,506
669,WATERSMART (SUSTAINING AND MANAGE AMERICA'S RESOURCES FOR TOMORROW),15,507
670,PROVIDING WATER TO AT-RISK NATURAL DESERT TERMINAL LAKES,15,508
671,"TITLE II, COLORADO RIVER BASINSALINITY CONTROL PROGRAM",15,509
672,COLORADO UTE INDIAN WATER RIGHTS SETTLEMENT ACT,15,510
673,CULTURAL RESOURCES MANAGEMENT,15,511
674,"CENTRAL VALLEY PROJECT IMPROVEMENT ACT, TITLE XXXIV",15,512
675,RECLAMATION STATES EMERGENCY DROUGHT RELIEF,15,514
676,FORT PECK RESERVATION RURAL WATER SYSTEM,15,516
677,FISH AND WILDLIFE COORDINATION ACT,15,517
678,GARRISON DIVERSION UNIT,15,518
679,"INDIAN TRIBAL WATER RESOURCES DEVELOPMENT, MANAGEMENT, AND PROTECTION",15,519
680,LEWIS AND CLARK RURAL WATER SYSTEM,15,520
681,LOWER RIO GRANDE VALLEY WATER RESOURCES CONSERVATION AND IMPROVEMENT,15,521
682,MNI WICONI RURAL WATER SUPPLY PROJECT,15,522
683,RECREATION RESOURCES MANAGEMENT,15,524
684,ROCKY BOY'S/NORTH CENTRAL MONTANA REGIONAL WATER SYSTEM,15,525
685,"SAN LUIS UNIT, CENTRAL VALLEY PROJECT",15,527
686,UPPER COLORADO AND SAN JUAN RIVER BASINS ENDANGERED FISH RECOVERY PROGRAMS,15,529
687,WATER CONSERVATION FIELD SERVICES PROGRAM (WCFSP),15,530
688,YAKIMA RIVER BASIN WATER ENHANCEMENT PROJECT (YRBWEP),15,531
689,"CENTRAL VALLEY PROJECT, TRINITY RIVER DIVISION, TRINITY RIVER  FISH AND WILDLIFE MANAGEMENT",15,532
690,CALIFORNIA WATER SECURITY AND ENVIRONMENTAL ENHANCEMENT,15,533
691,"MISCELLANEOUS PUBLIC LAW 93-638 CONTRACTS, GRANTS, AND COOPERATIVE AGREEMENTS",15,534
692,UPPER COLORADO RIVER BASIN FISH AND WILDLIFE MITIGATION PROGRAM,15,535
693,MIDDLE RIO GRANDE ENDANGERED SPECIES COLLABORATIVE PROGRAM,15,537
694,LOWER COLORADO RIVER MULTI-SPECIES CONSERVATION PROGRAM.,15,538
695,EQUUS BEDS DIVISION ACQUIFER STORAGE RECHARGE PROJECT,15,539
696,LAKE MEAD/LAS VEGAS WASH PROGRAM,15,540
697,ARIZONA WATER SETTLEMENT ACT OF 2004,15,542
698,LAKE TAHOE REGIONAL WETLANDS DEVELOPMENT PROGRAM,15,543
699,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,15,544
700,YOUTH CONSERVATION PROGRAM,15,546
701,RECLAMATION RURAL WATER SUPPLY PROGRAM,15,548
702,INTEGRATED REGIONAL WATER PLAN FOR THE CENTRAL VALLEY OF CALIFORNIA,15,549
703,INCREASING PUBLIC AWARENESS OF RECREATIONAL OPPORTUNITIES AT RECLAMATION RESERVOIRS FOR PHYSICALLY CHALLENGED AND DISADVANTAGED CHILDREN,15,550
704,MADERA WATER SUPPLY ENHANCEMENT PROJECT,15,551
705,NAVAJO-GALLUP WATER SUPPLY PROJECT,15,552
706,EASTERN NEW MEXICO RURAL WATER SYSTEM PROJECT,15,553
707,COOPERATIVE WATERSHED MANAGEMENT PROGRAM,15,554
708,SAN JOAQUIN RIVER RESTORATION PROGRAM,15,555
709,CROW TRIBE WATER RIGHTS SETTLEMENT,15,556
710,DESERT AND SOUTHERN ROCKIES LANDSCAPE CONSERVATION COOPERATIVES,15,557
711,WHITE MOUNTAIN APACHE TRIBE RURAL WATER SYSTEM,15,558
712,NEW MEXICO RIO GRANDE BASIN PUEBLOS IRRIGATION INFRASTRUCTURE PROJECT,15,559
713,SECURE WATER ACT Ð RESEARCH AGREEMENTS,15,560
714,SAVAGE RAPIDS PUMPING PLANT PROJECT,15,561
715,DIXIE VALLEY WATER EXPORT STUDY,15,562
716,SUISUN MARSH PRESERVATION AGREEMENT,15,563
717,CENTRAL VALLEY PROJECT CONSERVATION PROGRAM,15,564
718,SPORT FISH RESTORATION PROGRAM,15,605
719,FISH AND WILDLIFE MANAGEMENT ASSISTANCE,15,608
720,WILDLIFE RESTORATION AND BASIC HUNTER EDUCATION,15,611
721,"COASTAL WETLANDS PLANNING, PROTECTION AND RESTORATION PROGRAM",15,614
722,COOPERATIVE ENDANGERED SPECIES CONSERVATION FUND,15,615
723,CLEAN VESSEL ACT PROGRAM,15,616
724,RHINOCEROS AND TIGER CONSERVATION FUND,15,619
725,AFRICAN ELEPHANT CONSERVATION FUND,15,620
726,ASIAN ELEPHANT CONSERVATION FUND,15,621
727,SPORTFISHING AND BOATING SAFETY ACT,15,622
728,NORTH AMERICAN WETLANDS CONSERVATION FUND,15,623
729,WILDLIFE CONSERVATION AND RESTORATION,15,625
730,ENHANCED HUNTER EDUCATION AND SAFETY PROGRAM,15,626
731,MULTISTATE CONSERVATION GRANT PROGRAM,15,628
732,GREAT APES CONSERVATION FUND,15,629
733,COASTAL PROGRAM,15,630
734,PARTNERS FOR FISH AND WILDLIFE,15,631
735,CONSERVATION GRANTS PRIVATE STEWARDSHIP FOR IMPERILED SPECIES,15,632
736,LANDOWNER INCENTIVE PROGRAM,15,633
737,STATE WILDLIFE GRANTS,15,634
738,NEOTROPICAL MIGRATORY BIRD CONSERVATION,15,635
739,ALASKA SUBSISTENCE MANAGEMENT,15,636
740,MIGRATORY BIRD JOINT VENTURES,15,637
741,TRIBAL WILDLIFE GRANTS PROGRAM,15,639
742,LATIN AMERICA AND CARIBBEAN REGIONAL,15,640
743,WILDLIFE WITHOUT BORDERS-MEXICO,15,641
744,CHALLENGE COST SHARE,15,642
745,ALASKA MIGRATORY BIRD CO-MANAGEMENT COUNCIL,15,643
746,FEDERAL JUNIOR DUCK STAMP CONSERVATION AND DESIGN,15,644
747,MARINE TURTLE CONSERVATION FUND,15,645
748,MIGRATORY  BIRD CONSERVATION,15,647
749,CENTRAL VALLEY PROJECT IMPROVEMENT  (CVPI) ANADROMOUS FISH RESTORATION PROGRAM (AFRP),15,648
750,SERVICE TRAINING AND TECHNICAL ASSISTANCE (GENERIC TRAINING),15,649
751,RESEARCH GRANTS (GENERIC),15,650
752,CENTRAL AFRICA REGIONAL,15,651
753,UNDESIRABLE/NOXIOUS PLANT SPECIES,15,652
754,NATIONAL OUTREACH AND COMMUNICATION PROGRAM,15,653
755,VISITOR FACILITY ENHANCEMENTS - REFUGES AND WILDLIFE,15,654
756,"MIGRATORY BIRD MONITORING, ASSESSMENT AND CONSERVATION",15,655
757,"RECOVERY ACT FUNDS - HABITAT ENHANCEMENT, RESTORATION AND IMPROVEMENT.",15,656
758,ENDANGERED SPECIES CONSERVATION Ð RECOVERY IMPLEMENTATION FUNDS,15,657
759,"NATURAL RESOURCE DAMAGE ASSESSMENT, RESTORATION AND IMPLEMENTATION",15,658
760,NATIONAL WILDLIFE REFUGE FUND,15,659
761,ENDANGERED SPECIES - CANDIDATE CONSERVATION ACTION FUNDS,15,660
762,LOWER SNAKE RIVER COMPENSATION PLAN,15,661
763,GREAT LAKES RESTORATION,15,662
764,NFWF-USFWS CONSERVATION PARTNERSHIP,15,663
765,FISH AND WILDLIFE COORDINATION AND ASSISTANCE PROGRAMS,15,664
766,NATIONAL WETLANDS INVENTORY,15,665
767,ENDANGERED SPECIES CONSERVATION-WOLF LIVESTOCK LOSS COMPENSATION AND PREVENTION,15,666
768,HIGHLANDS CONSERVATION PROGRAM,15,667
769,COASTAL IMPACT ASSISTANCE PROGRAM,15,668
770,COOPERATIVE LANDSCAPE CONSERVATION,15,669
771,ADAPTIVE SCIENCE,15,670
772,YUKON RIVER SALMON RESEARCH AND MANAGEMENT ASSISTANCE,15,671
773,WILDLIFE WITHOUT BORDERS Ð AMPHIBIANS IN DECLINE,15,672
774,WILDLIFE WITHOUT BORDERS Ð CRITICALLY ENDANGERED ANIMAL CONSERVATION FUND,15,673
775,NATIONAL FIRE PLAN-WILDLAND URBAN INTERFACE COMMUNITY FIRE ASSISTANCE,15,674
776,"YOUTH ENGAGEMENT, EDUCATION, AND EMPLOYMENT PROGRAMS",15,676
777,HURRICANE SANDY DISASTER RELIEF ACTIVITIES-FWS,15,677
778,ASSISTANCE TO STATE WATER RESOURCES RESEARCH INSTITUTES,15,805
779,EARTHQUAKE HAZARDS RESEARCH GRANTS,15,807
780,U.S. GEOLOGICAL SURVEY_ RESEARCH AND DATA COLLECTION,15,808
781,NATIONAL SPATIAL DATA INFRASTRUCTURE COOPERATIVE AGREEMENTS PROGRAM,15,809
782,NATIONAL COOPERATIVE GEOLOGIC MAPPING PROGRAM,15,810
783,GAP ANALYSIS PROGRAM,15,811
784,COOPERATIVE RESEARCH UNITS PROGRAM,15,812
785,NATIONAL GEOLOGICAL AND GEOPHYSICAL DATA PRESERVATION PROGRAM,15,814
786,NATIONAL LAND REMOTE SENSING_EDUCATION OUTREACH AND RESEARCH,15,815
787,MINERALS RESOURCES EXTERNAL RESEARCH PROGRAM,15,816
788,NATIONAL GEOSPATIAL PROGRAM: BUILDING THE NATIONAL MAP,15,817
789,VOLCANO HAZARDS PROGRAM RESEARCH AND MONITORING,15,818
790,ENERGY COOPERATIVES TO SUPPORT THE NATIONAL COAL RESOURCES DATA SYSTEM (NCRDS),15,819
791,NATIONAL CLIMATE CHANGE AND WILDLIFE SCIENCE CENTER,15,820
792,INDIAN ARTS AND CRAFTS DEVELOPMENT,15,850
793,"ECONOMIC, SOCIAL, AND POLITICAL DEVELOPMENT OF THE TERRITORIES",15,875
794,HISTORIC PRESERVATION FUND GRANTS-IN-AID,15,904
795,NATIONAL HISTORIC LANDMARK,15,912
796,NATIONAL REGISTER OF HISTORIC PLACES,15,914
797,TECHNICAL PRESERVATION SERVICES,15,915
