Program Title,Program Number
"Department of Defense Impact Aid (Supplement, CWSD, BRAC)",12.558
"DOD, NDEP, DOTC-STEM Education Outreach Implementation",12.560
Language Training Center,12.579
Congressionally Directed Assistance,12.599
Community Investment,12.600
Community Economic Adjustment Assistance for Realignment or Closure of a Military Installation,12.607
Community Economic Adjustment Assistance for Compatible Use and Joint Land Use Studies,12.610
Community Economic Adjustment Assistance for Advance Planning and Economic Diversification,12.614
Economic Adjustment Assistance for State Governments,12.617
Community Economic Adjustment Assistance for Establishment or Expansion of a Military Installation,12.618
"Basic, Applied, and Advanced Research in Science and Engineering",12.630
"Science, Technology, Engineering and Mathematics (STEM) Educational Program: Science, Mathematics And Research for Transformation (SMART)",12.631
"Department of War Energy, Installations, and Environment Innovation Programs",12.632
Past Conflict Accounting,12.740
Uniformed Services University Medical Research Projects,12.750
Defense Production Act Title III (DPA Title III),12.777
Air Force Defense Research Sciences Program,12.800
Air Force Academy Athletic Programs,12.801
Air Force Medical Research and Development,12.810
Civil Air Patrol Program,12.840
Mathematical Sciences Grants,12.901
Information Security Grants,12.902
GenCyber Grants Program,12.903
CyberSecurity Core Curriculum,12.905
Research and Technology Development,12.910
Upper San Pedro Partnership Support,12.987
Green and Resilient Retrofit Program,14.021
Housing Counseling Program Homeownership Initiative,14.022
Community Development Block Grant- PRO Housing Competition,14.023
Community Development Block Grant- PRICE Competition,14.024
Rehabilitation Mortgage Insurance,14.108
Manufactured Home Loan Insurance (Title I),14.110
Mortgage Insurance Homes,14.117
Mortgage Insurance Homes for Disaster Victims,14.119
Mortgage Insurance Homes in Urban Renewal Areas,14.122
Mortgage Insurance Cooperative Projects,14.126
Mortgage Insurance Hospitals,14.128
"Mortgage Insurance Nursing Homes, Intermediate Care Facilities, Board and Care Homes and Assisted Living Facilities",14.129
Mortgage Insurance Purchase of Units in Condominiums,14.133
Mortgage Insurance Rental Housing,14.134
"Mortgage Insurance Rental and Cooperative Housing for Moderate Income Families and Elderly, Market Interest Rate",14.135
Mortgage Insurance Rental Housing for the Elderly,14.138
Mortgage Insurance Rental Housing in Urban Renewal Areas,14.139
Property Improvement Loan Insurance for Improving All Existing Structures and Building of New Nonresidential Structures,14.142
Supplemental Loan Insurance Multifamily Rental Housing,14.151
Mortgage Insurance for the Purchase or Refinancing of Existing Multifamily Housing Projects,14.155
Supportive Housing for the Elderly,14.157
Mortgage Insurance Combination and Manufactured Home Lot Loans,14.162
Housing Counseling Assistance Program,14.169
Manufactured Housing,14.171
Supportive Housing for Persons with Disabilities,14.181
Home Equity Conversion Mortgages,14.183
Housing Finance Agencies (HFA) Risk Sharing,14.188
Multifamily Housing Service Coordinators,14.191
Project-Based Rental Assistance (PBRA),14.195
Good Neighbor Next Door Sales Program,14.198
Community Development Block Grants/Entitlement Grants,14.218
Community Development Block Grants/Special Purpose Grants/Insular Areas,14.225
Community Development Block Grants/State's program and Non-Entitlement Grants in Hawaii,14.228
Emergency Solutions Grant Program,14.231
Community Development Block Grant Disaster Recovery (CDBG-DR),14.233
Home Investment Partnerships Program,14.239
Housing Opportunities for Persons with AIDS,14.241
Community Development Block Grants/Brownfields Economic Development Initiative,14.246
Self-Help Homeownership Opportunity Program,14.247
Community Development Block Grants Section 108 Loan Guarantees,14.248
Section 8 Moderate Rehabilitation Single Room Occupancy,14.249
Rural Housing and Economic Development,14.250
"Economic Development Initiative, Community Project Funding, and Miscellaneous grants",14.251
Section 4 Capacity Building for Community Development and Affordable Housing,14.252
Neighborhood Stabilization Program (Recovery Act Funded),14.256
Community Compass Technical Assistance and Capacity Building,14.259
National Homeless Data Analysis Project (NHDAP),14.261
Rural Capacity Building for Community Development and Affordable Housing Grants,14.265
Continuum of Care Program,14.267
Hurricane Sandy Community Development Block Grant Disaster Recovery Grants (CDBG-DR),14.269
National Disaster Resilience Competition,14.272
Housing Trust Fund,14.275
Youth Homelessness Demonstration Program,14.276
Youth Homeless System Improvement Grants,14.277
Veterans Housing Rehabilitation and Modification Program,14.278
Single Family Property Disposition,14.311
Dollar Home Sales,14.313
Housing Counseling Training Program,14.316
Tenant Education and Outreach Program,14.322
Project Rental Assistance Program of the Section 811 Supportive Housing for Persons with  Disabilities (811 PRA).,14.326
Performance Based Contract Administrator Program,14.327
Fair Housing Assistance Program,14.401
Education and Outreach Initiatives,14.416
Fair Housing Organization Initiatives,14.417
Private Enforcement Initiatives,14.418
General Research and Technology Activity,14.506
"Research, Evaluation, and Demonstrations",14.536
Eviction Protection Grant Program,14.537
Public Housing Operating Fund,14.850
Lower Income Housing Assistance Program Section 8 Moderate Rehabilitation,14.856
Indian Community Development Block Grant Program,14.862
Public and Indian Housing Indian Loan Guarantee Program,14.865
Demolition and Revitalization of Severely Distressed Public Housing,14.866
Indian Housing Block Grants,14.867
Title VI Federal Guarantees for Financing Tribal Housing Activities,14.869
Resident Opportunity and Supportive Services - Service Coordinators,14.870
Section 8 Housing Choice Vouchers,14.871
Public Housing Capital Fund,14.872
Native Hawaiian Housing Block Grants,14.873
Loan Guarantees for Native Hawaiian Housing,14.874
Affordable Housing Development in Main Street Rejuvenation Projects,14.878
Mainstream Vouchers,14.879
Family Unification Program (FUP),14.880
Moving to Work Demonstration Program,14.881
Lead-Based Paint Capital Fund Program,14.888
Choice Neighborhoods Implementation Grants,14.889
Choice Neighborhoods Planning Grants,14.892
Office of Native American Programs Training and Technical Assistance for Indian Housing Block Grant Program,14.893
Jobs-Plus Pilot Initiative,14.895
Family Self-Sufficiency Program,14.896
Tribal HUD-VA Supportive Housing Program,14.899
Lead Hazard Reduction Grant Program,14.900
Healthy Homes Weatherization Cooperation Demonstration Grants,14.901
Lead Technical Studies Grants,14.902
Lead Hazard Reduction Demonstration Grant Program,14.905
Healthy Homes Technical Studies Grants,14.906
Lead Hazard Control Capacity Building,14.912
Healthy Homes Production Program,14.913
Radon Interventions in Public and Assisted Multifamily Housing,14.914
Lead Hazard Control for High Risk Areas,14.920
Older Adults Home Modification Grant Program,14.921
Lead-Safe and Healthy Homes Financing Demonstration,14.922
Experienced Services Program,15.011
Outdoor Schools in National Parks,15.012
Alaska Native Science and Engineering,15.013
Supporting the Lower Mississippi Delta Initiative,15.014
Good Neighbor Authority,15.015
Experienced Services Program,15.016
"Eastern Nevada Conservation, Recreation and Development",15.017
Energy Community Revitalization Program (ECRP),15.018
Experienced Services,15.019
Aid To Tribal Governments,15.020
Consolidated Tribal Government,15.021
Tribal Self-Governance,15.022
Indian Self-Determination Contract Support,15.024
"Services to Indian Children, Elderly and Families",15.025
Indian Adult Education,15.026
Assistance to Tribally Controlled Community Colleges and Universities,15.027
Tribally Controlled Community College Endowments,15.028
Tribal Courts,15.029
Indian Law Enforcement,15.030
Indian Community Fire Protection,15.031
Indian Economic Development,15.032
Road Maintenance Indian Roads,15.033
Agriculture on Indian Lands,15.034
Forestry on Indian Lands,15.035
Indian Rights Protection,15.036
Water Resources on Indian Lands,15.037
Minerals and Mining on Indian Lands,15.038
Real Estate Programs Indian Lands,15.040
Environmental Management Indian,15.041
Indian School Equalization,15.042
Indian Child and Family Education,15.043
Indian Schools Student Transportation,15.044
Administrative Cost Grants for Indian Schools,15.046
"Indian Education Facilities, Operations, and Maintenance",15.047
Bureau of Indian Affairs Facilities Operations and Maintenance,15.048
Endangered Species on Indian Lands,15.051
Litigation Support for Indian Rights,15.052
Attorney Fees Indian Rights,15.053
Navajo-Hopi Indian Settlement,15.057
Indian Post Secondary Schools,15.058
Indian Graduate Student Scholarships,15.059
Indian Vocational Training United Tribes Technical College,15.060
Indian Job Placement United Sioux Tribes Development Corporation,15.061
Replacement and Repair of Indian Schools,15.062
Improvement and Repair of Indian Detention Facilities,15.063
Safety of Dams on Indian Lands,15.065
Tribal Great Lakes Restoration Initiative,15.066
Strengthening Tribal Nations,15.067
Native Hawaiian Community Guest Stewardship,15.068
Zoonotic Disease Initiative,15.069
Experienced Services Program,15.070
Native Hawaiian and Alaska Native Culture and Arts Development,15.071
USGS Experienced Services Program,15.072
Earth Mapping Resources Initiative,15.073
Small Surface Water and Groundwater Storage Projects,15.074
Blackfeet Water Rights Settlement,15.075
Musselshell-Judith Rural Water System,15.076
"Rehabilitation, Reconstruction, or Replacement of Carey Act Dams",15.077
Snow Water Supply Forecasting,15.078
Experienced Services Program (ESP),15.079
COMPACTS OF FREE ASSOCIATION,15.081
American Samoa Operations,15.082
Capital Improvement Program,15.083
Good Neighbor Authority for Recreation Enhancement and Improvement,15.084
Fire Protection Cooperative Agreement,15.087
Department of Interior Wildfire Management - Preparedness,15.088
DOI - HQ Experienced Services Program,15.089
Native Hawaiian Climate Resilience Program,15.098
Abandoned Hardrock Mine Reclamation (AHMR/AML) Grants,15.099
Indian Employment Assistance,15.108
Indian Social Services Welfare Assistance,15.113
Indian Education Higher Education Grant,15.114
Indian Education Assistance to Schools,15.130
Native American Business Development Institute,15.133
Indian Housing Assistance,15.141
Indian Child Welfare Act Title II Grants,15.144
Tribal Energy Development Capacity Grants,15.148
FOCUS on Student Achievement,15.149
Juvenile Detention Education,15.150
Education Enhancements,15.151
"Office of the Special Trustee for American Indians, Field Operations",15.155
Tribal Climate Resilience,15.156
Cultural Resources Management,15.159
BIA Wildland Urban Interface Community Fire Assistance,15.160
Native Language Immersion Grant,15.161
Tiwahe Housing,15.162
Tribal Education Departments,15.163
Land Acquisition Funding Program,15.164
Tribal Electrification Program,15.165
Tiwahe Demonstration Project-Social Services,15.166
Tiwahe Demonstration Project-Tribal Court,15.170
Non-Sale Disposals of Mineral Material,15.214
Cooperative Inspection Agreements with States and Tribes,15.222
Cultural and Paleontological Resources Management,15.224
Recreation and Visitor Services,15.225
BLM Fuels Management and Community Fire Assistance Program Activities,15.228
Wild Horse and Burro Resource Management,15.229
Invasive and Noxious Plant Management,15.230
Joint Fire Science Program,15.232
Forest and Woodlands Resource Management,15.233
Secure Rural Schools and Community Self-Determination,15.234
Southern Nevada Public Land Management,15.235
Environmental Quality and Protection,15.236
Rangeland Resource Management,15.237
Management Initiatives,15.239
"Indian Self-Determination Act Contracts, Grants and Cooperative Agreements",15.241
Youth Conservation Opportunities on Public Lands,15.243
Aquatics Resources Management,15.244
Plant Conservation and Restoration Management,15.245
Threatened and Endangered Species,15.246
Wildlife Resource Management,15.247
National Landscape Conservation System,15.248
Tribal Forest Protection Act,15.249
Regulation of Surface Coal Mining and Surface Effects of Underground Coal Mining,15.250
Abandoned Mine Land Reclamation (AMLR),15.252
Not-for-Profit AMD Reclamation,15.253
OSM/VISTA AmeriCorps,15.254
Science and Technology Projects Related to Coal Mining and Reclamation,15.255
Infrastructure Investment and Jobs Act (IIJA) Abandoned Mine Land Program,15.257
Abandoned Mine Land Economic Revitalization (AMLER) Program,15.258
Mine Drainage Technology Initiative (MDTI),15.259
National Park Service Centennial Challenge,15.406
Keweenaw National Historical Park (NHP) Preservation Grants,15.407
Bureau of Ocean Energy Management Renewable Energy,15.408
Alaska Coastal Marine Institute,15.421
Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES),15.423
Marine Minerals Activities,15.424
Federal Oil and Gas Royalty Management State and Tribal Coordination,15.427
State Select,15.429
8(g) State Coastal Zone,15.430
Alaska Settlement Agreement,15.431
California Refuge Account,15.432
Flood Control Act Lands,15.433
Geothermal Resources,15.434
GoMESA,15.435
Late Disbursement Interest,15.436
Minerals Leasing Act,15.437
National Forest Acquired Lands,15.438
National Petroleum Reserve - Alaska,15.439
South Half of the Red River,15.440
Safety and Environmental Research and Data Collection for Offshore Energy and Mineral Activities,15.441
Alaska Native Science and Engineering,15.442
Not For Profit,15.443
Take Pride,15.444
Water Recycling and Desalination Construction Programs,15.504
Water Desalination Research and Development,15.506
WaterSMART (Sustain and Manage America’s Resources for Tomorrow),15.507
Providing Water to At-Risk Natural Desert Terminal Lakes,15.508
"Title II, Colorado River Basin Salinity Control",15.509
Colorado Ute Indian Water Rights Settlement Act,15.510
Cultural Resources Management,15.511
"Central Valley Improvement Act, Title XXXIV",15.512
Reclamation States Emergency Drought Relief,15.514
Fort Peck Reservation Rural Water System,15.516
Fish and Wildlife Coordination Act,15.517
Garrison Diversion Unit,15.518
"Indian Tribal Water Resources Development, Management, and Protection",15.519
Lewis and Clark Rural Water System,15.520
Lower Rio Grande Valley Water Resources Conservation and Improvement,15.521
Mni Wiconi Rural Water Supply Project,15.522
Recreation Resources Management,15.524
Rocky Boy's/North Central Montana Regional Water System,15.525
San Gabriel Basin Restoration,15.526
Upper Colorado and San Juan River Basins Endangered Fish Recovery,15.529
Water Conservation Field Services (WCFS),15.530
Yakima River Basin Water Enhancement (YRBWE),15.531
"Central Valley,  Trinity River Division, Trinity River Fish and Wildlife Management",15.532
California Water Security and Environmental Enhancement,15.533
Upper Colorado River Basin Fish and Wildlife Mitigation,15.535
Lower Colorado River Multi-Species Conservation,15.538
Equus Beds Division Acquifer Storage Recharge,15.539
Lake Mead/Las Vegas Wash,15.540
Colorado River Basin Act of 1968,15.541
Arizona Water Settlement Act of 2004,15.542
Lake Tahoe Regional Wetlands Development,15.543
Platte River Recovery Implementation,15.544
Youth Conservation,15.546
FISH-ABLE Fun with Reclamation,15.550
Navajo-Gallup Water Supply,15.552
Eastern New Mexico Rural Water System,15.553
Cooperative Watershed Management,15.554
San Joaquin River Restoration,15.555
Crow Tribe Water Rights Settlement,15.556
Applied Science Grants,15.557
White Mountain Apache Tribe Rural Water System,15.558
New Mexico Rio Grande Basin Pueblos Irrigation Infrastructure,15.559
SECURE Water Act – Research Agreements,15.560
Suisun Marsh Preservation Agreement,15.563
Central Valley Project Conservation,15.564
Implementation of the Taos Pueblo Indian water rights settlement,15.565
Upper Klamath Basin Water Supply Alignment,15.566
Colorado River System Conservation Pilot,15.567
Educational Outreach,15.569
Bay-Delta Restoration Program,15.570
Salton Sea Program,15.571
Agricultural Water Use Efficiency Program,15.572
Water Storage Enhancement,15.574
Yakima River Basin Water Enhancement Phase III (Yakima Basin Integrated Plan),15.576
Domestic Water Supply Projects,15.577
Multiyear Drought Mitigation in Other Reclamation River Basins Program,15.578
WaterSMART Enhancing Water Resources Projects,15.579
Aquatic Ecosystem Restoration Program,15.580
Water Resources Development Act,15.581
Dry-Redwater Rural Water Project Feasibility Study,15.582
Truckee-Carson Basins Research and Data Collection,15.583
Emergency Drought Relief for Tribes,15.585
WaterSMART Drought Response Program,15.590
WaterSMART Desalination Construction Program,15.591
WaterSMART Planning and Project Design Grants,15.592
Sport Fish Restoration,15.605
Fish and Aquatic Conservation - Aquatic Invasive Species,15.608
Wildlife Restoration and Basic Hunter Education and Safety,15.611
"Coastal Wetlands Planning, Protection and Restoration",15.614
Cooperative Endangered Species Conservation Fund,15.615
Clean Vessel Act,15.616
Rhinoceros and Tiger Conservation Fund,15.619
African Elephant Conservation Fund,15.620
Asian Elephant Conservation Fund,15.621
Sportfishing and Boating Safety Act,15.622
North American Wetlands Conservation Fund,15.623
Enhanced Hunter Education and Safety,15.626
Multistate Conservation Grant,15.628
Great Ape Conservation Fund - Africa,15.629
Coastal,15.630
Partners for Fish and Wildlife,15.631
State Wildlife Grants,15.634
Neotropical Migratory Bird Conservation,15.635
Alaska Subsistence Management,15.636
Migratory Bird Joint Ventures,15.637
Tribal Wildlife Grants,15.639
Latin America and Caribbean Regional,15.640
Alaska Migratory Bird Co-Management Council,15.643
Marine Turtle Conservation Fund,15.645
Migratory Bird Conservation,15.647
Central Valley Project Improvement Act (CVPIA),15.648
Central Africa Regional,15.651
Invasive Species,15.652
National Outreach and Communication,15.653
National Wildlife Refuge System Enhancements,15.654
"Migratory Bird Monitoring, Assessment and Conservation",15.655
Endangered Species Recovery Implementation,15.657
Natural Resource Damage Assessment and Restoration,15.658
Candidate Species Conservation,15.660
Lower Snake River Compensation Plan,15.661
Great Lakes Restoration,15.662
NFWF-USFWS Conservation Partnership,15.663
Fish and Wildlife Coordination and Assistance,15.664
National Wetlands Inventory,15.665
Endangered Species Conservation-Wolf Livestock Loss Compensation and Prevention,15.666
Highlands Conservation,15.667
Collaborative Landscape Conservation,15.669
Adaptive Science,15.670
Yukon River Salmon Research and Management Assistance,15.671
National Fire Plan-Wildland Urban Interface Community Fire Assistance,15.674
"Youth Engagement, Education, and Employment",15.676
Hurricane Sandy Disaster Relief Activities-FWS,15.677
Cooperative Ecosystem Studies Units,15.678
Combating Wildlife Trafficking,15.679
Mexican Wolf Recovery,15.680
Cooperative Agriculture,15.681
Experienced Services,15.682
Prescott Marine Mammal Rescue Assistance,15.683
White-nose Syndrome National Response Implementation,15.684
National Fish Passage,15.685
National Fish Habitat Partnership,15.686
Great Lakes Sea Lamprey Control,15.687
Great Lakes Fish and Wildlife Restoration Act,15.688
Great Ape Conservation Fund-Asia,15.689
Rhinoceros Conservation Fund-Africa,15.690
Nicodemus National Historic Site,15.785
Assistance to State Water Resources Research Institutes,15.805
Earthquake Hazards Program Assistance,15.807
U.S. Geological Survey Research and Data Collection,15.808
National Cooperative Geologic Mapping,15.810
Cooperative Research Units,15.812
National Geological and Geophysical Data Preservation,15.814
National Land Remote Sensing Education Outreach and Research,15.815
National Geospatial Program: Building The National Map,15.817
Volcano Hazards Program Research and Monitoring,15.818
National and Regional Climate Adaptation Science Centers,15.820
USGS Cooperative Landslide Hazard Mapping and Assessment Program,15.821
U.S. Geological Survey Use of Space in Cooperator Facilities,15.828
"Economic, Social, and Political Development of the Territories",15.875
Historic Preservation Fund Grants-In-Aid,15.904
"Outdoor Recreation Acquisition, Development and Planning",15.916
"Rivers, Trails and Conservation Assistance",15.921
Native American Graves Protection and Repatriation Act,15.922
National Center for Preservation Technology and Training,15.923
National Maritime Heritage Grants,15.925
American Battlefield Protection,15.926
Battlefield Land Acquisition Grants,15.928
Save America's Treasures,15.929
Chesapeake Bay Gateways Network,15.930
Youth and Veteran Organizations Conservation Activities,15.931
Preservation of Historic Structures on the Campuses of Historically Black Colleges and Universities (HBCUs).,15.932
Preservation of Japanese American Confinement Sites,15.933
National Trails System Projects,15.935
Boston African-American National Historic Site,15.938
Heritage Partnership,15.939
Mississippi National River and Recreation Area State and Local Assistance,15.941
Challenge Cost Share,15.943
Natural Resource Stewardship,15.944
Cooperative Research and Training Programs – Resources of the National Park System,15.945
Cultural Resources Management,15.946
National Fire Plan-Wildland Urban Interface Community Fire Assistance,15.948
"National Park Service Conservation, Protection, Outreach, and Education",15.954
Martin Luther King Junior National Historic Site and Preservation District,15.955
Cooperative Management of Ebey's Landing National Historical Reserve.,15.956
Emergency Supplemental Historic Preservation Fund,15.957
Route 66 Corridor Preservation,15.958
Education Program Management,15.959
National Wild and Scenic Rivers System,15.962
Southwest Border Resource Protection Program,15.963
9/11 Memorial Act Grant Program,15.964
Groundwork - Brownfield to Greenspace,15.965
Historic Preservation Fund Grants-in-Aid for Competitive Grants,15.966
National Wildland Fire Management and Natural Resource Training and Workforce Development,15.969
Upper Mississippi River Restoration Long Term Resource Monitoring,15.978
National Ground-Water Monitoring Network,15.980
Water Use and Data Research,15.981
Earth Resources Grant Program (ERGP) Financial Assistance Awards,15.983
NPS Alaska Subsistence Management,15.984
Good Neighbor Authority for Restoration,15.987
Good Neighbor Authority - Recreation,15.988
September 11 National Memorial Trail,15.991
Law Enforcement Assistance Narcotics and Dangerous Drugs Laboratory Analysis,16.001
Law Enforcement Assistance Narcotics and Dangerous Drugs Technical Laboratory Publications,16.003
Law Enforcement Assistance Narcotics and Dangerous Drugs Training,16.004
Missing Alzheimer's Disease Patient Assistance Program,16.015
Culturally and Linguistically Specific Services Program,16.016
Sexual Assault Services Formula Program,16.017
Justice Systems Response to Families,16.021
Sexual Assault Services Culturally Specific Program,16.023
Tribal Sexual Assault Services Program,16.024
Special Domestic Violence Criminal Jurisdiction Implementation,16.025
OVW Research and Evaluation Program,16.026
National Clearinghouse on Sexual Assault of American Indian and Alaska Native Women,16.027
"Resource Center on Workplace Response to Domestic Violence, Dating Violence, Sexual Assault, and Stalking",16.028
Office on Violence Against Women Special Projects,16.029
National Center on Restorative Justice,16.030
Emmett Till Cold Case Investigations Program,16.031
Preventing Trafficking of Girls,16.035
Comprehensive Forensic DNA Analysis Grant Program,16.036
Strengthening the Medical Examiner - Coroner System,16.037
Rural Violent Crime Initiative,16.039
"Matthew Shepard and James Byrd, Jr. Hate Crimes Education, Investigation and Prosecution Program",16.040
National Ashanti Alert Network Training and Technical Assistance Program,16.041
Veterans Treatment Court Discretionary Grant Program,16.043
Forensics Training and Technical Assistance Program,16.044
Community-Based Violence Intervention and Prevention Initiative,16.045
Drug Data Research Center to Combat the Opioid Crisis,16.046
Community-Based Approaches to Advancing Justice,16.047
Khalid Jabara and Heather Heyer NO HATE Act,16.048
Supporting Vulnerable and At-Risk Youth Transitioning out of Foster Care,16.049
Missing and Unidentified Human Remains (MUHR) Program,16.050
Crime Gun Intelligence Training and Education,16.051
"Restorative Practices to Address Domestic Violence, Dating Violence, Sexual Assault, and Stalking",16.052
Sexual Assault Forensic Examinations,16.053
Virtual Reality De-escalation Training,16.054
Tribal Special Assistant United States Attorneys,16.055
National Deaf Services Line,16.056
"Demonstration Program on Trauma-Informed, Victim Centered Training for Law Enforcement",16.058
Tribal Special Criminal Jurisdiction Reimbursement,16.059
Local Law Enforcement Grants for Enforcement of Cybercrimes,16.060
National Resource Center on Cybercrimes Against Individuals,16.061
Grants to State and Tribal Courts to Implement Protection Order Pilot Programs,16.062
"Financial Assistance to Victims of Domestic Violence, Dating Violence, Sexual Assault, and Stalking",16.063
Sexual Assault Forensic Exam Training and Services,16.064
Training to Improve Police-Based Responses to the People with Mental Illness,16.065
Officer Robert Wilson III Preventing Violence Against Law Enforcement Officers and Ensuring Officer Resilience and Survivability (VALOR),16.066
Family-Based Alternative Justice Program,16.067
COPS Hiring Program,16.068
Preparing for Active Shooter Situations,16.069
Law Enforcement Mental Health and Wellness Act,16.070
School Violence Prevention Program,16.071
COPS Anti-Methamphetamine Program,16.072
COPS Anti-Heroin Task Force Program,16.073
Daniel Anderl Act Judicial Security,16.074
Arts in Juvenile Justice,16.075
"Law Enforcement Support for Combatting Criminal Aliens, Drug, and Human Trafficking",16.076
Model Cities Initiative,16.077
Community-Based Violence Prevention Program,16.123
Law Enforcement Assistance FBI Advanced Police Training,16.300
Law Enforcement Assistance FBI Crime Laboratory Support,16.301
Law Enforcement Assistance FBI Field Police Training,16.302
Law Enforcement Assistance FBI Fingerprint Identification,16.303
Law Enforcement Assistance National Crime Information Center,16.304
Law Enforcement Assistance Uniform Crime Reports,16.305
Combined DNA Index System,16.307
Indian Country Investigations,16.308
Law Enforcement Assistance National Instant Criminal Background Check System,16.309
Services for Trafficking Victims,16.320
Antiterrorism Emergency Reserve,16.321
Legal Assistance for Victims,16.524
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",16.525
OVW Technical Assistance Initiative,16.526
Enhanced Training and Services to End Violence and Abuse of Women Later in Life,16.528
"Education, Training, and Enhanced Services to End Violence Against and Abuse of Women with Disabilities",16.529
Juvenile Justice and Delinquency Prevention,16.540
Missing Children's Assistance,16.543
Delinquency Prevention Program,16.548
State Justice Statistics Program for Statistical Analysis Centers,16.550
National Criminal History Improvement Program (NCHIP),16.554
State Domestic Violence and Sexual Assault Coalitions,16.556
Tribal Domestic Violence and Sexual Assault Coalitions Grant Program,16.557
"National Institute of Justice Research, Evaluation, and Development Project Grants",16.560
Public Safety Officers' Benefits Program,16.571
Crime Victim Assistance,16.575
Crime Victim Compensation,16.576
Crime Victim Assistance/Discretionary Grants,16.582
Children's Justice Act Partnerships for Indian Communities,16.583
Treatment Court Discretionary Grant Program,16.585
Violence Against Women Discretionary Grants for Indian Tribal Governments,16.587
Violence Against Women Formula Grants,16.588
"Rural Domestic Violence, Dating Violence, Sexual Assault, and Stalking Assistance Program",16.589
Grants to Encourage Arrest Policies and Enforcement of Protection Orders Program,16.590
Residential Substance Abuse Treatment for State Prisoners,16.593
Tribal Justice Assistance,16.596
Corrections Training and Staff Development,16.601
Corrections Research and Evaluation and Policy Formulation,16.602
Corrections Technical Assistance/Clearinghouse,16.603
State Criminal Alien Assistance Program,16.606
Bulletproof Vest Partnership Program,16.607
Tribal Justice Systems,16.608
Project Safe Neighborhoods,16.609
Regional Information Sharing Systems,16.610
State and Local Anti-Terrorism Training,16.614
Public Safety Officers' Educational Assistance,16.615
Public Safety Partnership and Community Policing Grants,16.710
Juvenile Mentoring Program,16.726
Tribal Youth Program,16.731
Special Data Collections and Statistical Studies,16.734
PREA Program: Strategic Support for PREA Implementation,16.735
"Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking, or Sexual Assault",16.736
Edward Byrne Memorial Justice Assistance Grant Program,16.738
National Prison Rape Statistics Program,16.739
DNA Backlog Reduction Program,16.741
Paul Coverdell Forensic Sciences Improvement Grant Program,16.742
Criminal and Juvenile Justice and Mental Health Collaboration Program,16.745
Capital Case Litigation Initiative,16.746
Support for Adam Walsh Act Implementation Grant Program,16.750
Edward Byrne Memorial Competitive Grant Program,16.751
"Economic, High-Tech, and Cyber Crime Prevention",16.752
Congressionally Recommended Awards,16.753
Harold Rogers Prescription Drug Monitoring Program,16.754
Court Appointed Special Advocates,16.756
Judicial Training on Child Maltreatment for Court Personnel Juvenile Justice Programs,16.757
Improving the Investigation and Prosecution of Child Abuse and the Regional and Local Children's Advocacy Centers,16.758
Second Chance Act Reentry Initiative,16.812
NICS Act Record Improvement Program,16.813
"Tribal Civil and Criminal Legal Assistance Grants, Training and Technical Assistance",16.815
John R.  Justice Prosecutors and Defenders Incentive Act,16.816
Byrne Criminal Justice Innovation Program,16.817
Children Exposed to Violence,16.818
Postconviction Testing of DNA Evidence,16.820
Emergency Planning for Juvenile Justice Facilities,16.823
Emergency Law Enforcement Assistance Grant,16.824
Smart Prosecution Initiative,16.825
Justice Reinvestment Initiative,16.827
"Swift, Certain, and Fair Supervision Program: Applying the Principles Behind Project HOPE",16.828
Reducing Recidivism for Female Juvenile Delinquents,16.830
Children of Incarcerated Parents,16.831
National Sexual Assault Kit Initiative,16.833
Domestic Trafficking Victim Program,16.834
Body Worn Camera Policy and Implementation,16.835
Indigent Defense,16.836
"Comprehensive Opioid, Stimulant, and Substance Use Program",16.838
STOP School Violence,16.839
Keep Young Athletes Safe,16.840
VOCA Tribal Victim Services Set-Aside Program,16.841
Opioid Affected Youth Initiative,16.842
Consolidated And Technical Assistance Grant Program to Address Children and Youth Experiencing Domestic and Sexual Violence and Engage Men and Boys as Allies,16.888
Grants for Outreach and Services to Underserved Populations,16.889
Equitable Sharing Program,16.922
Labor Force Statistics,17.002
Compensation and Working Conditions,17.005
Employment Service/Wagner-Peyser Funded Activities,17.207
Unemployment Insurance,17.225
Senior Community Service Employment Program,17.235
Trade Adjustment Assistance,17.245
WIOA Adult Program,17.258
WIOA Youth Activities,17.259
Workforce Data Quality Initiative (WDQI),17.261
National Farmworker Jobs Program,17.264
Native American Employment and Training,17.265
H-1B Job Training Grants,17.268
Reentry Employment Opportunities,17.270
Work Opportunity Tax Credit Program (WOTC),17.271
Temporary Labor Certification for Foreign Workers,17.273
YouthBuild,17.274
WIOA National Dislocated Worker Grants / WIA National Emergency Grants,17.277
WIOA Dislocated Worker Formula Grants,17.278
WIOA Dislocated Worker National Reserve Demonstration Grants,17.280
WIOA Dislocated Worker National Reserve Technical Assistance and Training,17.281
Registered Apprenticeship,17.285
Job Corps Experimental Projects and Technical Assistance,17.287
Community Project Funding/Congressionally Directed Spending,17.289
"WIOA Adult, Dislocated Worker and Youth Outlying Areas Consolidated Grants",17.290
Longshore and Harbor Workers' Compensation,17.302
Coal Mine Workers' Compensation,17.307
Energy Employees Occupational Illness Compensation,17.310
International Labor Programs,17.401
Occupational Safety and Health Susan Harwood Training Grants,17.502
