,ID,REPORTID,VERSION,DBKEY,AUDITYEAR,SEQ_NUMBER,TYPE_ID,NOTE_INDEX,TITLE,CONTENT,UEI,MULTIPLEUEIS
146691,474852,983205,1,257955,2021,5,3,0,Note E - Federal Assistance and Loans,"The STAGE Fund expended no federal non-cash assistance during the year, had no federal insurance in effect during the year, and had no outstanding federal loans or loan guarantees during the year.",,
147542,260124,897301,1,130418,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying Schedule of Expenditures of Federal Awards (Schedule) includes the federal grant activity of Chandler Unified School District No. 80 under programs of the federal government for the year ended June 30, 2021. The information in the Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of the District, it is not intended to and does not present the financial position, changes in net position or cash flows of the District. Expenditures reported on the Schedule are reported on the modified accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Any negative amounts shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years.  Pass-through entity identifying numbers are presented where available.",,
147543,260125,897301,1,130418,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
147544,260126,897301,1,130418,2021,3,3,0,Assistance Listing Numbers,"The program titles and Assistance Listing numbers were obtained from the federal or pass-through grantor or through sam.gov.  If the three-digit Assistance Listing extension is unknown, there is a U followed by a two-digit number in the Assistance Listing extension to identify one or more Federal award lines from that program.  The first Federal program with an unknown three-digit extension is indicated with U01 for all award lines associated with that program, the second is U02, etc.",,
148775,307753,926404,1,132316,2021,5,3,0,Relationship to the Basic Financial Statements,Expenditures of federal awards are reported in the Citys basic financial statements as expenditures in the governmental funds or as expenses/capital assets in the proprietary funds. Federal award expenditures agree or can be reconciled with the amounts reported in the Citys basic financial statements.  ,,
148776,307754,926404,1,132316,2021,4,3,0,Direct and Indirect Federal Awards,Federal awards may be granted directly to the City by a federal granting agency or may be granted to other agencies which pass through federal awards to the City. The Schedule includes both of these type of federal award programs when related expenditures are incurred.,,
148777,307755,926404,1,132316,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Basis of accounting refers to when revenues and expenditures or expenses are recognized in the accounts and reported in the financial statements, regardless of the measurement focus applied.  Expenditures of federal awards reported in the Schedule are recognized when incurred and all eligibility requirements have been met. Such expenditures are recognized following the cost principles contained in 2 CFR 200, Subpart E (Cost Principles), wherein certain types of expenditures are not allowable or are limited as to reimbursement. The City did not elect to use the 10% de minimis cost rate allowed under the Uniform Guidance.  ",,
148778,307756,926404,1,132316,2021,3,3,0,Reporting Entity,"The Schedule of Expenditures of Federal Awards (the Schedule) includes expenditures of federal awards received directly from federal agencies and federal awards passed-through other governmental agencies for the City of Mountain View, California (City) as disclosed in the notes to the basic financial statements.   The information in the Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).",,
148779,307757,926404,1,132316,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
149021,314912,929812,1,142119,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying Schedule of Expenditures of Federal Awards includes the federal grant activity of El Paso-Gridley CUSD #11 and is presented on the cash basis of accounting.  The information in this schedule is presented in accordance with the requirements of the Office of Management and Budget Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards.  Therefore, some amounts presented in this schedule may differ from amounts presented in, or used in the preparation of, the basic financial statements.",,
149022,314913,929812,1,142119,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
149023,314914,929812,1,142119,2021,5,3,0,Other Information,"No federal funds were used to purchase insurance, there were no loan/loan guarantees outstanding at year-end, and the District had no federal grants that required matching expenditures.",,
149024,314915,929812,1,142119,2021,3,3,0,Subrecipients,No federal expenditures presented in the schedule were provided to sub recipients.,,
149025,314916,929812,1,142119,2021,4,3,0,Non cash assistance,"The District utilized non-cash commodities and Department of Defense fruits and vegetables in the amounts of $14,904 and $8,965, respectively, in the Child Nutrition Program.",,
149369,338985,936209,1,147888,2021,2,2,2,10% De Minimis Cost Rate,"NOTE 2 INDIRECT COST RATE: The Authority has not elected to use the 10 percent de minimis indirect cost rate allowed under the Uniform Guidance. For the year ended March 31, 2021, there were no indirect costs included in the schedule of expenditures of federal awards.",,
149370,338986,936209,1,147888,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,NOTE 1 BASIS OF ACCOUNTING: All expenditures included in the schedule of expenditures of federal awards are presented on the accrual basis of accounting ,,
150094,478767,984788,1,152609,2021,3,3,0,Basis of Presentation,"The accompanying Schedule of Expenditures of Federal Awards (the Schedule) includes the federal award activity of the School District under programs of the federal government for the year ended June 30, 2021. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the schedule presents only a selected portion of the operations of the School District, it is not intended to and does not present the financial position, changes in net position, or cash flows of the School District.",,
150095,478768,984788,1,152609,2021,4,3,0,Other Items,"Donated commodities of $79,479 are included in the National School Lunch Program.",,
150096,478769,984788,1,152609,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are presented on the same basis of accounting and thesame significant accounting policies, as applicable, as those used for the financial statements;however, the expenditures include transfers out. Such expenditures are recognized followingthe cost principles contained in the Uniform Guidance, wherein certain types of expendituresare not allowable or are limited as to reimbursement.",,
150097,478770,984788,1,152609,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
150867,261797,911191,1,176192,2021,4,3,0,Relationship to Financial Statements,"Federal expenditures, revenues and capital contributions are reported in the Town's basic financial statements as follows:Intergovernmental federal revenues per the basic financial statements:Primary government:General Fund $ 413,256Special Revenue Fund 483,305Capital Projects Fund 503,121Electric Fund 225,065Water and Sewer Fund 85,000Total primary government $ 1,709,747Total federal expenditures per basic financialstatements $ 1,709,747Total federal expenditures per the Schedule of Expendituresof Federal Awards $ 1,709,747",,
150868,261798,911191,1,176192,2021,5,3,0,Subrecipients,No awards were passed through to subrecipients.,,
150869,261799,911191,1,176192,2021,2,2,2,10% De Minimis Cost Rate,The Town did not elect to use the 10-percent de minimis indirect cost rate allowed under Uniform Guidance.,,
150870,261800,911191,1,176192,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"(1) Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.(2) Pass-through entity identifying numbers are presented where available.",,
150871,261801,911191,1,176192,2021,3,3,0,Basis of Presentation,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of the Town of Blackstone, Virginia under programs of the federal government for the year ended June 30, 2021. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements of Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the Town of Blackstone, Virginia, it is not intended to be and does not present the financial position, changes in net position, or cash flows of the Town of Blackstone, Virginia.",,
151513,281900,914356,1,185885,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
151514,281901,914356,1,185885,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  Pass-through entity identifying numbers are presented where applicable.",,
151515,281902,914356,1,185885,2021,3,3,0,Loan/loan guarantee outstanding balances,MORTGAGE INSURANCE FOR THE PURCHASE OR REFINANCING OF EXISTING MULTIFAMILY HOUSING PROJECTS (14.155) - Balances outstanding at the end of the audit period were 1970617. ,,
153444,485867,985694,1,190034,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"1. BASIS OF PRESENTATIONThe accompanying schedule of expenditures of federal awards (the Schedule) includes the federal awardactivity of the Birmingham-Jefferson County Transit Authority (the Authority) under programs of thefederal government for the year ended September 30, 2021. The information in this Schedule is presentedin accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, UniformAdministrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (UniformGuidance). Because the Schedule presents only a selected portion of the operations of the Authority, it isnot intended to, and does not, present the financial positions, changes in net assets or cash flows of theAuthority. Therefore, some amounts presented in this schedule may differ from amounts presented in, orused in, the preparation of the basic financial statements.2. SUMMARY OF SIGNIFICANT POLICIESExpenditures reported on the Schedule are reported on the accrual basis of accounting. Such expendituresare recognized following the cost principles contained in the Uniform Guidance, wherein certain types ofexpenditures are not allowable or limited as to reimbursement. Negative amounts shown on the Schedulerepresent adjustments or credits made in the normal course of business to amounts reported asexpenditures in prior years.",,
153445,485868,985694,1,190034,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
153613,233087,900995,1,224629,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
153614,233088,900995,1,224629,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"A.BASIS OF PRESENTATIONThe schedule of expenditures of federal awards (the Schedule) includes the federal award activity of East Mississippi Electric Power Association  and Subsidiary under programs of the federal government for the year ended June 30, 2021. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations (CFR), Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of East Mississippi Electric Power Association and Subsidiary, it is not intended to and does not present the financial position, results of its operations, or cash flows of East Mississippi Electric Power Association and Subsidiary. B.SUMMARY OF SIGNIFICANT ACCOUNTING POLICIESExpenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. C.INDIRECT COST RATEEast Mississippi Electric Power Association and Subsidiary did not elect to use 10% de minimis indirect cost rate allowed under the Uniform Guidance.C.    INDIRECT COST RATEEast  Mississippi  Electric  Power  Association  and  Subsidiary  did  not  elect  to  use  10%  de  minimis indirect cost rate allowed under the Uniform Guidance.",,
154459,273495,911319,1,215552,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
154460,273496,911319,1,215552,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards includes the federal grant activity of theNorth Hopkins Independent School District and is presented on the modified accrual basis of accounting.Expenditures are recognized in the accounting period in which a fund liability occurs. Funds are consideredearned to the extent of expenditures made.The information in this schedule is presented in accordance with the requirements of Title 2 U.S. Code ofFederal Regulations (CFR) Part 200, Uniform Administrative Requirements, Cost Principles, and AuditRequirements for Federal Awards. Therefore, some amounts presented in this schedule may differ fromamounts presented in, or used in the preparation of, the basic financial statements.",,
154774,283368,919209,1,215776,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The Schedule of Expenditures of Federal Awards contains federal grant activity of the Guadalupe County (County) was prepared using the modified accrual basis of accounting. The information in the schedule is presented in accordance with the requirements of Title 2 US Code of Federal Regulations (CFR) Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards.",,
154775,283369,919209,1,215776,2021,2,2,1,10% De Minimis Cost Rate,The auditee used the de minimis cost rate.,,
155494,308776,927358,1,219144,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the OMB Circular A-122, Cost Principles for Non-Profit Organizations, or the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Swope Ridge Gardens Housing Corporation, Inc. has elected not to use the 10- percent de minimis indirect cost rate allowed under the Uniform Guidance.",,
155495,308777,927358,1,219144,2021,3,3,0,Loan/loan guarantee outstanding balances,SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 4542800. ,,
155496,308778,927358,1,219144,2021,4,3,0,Basis of Presentation,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal grant activity of Swope Ridge Gardens Housing Corporation, Inc. (the Organization) under programs of the federal government for the year ended December 31, 2021. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the schedule presents only a selected portion of the operations of the Organization, it is not intended to and does not present the financial position, change in net assets (deficit) or cash flows of the Organization.",,
155497,308779,927358,1,219144,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
157818,287714,919942,1,238155,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following, as applicable, either the cost principles in OMB Circular A-122, Cost Principles for Non-Profit Organizations, or the cost principles contained in the UniformGuidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Negative amounts shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years. Pass-through entity identifying numbers are presented where applicable. The Organization has elected not to use the 10-percent de minimis indirect cost allocation rate allowed under the Uniform Guidance.",,
157819,287715,919942,1,238155,2021,3,3,0,BASIS OF PRESENTATION,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of Future Wisconsin Racine II, LLC (the Organization) under programs of the federal government for the year ended December 31, 2021. The information in this Schedule is presented in accordance with the requirements of the Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the Organization, it is not intended to and does not present the financial position, changes in net assets or cash flows of the Organization.",,
157820,287716,919942,1,238155,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
158184,317498,926339,1,247591,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Summary of Significant Accounting PoliciesExpenditures reported on the SEFA are reported on the accrual basis of accounting. Such expenditures are recognizedfollowing the cost principles contained in Title 2 U.S. Code of Federal Regulations Part 200, Uniform AdministrativeRequirements, Cost Principles, and Audit Requirements for Federal Awards, wherein certain types of expendituresare not allowable or are limited as to reimbursement. The Partnership has elected not to use the ten percent de minimisindirect cost rate as allowed under the Uniform Guidance.",,
158185,317499,926339,1,247591,2021,3,3,0,Loan/loan guarantee outstanding balances,PROPERTY IMPROVEMENT LOAN INSURANCE FOR IMPROVING ALL EXISTING STRUCTURES AND BUILDING OF NEW NONRESIDENTIAL STRUCTURES (14.142) - Balances outstanding at the end of the audit period were 2675969. SECTION 538 RURAL RENTAL HOUSING GUARANTEED LOANS (10.438) - Balances outstanding at the end of the audit period were 1769143. SECTION 538 RURAL RENTAL HOUSING GUARANTEED LOANS (10.438) - Balances outstanding at the end of the audit period were 53308. ,,
158186,317500,926339,1,247591,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
158299,319340,931133,1,248298,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards includes the federal award activity of Northern Great Lakes Initiatives and Subsidiaries (Northern Initiatives) under programs of the federal government for the year ended December 31, 2021, and is presented on the accrual basis of accounting. The information in this schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the schedule presents only a selected portion of the operations of Northern Initiatives, it is not intended to, and does not, present the financial position, changes in net assets, or cash flows of Northern Initiatives.",,
158300,319341,931133,1,248298,2021,2,2,1,10% De Minimis Cost Rate,The auditee used the de minimis cost rate.,,
158301,319342,931133,1,248298,2021,3,3,0,Loan/loan guarantee outstanding balances,INTERMEDIARY RELENDING PROGRAM (10.767) - Balances outstanding at the end of the audit period were 1943875. RURAL MICROENTREPRENEUR ASSISTANCE PROGRAM (10.870) - Balances outstanding at the end of the audit period were 559221. MICROLOAN PROGRAM (59.046) - Balances outstanding at the end of the audit period were 1444428. INTERMEDIARY LOAN PROGRAM (59.062) - Balances outstanding at the end of the audit period were 577689. 7(A) LOAN GUARANTEES (59.012) - Balances outstanding at the end of the audit period were 2957578.,,
159377,367947,942131,1,246034,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"EXPENDITURES REPORTED ON THE SCHEDULE ARE REPORTED ON THE ACCRUAL BASIS OF ACCOUNTING. SUCH EXPENDITURES ARE RECOGNIZED FOLLOWING THE COST PRINCIPLES CONTAINED IN UNIFORM GUIDANCE, WHEREIN CERTAIN TYPES OF EXPENDITURES ARE NOT ALLOWABLE OR ARE LIMITED AS TO REIMBURSEMENT.",,
159378,367948,942131,1,246034,2021,2,2,2,10% De Minimis Cost Rate,NEW YORK COMMON PANTRY HAS NOT ELECTED TO USE THE 10 PERCENT DE MINIMIS INDIRECT COST RATE AS ALLOWED UNDER THE UNIFORM GUIDANCE.,,
159913,245415,902997,1,3642,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
159914,245416,902997,1,3642,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying Schedule of Expenditures of Federal Awards includes the Federal assistance activity of the Agency and is presented on the accrual basis of accounting. The information in this schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations (CFR) Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards.",,
160096,266389,909814,1,251971,2021,2,2,2,10% De Minimis Cost Rate,The Academy has elected not to use the 10-percent de minimus indirect cost rate as allowed under the Uniform Guidance.,,
160097,266390,909814,1,251971,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures may or may not be allowable or may be limited as to reimbursement. ",,
160098,266391,909814,1,251971,2021,4,3,0,TRANSFERS ,"The Academy generally must spend Federal assistance within 15 months of receipt. However, with Ohio Department of Education (ODE) approval, an Academy can transfer (carryover) unspent Federal assistance to the succeeding year, thus allowing the Academy a total of 27 months to spend the assistance. During fiscal year 2021, the ODE authorized the following transfers:                                                         AL Number / Grant Title                                  Grant Year                      84.010 Title I202084.010A Title I202184.010A Title I - Expanding Opportunities for Each Child202084.010A Title I - Expanding Opportunities for Each Child2021Transfer OutTransfer In $11,847  $11,847  203,709  203,709  $215,556  $215,556 ",,
160099,266392,909814,1,251971,2021,3,3,0,BASIS OF PRESENTATION,"The accompanying Schedule of Expenditures of Federal Awards (the Schedule) includes the federal award activity of Westwood Preparatory Academy, Franklin County, Ohio (the Academy) under programs of the federal government for the year ended June 30, 2021.  The information on this Schedule is prepared in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the Academy, it is not intended to and does not present the financial position, changes in net position, or cash flows of the Academy. ",,
160203,255630,907723,1,26610,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
160204,255631,907723,1,26610,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"BASIS OF ACCOUNTING, EXPENDITURESThe accompanying schedule of expenditures of federal, state, and county awards is presented using the accrual basis of accounting. The amounts reported in this schedule as expenditures may differ from certain financial reports submitted to funding agencies because those reports may be submitted on either a cash or modified accrual basis of accounting.RELATIONSHIP TO BASIC FINANCIAL STATEMENTSFederal, state, and county award expenditures are reported on the statement of functional expenditures as program costs. However, expenditures in the schedule of expenditures of federal, state, and county awards for certain programs which have incurred deficits have been limited to the related contracted amount. In addition, for certain programs, the expenditures reported in the basic financial statements may differ from the expenditures reported on the schedule of expenditures of federal, state and county awards due to program expenditures exceeding grant or contract budget limitations, which are not included as federal, state and county financial assistance.",,
160885,298258,925142,1,7857,2021,3,3,0,Loan/loan guarantee outstanding balances,SUPPORTIVE HOUSING FOR THE ELDERLY (14.157) - Balances outstanding at the end of the audit period were 3564018. ,,
160886,298259,925142,1,7857,2021,2,2,2,10% De Minimis Cost Rate,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. Hillside Elderly Housing, Inc., has elected not to use the 10 percent de minimis indirect cost rate as allowed under the Uniform Guidance.",,
160887,298260,925142,1,7857,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards includes the federal grant activity of Hillside Elderly Housing, Inc., and is presented on the accrual basis of accounting. The information in this schedule is presented in accordance with the requirements of the Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). The Schedule presents only a selected portion of the operations of Hillside Elderly Housing, Inc. It is not intended to, and does not present, the financial position or changes in net assets of Hillside Elderly Housing, Inc",,
161265,325640,932818,1,22906,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Basis of PresentationThe accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of Maine Primary Care Association under programs of the federal government for the year ended September 30, 2021. The information in this schedule is presented in accordance with the requirements of Title2 U.S Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of Maine Primary Care Association, it is not intended to and does not present the financial position, changes in net assets, or cash flows of Maine Primary Care Association.Significant Accounting PoliciesExpenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following cost principles contained in the Uniform Guidance wherein certain types of expenditures are not allowable or limited as to reimbursement.",,
161266,325641,932818,1,22906,2021,3,3,0,Donated Personal Protective Equipment,"Maine Primary Care Association did not receive any donated Personal Protective Equipment purchased with federal funding during the year ended September 30, 2021.",,
161267,325642,932818,1,22906,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
162674,369575,943147,1,255441,2021,3,3,0,Basis of Presentation,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of Good Shepherd Healthcare System (the Hospital) under programs of the federal government for the year ended December 31, 2021. Amounts reported on the Schedule for Assistance Listing Number 93.498 - Provider Relief Fund and American Rescue Plan (ARP) Rural Distribution are based upon the June 30, 2021, Provider Relief Fund report. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance). Because the Schedule presents only a selected portion of the operations of the Hospital, it is not intended to and does not present the financial position, changes in net assets, or cash flows of the Hospital.",,
162675,369576,943147,1,255441,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the accrual basis of accounting. Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement. The Hospital has not elected to use the 10 percent de minimis indirect cost rate allowed under the Uniform Guidance.",,
162676,369577,943147,1,255441,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
164193,280909,918760,1,135433,2021,3,3,0,Note A  Basis of Presentation,"The accompanying schedule of expenditures of federal awards (the Schedule) includes the federal award activity of Logan County School District No. Re-1 Valley under programs of the federal government for the year ended June 30, 2021.  The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations (CFR), Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of Logan County School District No. Re-1 Valley, it is not intended to and does not present the financial position, changes in net position, or cash flows of Logan County School District No. Re-1 Valley.",,
164194,280910,918760,1,135433,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"Expenditures reported on the Schedule are reported on the modified accrual basis of accounting.  Therefore, some amounts presented in this Schedule may differ from amounts presented in, or used in the preparation of, the financial statement(s) of the federal program.  Such expenditures are recognized following the cost principles contained in the Uniform Guidance, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  ",,
164195,280911,918760,1,135433,2021,4,3,0,Note D  Subrecipients,Logan County School District No. Re-1 Valley did not pass through any federal grants to subrecipients. ,,
164196,280912,918760,1,135433,2021,5,3,0,Note E  Nonmonetary assistance,"Federal nonmonetary assistance is reported in the Schedule at the fair value of the items received and disbursed during the year.  Logan County School District No. Re-1 Valley received nonmonetary assistance for the year as follows:CFDA No. 10.555National School Lunch Program$         58,232",,
164197,280913,918760,1,135433,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
164601,307569,922728,1,130252,2021,2,2,2,10% De Minimis Cost Rate,The City has elected not to use the 10 percent de minimis indirect cost rate allowed under the Uniform Guidance.   ,,
164602,307570,922728,1,130252,2021,1,1,0,Significant Accounting Policies Used in Preparing the SEFA,"The accompanying schedule of expenditures of federal awards (Schedule) includes the federal award activity of the primary government of the City of Phoenix, Arizona (City) under programs of the federal government for the year ended June 30, 2021.  The City's reporting entity is defined in Note 1 in the City's basic financial statements for the year ended June 30, 2021. The information in this Schedule is presented in accordance with the requirements of Title 2 U.S. Code of Federal Regulations Part 200, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards (Uniform Guidance).  Because the Schedule presents only a selected portion of the operations of the City, it is not intended to and does not present the financial position, changes in net position/fund balance or cash flows of the City.  The City's basic financial statements include the operations of Valley Metro Rail, Inc., a joint use agreement of the City, which expended $232,899,699 in federal awards which are not included in the City's schedule of expenditures of federal awards for the year ended June 30, 2021.  The City's summary of significant accounting policies is presented in Note 1 to the City's basic financial statements for the year ended June 30, 2021.  Governmental funds and proprietary funds account for the City's federal grant activity.  Amounts reported in the Schedule are recognized on the modified accrual basis when they become a demand on current available federal resources and eligibility requirements are met, or on the accrual basis at the time liabilities are incurred and all eligibility requirements are met, depending on the basis of accounting used by the respective fund. Such expenditures are recognized following the cost principles contained in the Uniform Guidance or other regulatory requirements, wherein certain types of expenditures are not allowable or are limited as to reimbursement.  Negative amounts, if any, shown on the Schedule represent adjustments or credits made in the normal course of business to amounts reported as expenditures in prior years.  ",,
164603,307571,922728,1,130252,2021,4,3,0,Personal Protective Equipment (PPE) ,"The City did not receive any donated PPE during the year ended June 30, 2021.  ",,
164610,307572,922728,1,130252,2021,3,3,0,Federal Loan Programs,"The City has certain revolving loan funds, which were originally financed with federal financial assistance through the Community Development Block Grants/Entitlement Grants Cluster (Assistance Listing Number 14.218) and HOME Investment Partnership Program (Assistance Listing Number 14.239).  Under these loan agreements, the City has either loaned money to nonprofit corporations for the purpose of establishing and/or improving public housing units or to single families providing affordable housing.  Certain loans under this program have no continuing compliance requirements other than continued loan payments, therefore, the outstanding loan balances of such loans have not been included in the Schedule and major program determination.  Certain loans are subject to continuing compliance requirements and as such, these loans outstanding at the beginning of the year and loans made during the year are included in the federal expenditures presented in the Schedule. The outstanding loan balances as of June 30, 2021, are as follows: Loans Not Subject to Continuing Compliance Requirements: Assistance Listing #14.218 Community Development Block Grants/Entitlement Grants Cluster $4,634,466; Assistance Listing #14.239 Home Investment Partnerships Program $3,605,311. Loans Subject to Continuing Compliance Requirements: Assistance Listing #14.239 Home Investment Partnerships Program $78,376,047; Assistance Listing #14.218 Community Development Block Grants/Entitlement Grants Cluster $28,496,035. Total Loans Outstanding: $115,111,859.",,
165268,344670,905578,1,141267,2021,2,2,2,10% De Minimis Cost Rate,The auditee did not use the de minimis cost rate.,,
