"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"17.289","Community Project Funding/Congressionally Directed Spending","B - Project Grants (Discretionary)","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","Aiyana Pucci
200 Constitution Avenue, NW, Washington DC 20010
202-693-3403
"
"16.742","Paul Coverdell Forensic Sciences Improvement Grant Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 22, 2024","Nov 22, 2024","true","Kathryn Foreman
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-598-5405
"
"16.615","Public Safety Officers' Educational Assistance","D - Direct Payments with Unrestricted Use","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.576, 16.571, 16.575","Nov 22, 2024","Nov 22, 2024","true","Hope Janke
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
1-888 744-6513 or (202) 616-6500
"
"16.614","State and Local Anti-Terrorism Training","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 22, 2024","Nov 22, 2024","false","David P. Lewis
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-616-6500 or (1-866) 859-2647
"
"20.934","Nationally Significant Freight and Highway Projects","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 22, 2024","Nov 22, 2024","true","Aubrei Barton
U.S. Department of Transportation, Office of the Secretary of Transportation, 1200 New Jersey Avenue, SE,, Washington DC 20590
(202)366-5208
"
"81.138","State Heating Oil and Propane Program","Z - Salaries and Expenses","ENERGY, DEPARTMENT OF","","N/A","Nov 22, 2024","Nov 22, 2024","true","Marcela Bradbury
1000 Independence Ave SW, Washington DC 20585
2025864412
"
"81.253","Manufacturing and Energy Supply Chain Demonstrations and Commercial Applications","B - Project Grants","ENERGY, DEPARTMENT OF","","81.255","Nov 22, 2024","Nov 22, 2024","true","Lachelle Goss
1000 Independence Ave SW, Washington DC 20585
240-243-5878
"
"16.596","Trible Justice Assistance","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.731","Nov 22, 2024","Nov 22, 2024","false","Julius Dupree
U.S. Department of Justice
Office of Justice Programs 
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
(202) 616-6500 or 1-866-859-2687
"
"93.327","Demonstration Grants for Domestic Victims of Human Trafficking","B - Cooperative Agreements (Discretionary Grants)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.598","Nov 22, 2024","Nov 22, 2024","true","Katherine Chon
330 C. Street, SW., 7th Floor, Washington DC 20201
(202) 401-9372
"
"64.110","Veterans Dependency and Indemnity Compensation for Service-Connected Death","D - Direct Payments with Unrestricted Use","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","64.114, 64.117, 64.117","Nov 22, 2024","Nov 22, 2024","true","VBA, Pension and Fiduciary Service
1800 G Street, Washington DC 20006
(800) 827-1000
"
"64.101","Burial Expenses Allowance for Veterans","D - Direct Payments with Unrestricted Use","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","64.105, 64.201, 64.202","Nov 22, 2024","Nov 22, 2024","true","VBA, Pension and Fiduciary Service
1800 G Street, Washington DC 20006
(800) 827-1000
"
"16.047","Community-Based Approaches to Advancing Justice","B - Project Grants (Discretionary)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 22, 2024","Nov 22, 2024","false","Sunny Schnitzer
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-451-7153
"
"93.187","Undergraduate Scholarship Program for Individuals from Disadvantaged Backgrounds","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","NATIONAL INSTITUTES OF HEALTH","93.972, 93.288","Nov 22, 2024","Nov 22, 2024","true","Darryl Murray
Building 2, Room 2E20
Two Center Drive, Bethesda MD 20892
301-594-2222
"
"16.067","Family-Based Alternative Justice Program","B - Project Grants","JUSTICE, DEPARTMENT OF","","N/A","Nov 22, 2024","Nov 22, 2024","false","Office of Juvenile Justice and Delinquency Prevention
Office of Juvenile Justice and Delinquency Prevention 
999 North Capitol Street, NE, Washington DC 20001
202-514-4817
"
"17.280","WIOA Dislocated Worker National Reserve Demonstration Grants","B - Project Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","Robert Kight
200 Constitution Avenue, N.W.
, Washington DC 20210
202-693-3937
"
"17.290","WIOA Adult, Dislocated Worker and Youth Outlying Areas Consolidated Grants","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","Robert Kight
200 Constitution Ave., NW, Room C-4203, Washington DC 20210
2026933937
"
"17.274","YouthBuild","B - Project Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","pena.stephanie.l@dol.gov
200 Constitution Ave., NW, Washington DC 20210
2026933604
"
"16.833","National Sexual Assault Kit Initiative","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 22, 2024","Nov 22, 2024","false","Dr. Angela Williamson
U.S. Department of Justice
Office of Justice Programs
999 North Capitol Street, NE, Washington DC 20531
202-307-5831
"
"16.048","Khalid Jabara and Heather Heyer NO HATE Act","B - Project Grants (Discretionary)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 22, 2024","Nov 22, 2024","false","Sunny Schnitzer
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-451-7153
"
"16.050","Missing and Unidentified Human Remains (MUHR) Program","B - Project Grants","JUSTICE, DEPARTMENT OF","","N/A","Nov 22, 2024","Nov 22, 2024","false","Hope Zagaria
U.S. Department of Justice
Office of Justice Programs
999 North Capitol Street, NE, Washington DC 20531
(202) 812-6420
"
"21.017","Social Impact Partnerships to Pay for Results Act (SIPPRA)","B - Project Grants (Discretionary)","TREASURY, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","N/A","Nov 22, 2024","Nov 22, 2024","true","William Girardo
1500 Pennsylvania Avenue NW, Washington DC 20220
202 702 4369
"
"16.040","Matthew Shepard and James Byrd, Jr. Hate Crimes Education, Investigation and Prosecution Program","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 22, 2024","Nov 22, 2024","true","Sunny Schnitzer
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
2024517153
"
"17.603","Brookwood-Sago Grant","B - Project Grants (Discretionary)","LABOR, DEPARTMENT OF","MINE SAFETY AND HEALTH ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","Elif E. Polat
201 12th Street South, Arlington VA 22202
(304) 860-8785
"
"21.016","Equitable  Sharing","C - Direct Payments for Specified Use","TREASURY, DEPARTMENT OF THE","","N/A","Nov 22, 2024","Nov 22, 2024","true","Keesha Jordan
1341 G. Street N.W. Suite 900, Washington DC 20005
202-622-2571
"
"17.281","WIOA Dislocated Worker National Reserve Technical Assistance and Training","B - Project Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","Robert Kight
200 Constitution Ave., NW, Room C-4526, Washington DC 20210
202-693-3937
"
"20.620","Behavioral Traffic Safety Cooperative Research","B - Cooperative Agreements (Discretionary Grants)","TRANSPORTATION, DEPARTMENT OF","NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","Anita Barber
1200 New Jersey Avenue, SE, W51-125, Washington DC 20590
2023663989
"
"93.090","Guardianship Assistance","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.645, 93.658, 93.659, 93.674, 93.599","Nov 22, 2024","Nov 22, 2024","true","Liliana Hernandez Chakrabarti
330 C Street SW, Room 3507B, Washington DC 20201
(202) 205-8086
"
"64.105","Pension to Veterans Surviving Spouses, and Children","D - Direct Payments with Unrestricted Use","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","64.103, 64.101, 96.004","Nov 22, 2024","Nov 22, 2024","true","VBA, Pension and Fiduciary Service
1800 G Street, Washington DC 20006
(800) 827-1000
"
"64.104","Pension for Non-Service-Connected Disability for Veterans","C - Direct Payments for Specified Use","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS BENEFITS ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","VBA, Pension and Fiduciary Service
1800 G Street, Washington DC 20006
(800) 827-1000
"
"17.503","Occupational Safety and Health State Program","A - Formula Grants","LABOR, DEPARTMENT OF","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION","17.504, 17.600, 17.602, 93.262, 17.601, 17.502","Nov 22, 2024","Nov 22, 2024","true","Aleksandr Krivitskiy
200 Constitution Avenue, NW
N-3419, Washington DC 20210
202-693-2423
"
"97.128","CISA Cyber Security Awareness Campaign","B - Cooperative Agreements","HOMELAND SECURITY, DEPARTMENT OF","Cybersecurity and Infrastructure Security Agency","N/A","Nov 22, 2024","Nov 22, 2024","true","Laura Edwards
Program Officer
Stakeholder Engagement Division
4200 Wilson Blvd., Arlington VA 22203
202-655-6763
"
"12.219","Ease 3.0","B - Project Grants","DEPT OF DEFENSE","","N/A","Nov 22, 2024","Nov 22, 2024","true","Heather Hay
4800 Mark Center Drive. Suite 03E25, Alexandria VA 22350-1300
(571)372-2614
"
"17.258","WIOA Adult Program","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","17.277, 17.245, 17.278, 17.259, 17.207","Nov 22, 2024","Nov 22, 2024","true","Robert Kight
200 Constitution Ave., NW, Room S-4203, Washington DC 20210
202-693-3937
"
"12.007","Military Health Services Research (MHSR)","B - Project Grants","DEPT OF DEFENSE","DEFENSE HEALTH AGENCY (DHA)","N/A","Nov 22, 2024","Nov 22, 2024","true","Jennifer Cramer
U.S. Army Medical Research Acquisition Activity, Attn: FCMR-ABB-GE, Fort Detrick, Frederick MD 21702
301-619-7145
"
"17.701","Women in Apprenticeship and Nontraditional Occupations (“WANTO”) Technical Assistance Grant Program","B - Project Grants (for specified projects)","LABOR, DEPARTMENT OF","WOMEN'S BUREAU","N/A","Nov 22, 2024","Nov 22, 2024","true","Eleanor Delamater
200 Constitution Avenue, NW,
Room S-3309,
Washington, DC 20210, Washington DC 20210
(202) 693-6739
"
"17.268","H-1B Job Training Grants","B - Project Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","false","Jenn Smith
200 Constitution Avenue, NW, Room C-4526, Washington DC 20210
202-693-3597
"
"20.937","National Infrastructure Project Assistance (Mega Projects)","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 22, 2024","Nov 22, 2024","true","Aubrei Barton
U.S. Department of Transportation, Office of the Secretary of Transportation, 1200 New Jersey Avenue, SE,, Washington DC 20590
(202)366-5208
"
"17.700","Women's Bureau","B - Project Grants (Discretionary)","LABOR, DEPARTMENT OF","WOMEN'S BUREAU","N/A","Nov 22, 2024","Nov 22, 2024","true","Ashlyn King (Main POC)
200 Constitution Avenue, NW, Room S-3309, Washington DC 20210
(202) 693-6745
"
"17.265","Native American Employment and Training","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","17.258, 93.612, 15.108","Nov 22, 2024","Nov 22, 2024","true","Nathaniel Coley
200 Constitution Avenue, NW, Room S-4311, Washington DC 20210
(202) 693-4287
"
"12.554","English for Heritage Language Speakers Grants to U.S. Institutions of Higher Education","B - Project Grants (Contracts)","DEPT OF DEFENSE","DEFENSE HUMAN RESOURCES ACTIVITY","12.555","Nov 22, 2024","Nov 22, 2024","true","Dr. Kevin Gormley
Defense Language and National Security Education Office
4800 Mark Center Drive
Suite 8G08,
Alexandria, VA 22350-7000, Arlington VA 22350
571- 969-0638
"
"16.031","Emmett Till Cold Case Investigations Program","B - Project Grants (Contracts)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 22, 2024","Nov 22, 2024","false","Elizabeth Griffith
U.S. Department of Justice
Office of Justice Programs
999 North Capitol Street, NE, Washington DC 20531
(202) 616-2008
"
"16.820","Postconviction Testing of DNA Evidence","B - Project Grants (Discretionary)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.746","Nov 22, 2024","Nov 22, 2024","true","Andrea Borchardt
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
202-598-1721
"
"17.261","Workforce Data Quality Initiative (WDQI)","B - Project Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","true","Toquir Ahmed
200 Constitution Ave. NW, Washington DC 20210
202-693-3901
"
"10.997","U.S. Codex Office Support for International Activities","B - Cooperative Agreements (Discretionary Grants)","AGRICULTURE, DEPARTMENT OF","IMMEDIATE OFFICE OF THE SECRETARY OF AGRICULTURE","N/A","Nov 22, 2024","Nov 22, 2024","true","U.S. Codex Office
1400 Independence Ave SW
Room 4857-S, Washington DC 20250
202-720-1812
"
"20.938","Rural Surface Transportation Grant Program","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 22, 2024","Nov 22, 2024","true","Aubrei Barton
1200 New Jersey Ave SE, Washington DC 20590
2023665208
"
"17.225","Unemployment Insurance","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","17.245, 97.034, 57.001, 17.207","Nov 22, 2024","Nov 22, 2024","true","Jim Garner, Administrator
 Frances Perkins Building - 200 Constitution Avenue NW, Room S4524, Washington DC 20210
202-693-3029
"
"17.287","Job Corps Experimental Projects and Technical Assistance","B - Project Grants (Discretionary)","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","N/A","Nov 22, 2024","Nov 22, 2024","false","Ronetia Bacon
200 Constitution Ave, NW, Washington DC 20210
202-693-7346
"
"12.777","Defense Production Act Title III (DPA Title III)","B - Cooperative Agreements","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","93.043","Nov 21, 2024","Nov 21, 2024","true","Judy Kahler 
1060 Air Force Pentagon, 4C149, Washington DC 20330
(937)503-2628
"
"93.640","Basic Health Program (Affordable Care Act)","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","N/A","Nov 21, 2024","Nov 21, 2024","true","Rachel Katz
7500 Security Blvd., Windsor Mill MD 21244
215-861-4290
"
"12.618","Community Economic Adjustment Assistance for Establishment or Expansion of a Military Installation","B - Project Grants","DEPT OF DEFENSE","OFFICE OF LOCAL DEFENSE COMMUNITY COOPERATION","12.611, 12.614, 14.218, 12.600","Nov 21, 2024","Nov 21, 2024","true","Karen E. Bass-McFadden
2231 Crystal Drive, Suite 520, Arlington VA 22202-3711
(703) 697-2130
"
"97.010","Citizenship Education and Training","B - Project Grants","HOMELAND SECURITY, DEPARTMENT OF","U.S. CITIZENSHIP AND IMMIGRATION SERVICES","84.002","Nov 21, 2024","Nov 21, 2024","false","Mary Jane Sommerville
5900 Capital Gateway Drive
Office of Citizenship
MS 2260, Camp Springs MD 20588
612-418-1887
"
"66.046","Climate Pollution Reduction Grants","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 21, 2024","Nov 21, 2024","true","Andrea Denny
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 6202A), Washington DC 20460
(202) 343-9268
"
"66.521","Innovative Water Technology Grant Program","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 21, 2024","Nov 21, 2024","true","Ron Josephson, Eligibility Contact
Environmental Protection Agency, 1300 Pennsylvania Avenue, N.W., Washington DC 20004
202-564-7823
"
"66.037","Internships, Training and Workshops for the Office of Air and Radiation","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 21, 2024","Nov 21, 2024","true","Tim Roberts
Environmental Protection Agency, 1200 Pennsylvania Avenue, NW, (Mail Code: 6012A), Washington DC 20460
202-564-6004
"
"66.956","Targeted Airshed Grant Program","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 21, 2024","Nov 21, 2024","true","Tim Roberts
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 6102A), Washington DC 20460
202-564-6004
"
"97.154","Citizenship Integration Training Academy","B - Project Grants","HOMELAND SECURITY, DEPARTMENT OF","U.S. CITIZENSHIP AND IMMIGRATION SERVICES","N/A","Nov 21, 2024","Nov 21, 2024","true","Mary Jane Sommerville, Branch Chief
5900 Capital Gateway Drive
Office of Citizenship MS 2260, Camp Springs MD 20588
612-418-1887
"
"14.866","Demolition and Revitalization of Severely Distressed Public Housing","B - Project Grants","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING","14.872, 14.850","Nov 21, 2024","Nov 21, 2024","false","Leigh vain Rij,
451 7th Street, S.W., Room 4130, Washington DC 20410
(202) 402-5788.
"
"93.872","Tribal Maternal, Infant, and Early Childhood Home Visiting","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.505, 93.870, 93.600, 93.575","Nov 20, 2024","Nov 20, 2024","true","Anne Bergan
Mary E. Switzer Building
330 C Street, SW, Suite 3014F

, Washington  DC 20201
2022608515
"
"10.528","USDA WIC Telehealth Evaluation Collaborative","B - Cooperative Agreements","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","N/A","Nov 20, 2024","Nov 20, 2024","false","Dr. Karen A. Castellanos-Brown
1320 Braddock Place, Alexandria VA 22314
7033052732
"
"93.612","Native American Programs","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 20, 2024","Nov 20, 2024","true","Carmelia A. Strickland
Administration for Native Americans,
Administration for Children and Families,
Department of Health and Human Services,
330 C Street SW.,
Switzer Building, Mail Stop 4126, Washington  DC 20201
(877) 922-9262
"
"12.015","Past Conflict Accounting - Vietnam","B - Project Grants (Cooperative Agreements)","DEPT OF DEFENSE","WASHINGTON HEADQUARTERS SERVICES (WHS)","N/A","Nov 20, 2024","Nov 20, 2024","false","Christopher Lindley
Office of the Under Secretary of Defense for Policy
2100 Defense Pentagon, Washington DC 202012600
571-748-9196
"
"93.587","Promote the Survival and Continuing Vitality of Native American Languages","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 20, 2024","Nov 20, 2024","true","Carmelia Strickland
Administration for Native Americans,
Administration for Children and Families,
Department of Health and Human Services,
330 C. St, SW.,
Switzer Building
Mailstop 4126, Washington  DC 20201
(877) 922-9262
"
"10.535","SNAP Fraud Framework Implementation Grant","B - Project Grants","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","N/A","Nov 20, 2024","Nov 20, 2024","true","Maribelle Balbes
1320 Braddock Place, Alexandria VA 22314
703-605-4272
"
"54.001","Intelligence Community Centers for Academic Excellence","Z - Salaries and Expenses","OFFICE OF THE DIRECTOR OF NATIONAL INTELLIGENCE","","N/A","Nov 20, 2024","Nov 20, 2024","true","Maylily Le
Office of the Director of National Intelligence, Washington DC 20511
703-275-2948
"
"93.434","Every Student Succeeds Act/Preschool Development Grants","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 20, 2024","Nov 20, 2024","true","Richard F Gonzales
Switzer Building
330 C Street, SW.,
Room 4020B, Washington DC 20201
2024015138
"
"93.581","Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality","B - Project Grants (Discretionary)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 20, 2024","Nov 20, 2024","true","Carmelia A. Strickland
Administration for Native Americans,
Administration for Children and Families,
Department of Health and Human Services,
Mary E. Switzer Building,
330 C Street SW., Washington  DC 20201
(877) 922-9262
"
"93.354","Public Health Emergency Response:  Cooperative Agreement for Emergency Response: Public Health Crisis Response","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.074","Nov 20, 2024","Nov 20, 2024","true","Kelly Westbrook
Centers for Disease Control & Prevention, CPR 1600 Clifton Road NE, H21-5, Atlanta  GA 30333
(404) 639-0812
"
"93.322","CDC Partnership: Strengthening Public Health Laboratories","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 20, 2024","Nov 20, 2024","true","Angela Belyue
Centers for Disease Control and Prevention
Center for Surveillance, Epidemiology and Laboratory Services (CSELS)
MS: V24-3, 2400 Century Parkway NE, Atlanta GA 30345
6784296494
"
"12.002","Procurement Technical Assistance For Business Firms","B - Cooperative Agreements","DEPT OF DEFENSE","WASHINGTON HEADQUARTERS SERVICES (WHS)","N/A","Nov 20, 2024","Nov 20, 2024","false","Khalil Mack, Director, APEX Accelerators
3330 Defense Pentagon, Room 3B854, Washington DC 20301-3330
5713726332
"
"11.300","Investments for Public Works and Economic Development Facilities","B - Project Grants","COMMERCE, DEPARTMENT OF","ECONOMIC DEVELOPMENT ADMINISTRATION","11.307","Nov 20, 2024","Nov 20, 2024","true","Public Works Program
1401 Constitution Avenue, NW Room 71030, Washington DC 20230
2024822900
"
"17.259","WIOA Youth Activities","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","17.207","Nov 20, 2024","Nov 20, 2024","true","Jennifer Kemp
200 Constitution Avenue, NW, Washington DC 20210
(202) 693-3377
"
"16.051","Crime Gun Intelligence Training and Education","B - Project Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 20, 2024","Nov 20, 2024","false","Tammy Brown
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
999 North Capitol Street, NE, Washington DC 20531
(202) 532-0112
"
"96.011","Analyzing Relationships between Disability, Rehabilitation, and Work","B - Cooperative Agreements","SOCIAL SECURITY ADMINISTRATION","","N/A","Nov 20, 2024","Nov 20, 2024","true","Brenda Monch
6401 Security Blvd, Baltimore MD 21235
410-965-9521
"
"32.002","UNIVERSAL SERVICE FUND - HIGH COST","C - Direct Payments for Specified Use","FEDERAL COMMUNICATIONS COMMISSION","FEDERAL COMMUNICATIONS COMMISSION","N/A","Nov 20, 2024","Nov 20, 2024","true","ALEXANDER MINARD
445 12TH ST SW, WASHINGTON DC 20554
2024187400
"
"17.207","Employment Service/Wagner-Peyser Funded Activities","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","17.258, 17.801, 17.804, 17.225","Nov 20, 2024","Nov 20, 2024","true","Robert Kight
200 Constitution Ave., NW, Room S-4203, Washington DC 20210
202-693-3937
"
"21.026","Homeowner Assistance Fund","C - Direct Payments for Specified Use","TREASURY, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","N/A","Nov 20, 2024","Nov 20, 2024","false","United States Department of the Treasury Attn: Homeowner Assistance Fund
1500 Pennsylvania Avenue NW, Washington DC 20220
202.622.2000
"
"17.504","Consultation Agreements","A - Formula Grants (Cooperative Agreements)","LABOR, DEPARTMENT OF","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION","17.503, 17.600, 17.602, 17.505, 93.262, 17.601, 17.502","Nov 20, 2024","Nov 20, 2024","true","Aleksandr Krivitskiy
200 Constitution Avenue, NW,
N-3419, Washington DC 20210
202-693-2423
"
"17.003","Prices and Cost of Living Data","Z - Salaries and Expenses","LABOR, DEPARTMENT OF","BUREAU OF LABOR STATISTICS","17.005","Nov 20, 2024","Nov 20, 2024","true","Jeffrey Hill
2 Massachusetts Avenue, N.E., Washington DC 20212
(202) 691-7156
"
"16.046","Drug Data Research Center to Combat the Opioid Crisis","B - Project Grants (Cooperative Agreements)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 20, 2024","Nov 20, 2024","true","Meg Chapman
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance, Washington DC 20531
202.598.0604
"
"17.307","Coal Mine Workers' Compensation","D - Direct Payments with Unrestricted Use","LABOR, DEPARTMENT OF","OFFICE OF WORKERS COMPENSATION PROGRAM","N/A","Nov 20, 2024","Nov 20, 2024","true","Michael Chance
Office of Workers' Compensation Programs, Division of Coal Mine Workers' Compensation, 200 Constitution Avenue NW, Washington DC 20210
(202) 693-0046.
"
"96.009","Social Security State Grants for Work Incentives Assistance to Disabled Beneficiaries","B - Project Grants","SOCIAL SECURITY ADMINISTRATION","","N/A","Nov 20, 2024","Nov 20, 2024","true","Brenda Monch
Social Security Administration
Office of Acquisition and Grants
1540 Robert M. Ball Building
6401 Security Boulevard
, Baltimore MD 21235
4109659521
"
"17.245","Trade Adjustment Assistance","A - Formula Grants","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","17.225","Nov 20, 2024","Nov 20, 2024","true","Timothy Theberge
Frances Perkins Building, 200 Constitution Avenue, N.W., Washington DC 20001
(202) 693-3401
"
"11.307","Economic Adjustment Assistance","B - Project Grants (Cooperative Agreements)","COMMERCE, DEPARTMENT OF","ECONOMIC DEVELOPMENT ADMINISTRATION","11.303, 11.302, 11.300","Nov 20, 2024","Nov 20, 2024","true","EDA Programs
1401 Constitution Avenue, NW Room 71014, Washington DC 20230
2024822900
"
"16.816","John R.  Justice Prosecutors and Defenders Incentive Act","B - Project Grants (Discretionary)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 20, 2024","Nov 20, 2024","false","Sara Sullivan
U.S. Department of Justice
Office of Justice Programs 
Bureau of Justice Assistance, Washington DC 20002
(202) 598-9475
"
